index	set	item	*item	rarity	lvl	* Laz / comments	* Laz / positioning	lvl req	chrtransform	invtransform	invfile	flippyfile	* Laz / str	* Laz / dex	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Iratha's Cord	se3	tbl 	tbl 	7	126	old LoD	13	15	lgry	lgry					so0		so0	5	2500	2																																																																													0
Isenhart's Lightbrand	se4	bsd 	bsd 	7	126	old LoD	14	8	lgld	lgld					so0		so0	5	2500	2																																																																													0
Isenhart's Parry	se4	gts 	gts 	7	126	old LoD	15	8	lgld	lgld					so0		so0	5	2500	2																																																																													0
Isenhart's Case	se4	brs 	brs 	7	126	old LoD	16	8	lgld	lgld					so0		so0	5	2500	2																																																																													0
Isenhart's Horns	se4	fhl 	fhl 	7	126	old LoD	17	8	lgld	lgld					so0		so0	5	2500	2																																																																													0
Vidala's Barb	se5	lbb 	lbb 	7	126	old LoD	18	14	blac	blac					so0		so0	5	2500	2																																																																													0
Vidala's Fetlock	se5	tbt 	tbt 	7	126	old LoD	19	14	blac	blac					so0		so0	5	2500	2																																																																													0
Vidala's Ambush	se5	lea 	lea 	7	126	old LoD	20	14	blac	blac					so0		so0	5	2500	2																																																																													0
Vidala's Snare	se5	amu 	amu 	7	126	old LoD	21	14	blac	blac					so0		so0	5	2500	2																																																																													0
Milabrega's Orb	se6	kit 	kit 	7	126	old LoD	22	17	dblu	dblu					so0		so0	5	2500	2																																																																													0
Milabrega's Rod	se6	wsp 	wsp 	7	126	old LoD	23	17	dblu	dblu					so0		so0	5	2500																																																																														0
Milabrega's Diadem	se6	crn 	crn 	7	126	old LoD	24	17	dblu	dblu					so0		so0	5	2500	2																																																																													0
Milabrega's Robe	se6	aar 	aar 	7	126	old LoD	25	17	dblu	dblu					so0		so0	5	2500	2																																																																													0
Cathan's Rule	se7	bst 	bst 	7	126	old LoD	26	11	dgrn	dgrn					so0		so0	5	2500	2																																																																													0
Cathan's Mesh	se7	chn 	chn 	7	126	old LoD	27	11	dgrn	dgrn					so0		so0	5	2500	2																																																																													0
Cathan's Visage	se7	msk 	msk 	7	126	old LoD	28	11	dgrn	dgrn					so0		so0	5	2500	2																																																																													0
Cathan's Sigil	se7	amu 	amu 	7	126	old LoD	29	11	dgrn	dgrn					so0		so0	5	2500	2																																																																													0
Cathan's Seal	se7	rin 	rin 	7	126	old LoD	30	11	dgrn	dgrn					so0		so0	5	2500	2																																																																													0
Tancred's Crowbill	se8	mpi 	mpi 	7	126	old LoD	31	20	dgld	dgld					so0		so0	5	2500	2																																																																													0
Tancred's Spine	se8	ful 	ful 	7	126	old LoD	32	20	dgld	dgld					so0		so0	5	2500	2																																																																													0
Tancred's Hobnails	se8	lbt 	lbt 	7	126	old LoD	33	20	dgld	dgld					so0		so0	5	2500	2																																																																													0
Tancred's Weird	se8	amu 	amu 	7	126	old LoD	34	20	dgld	dgld					so0		so0	5	2500	2																																																																													0
Tancred's Skull	se8	bhm 	bhm 	7	126	old LoD	35	20	dgld	dgld					so0		so0	5	2500	2																																																																													0
Sigon's Gage	se9	hgl 	hgl 	7	126	old LoD	36	6	whit	whit					so0		so0	5	2500	2																																																																													0
Sigon's Visor	se9	ghm 	ghm 	7	126	old LoD	37	6	whit	whit					so0		so0	5	2500	2																																																																													0
Sigon's Shelter	se9	gth 	gth 	7	126	old LoD	38	6	whit	whit					so0		so0	5	2500	2																																																																													0
Sigon's Sabot	se9	hbt 	hbt 	7	126	old LoD	39	6	whit	whit					so0		so0	5	2500	2																																																																													0
Sigon's Wrap	se9	hbl 	hbl 	7	126	old LoD	40	6	whit	whit					so0		so0	5	2500	2																																																																													0
Sigon's Guard	se9	tow 	tow 	7	126	old LoD	41	6	whit	whit					so0		so0	5	2500	2																																																																													0
Infernal Cranium	se10	cap 	cap 	7	126	old LoD	42	5	lyel	lyel					so0		so0	5	2500	2																																																																													0
Infernal Torch	se10	gwn 	gwn 	7	126	old LoD	43	5	lyel	lyel					so0		so0	5	2500	2																																																																													0
Infernal Sign	se10	tbl 	tbl 	7	126	old LoD	44	5	lyel	lyel					so0		so0	5	2500	2																																																																													0
Berserker's Headgear	se11	hlm 	hlm 	7	126	old LoD	45	3	dred	dred					so0		so0	5	2500	2																																																																													0
Berserker's Hauberk	se11	spl 	spl 	7	126	old LoD	46	3	dred	dred					so0		so0	5	2500	2																																																																													0
Berserker's Hatchet	se11	2ax 	2ax 	7	126	old LoD	47	3	dred	dred					so0		so0	5	2500	2																																																																													0
Death's Hand	se12	lgl 	lgl 	7	126	old LoD	48	6	lred	lred					so0		so0	5	2500	2																																																																													0
Death's Guard	se12	lbl 	lbl 	7	126	old LoD	49	6	lred	lred					so0		so0	5	2500	2																																																																													0
Death's Touch	se12	wsd 	wsd 	7	126	old LoD	50	6	lred	lred					so0		so0	5	2500	2																																																																													0
Angelic Sickle	se13	sbr 	sbr 	7	126	old LoD	51	12	lgry	lgry					so0		so0	5	2500	2																																																																													0
Angelic Mantle	se13	rng 	rng 	7	126	old LoD	52	12	lgry	lgry					so0		so0	5	2500	2																																																																													0
Angelic Halo	se13	rin 	rin 	3	126	old LoD	53	12	lgry	lgry					so0		so0	5	2500	2																																																																													0
Angelic Wings	se13	amu 	amu 	7	126	old LoD	54	12	lgry	lgry					so0		so0	5	2500	2																																																																													0
Arctic Horn	se14	swb 	swb 	7	126	old LoD	55	2	lgld	lgld					so0		so0	5	2500	2																																																																													0
Arctic Furs	se14	qui 	qui 	7	126	old LoD	56	2	lgld	lgld					so0		so0	5	2500	2																																																																													0
Arctic Binding	se14	vbl 	vbl 	7	126	old LoD	57	2	lgld	lgld					so0		so0	5	2500	2																																																																													0
Arctic Mitts	se14	tgl 	tgl 	7	126	old LoD	58	2	lgld	lgld					so0		so0	5	2500	2																																																																													0
Arcanna's Sign	se15	amu 	amu 	1	126	old LoD	59	15	blac	blac					so0		so0	5	2500	2																																																																													0
Arcanna's Deathwand	se15	wst 	wst 	7	126	old LoD	60	15	blac	blac					so0		so0	5	2500	2																																																																													0
Arcanna's Head	se15	skp 	skp 	7	126	old LoD	61	15	blac	blac					so0		so0	5	2500	2																																																																													0
Arcanna's Flesh	se15	ltp 	ltp 	7	126	old LoD	62	15	blac	blac					so0		so0	5	2500	2																																																																													0
Expansion							63																																																																																										0
Natalya's Totem	se16	xh9 	xh9 	7	126	old LoD	64	59	dgry	dgry					so0		so0	5	5000																																																																														0
Natalya's Mark	se16	7qr 	7qr 	7	126	old LoD	65	79	dgry	dgry					so0		so0	5	5000																																																																														0
Natalya's Shadow	se16	ucl 	ucl 	7	126	old LoD	66	73	dgry	dgry					so0		so0	5	5000																																																																														0
Natalya's Soul	se16	xmb 	xmb 	7	126	old LoD	67	25	dgry	dgry					so0		so0	5	5000																																																																														0
Aldur's Stony Gaze	se17	dr8 	dr8 	7	126	old LoD	68	36	oran	oran					so0		so0	5	5000	2																																																																													0
Aldur's Deception	se17	uul 	uul 	7	126	old LoD	69	76	oran	oran					so0		so0	5	5000	2																																																																													0
Aldur's Gauntlet	se17	9mt 	9mt 	7	126	old LoD	70	42	oran	oran					so0		so0	5	5000	2																																																																													0
Aldur's Advance	se17	xtb 	xtb 	7	126	old LoD	71	45	oran	oran					so0		so0	5	5000	2																																																																													0
Immortal King's Will	se18	ba5 	ba5 	7	126	old LoD	72	47	lgry	lgry					so0		so0	5	5000																																																																														0
Immortal King's Soul Cage 	se18	uar 	uar 	7	126	old LoD	73	76	lgry	lgry					so0		so0	5	5000	2																																																																													0
Immortal King's Detail	se18	zhb 	zhb 	7	126	old LoD	74	29	lgry	lgry					so0		so0	5	5000	2																																																																													0
Immortal King's Forge	se18	xhg 	xhg 	7	126	old LoD	75	30	lgry	lgry					so0		so0	5	5000	2																																																																													0
Immortal King's Pillar	se18	xhb 	xhb 	7	126	old LoD	76	31	lgry	lgry					so0		so0	5	5000	2																																																																													0
Immortal King's Stone Crusher	se18	7m7 	7m7 	7	126	old LoD	77	76	lgry	lgry					so0		so0	5	5000	2																																																																													0
Tal Rasha's Fire-Spun Cloth	se19	zmb 	zmb 	7	126	old LoD	78	53	dpur	dpur					so0		so0	5	5000	2																																																																													0
Tal Rasha's Adjudication	se19	amu 	amu 	1	126	old LoD	79	67	dpur	dpur					so0		so0	5	5000	2																																																																													0
Tal Rasha's Lidless Eye	se19	oba 	oba 	7	126	old LoD	80	65	dpur	dpur					so0		so0	5	5000	2																																																																													0
Tal Rasha's Howling Wind	se19	uth 	uth 	7	126	old LoD	81	71	dpur	dpur					so0		so0	5	5000	2																																																																													0
Tal Rasha's Horadric Crest	se19	xsk 	xsk 	7	126	old LoD	82	66	dpur	dpur					so0		so0	5	5000																																																																														0
Griswold's Valor	se20	urn 	urn 	7	126	old LoD	83	69	dgld	dgld					so0		so0	5	5000	2																																																																													0
Griswold's Heart	se20	xar 	xar 	7	126	old LoD	84	45	dgld	dgld					so0		so0	5	5000																																																																														0
Griswolds's Redemption	se20	7ws 	7ws 	7	126	old LoD	85	53	dgld	dgld					so0		so0	5	5000	2																																																																													0
Griswold's Honor	se20	paf 	paf 	7	126	old LoD	86	68	dgld	dgld					so0		so0	5	5000																																																																														0
Trang-Oul's Guise	se21	uh9 	uh9 	7	126	old LoD	87	65	dgld	dgld					so0		so0	5	5000																																																																														0
Trang-Oul's Scales	se21	xul 	xul 	7	126	old LoD	88	49	dyel	dyel					so0		so0	5	5000	2																																																																													0
Trang-Oul's Wing	se21	ne9 	ne9 	7	126	old LoD	89	54	dyel	dyel					so0		so0	5	5000	2																																																																													0
Trang-Oul's Claws	se21	xmg 	xmg 	7	126	old LoD	90	45	dyel	dyel					so0		so0	5	5000																																																																														0
Trang-Oul's Girth	se21	utc 	utc 	7	126	old LoD	91	47	dyel	dyel					so0		so0	5	5000	2																																																																													0
M'avina's True Sight	se22	ci3 	ci3 	7	126	old LoD	92	59	whit	whit					so0		so0	5	5000	2																																																																													0
M'avina's Embrace	se22	uld 	uld 	7	126	old LoD	93	70	whit	whit					so0		so0	5	5000	2																																																																													0
M'avina's Icy Clutch	se22	xtg 	xtg 	7	126	old LoD	94	32	whit	whit					so0		so0	5	5000	2																																																																													0
M'avina's Tenet	se22	zvb 	zvb 	7	126	old LoD	95	45	whit	whit					so0		so0	5	5000	2																																																																													0
M'avina's Caster	se22	amc 	amc 	7	126	old LoD	96	70	whit	whit					so0		so0	5	5000	2																																																																													0
Telling of Beads	se23	amu 	amu 	1	126	old LoD	97	30	lblu	lblu					so0		so0	5	5000																																																																														0
Laying of Hands	se23	ulg 	ulg 	7	126	old LoD	98	63	lblu	lblu					so0		so0	5	5000																																																																														0
Rite of Passage	se23	xlb 	xlb 	7	126	old LoD	99	29	lblu	lblu					so0		so0	5	5000																																																																														0
Spiritual Custodian	se23	uui 	uui 	7	126	old LoD	100	43	lblu	lblu					so0		so0	5	5000																																																																														0
Credendum	se23	umc 	umc 	7	126	old LoD	101	65	lblu	lblu					so0		so0	5	5000																																																																														0
Dangoon's Teaching	se24	7ma 	7ma 	7	126	old LoD	102	68							so0		so0	5	5000																																																																														0
Heaven's Taebaek	se24	uts 	uts 	7	126	old LoD	103	81							so0		so0	5	5000																																																																														0
Haemosu's Adament	se24	xrs 	xrs 	7	126	old LoD	104	44							so0		so0	5	5000																																																																														0
Ondal's Almighty	se24	uhm 	uhm 	7	126	old LoD	105	69							so0		so0	5	5000																																																																														0
Guillaume's Face	se25	xhm 	xhm 	7	126	old LoD	106	34	lgry	lgry					so0		so0	5	5000																																																																														0
Wilhelm's Pride	se25	ztb 	ztb 	7	126	old LoD	107	42	lgry	lgry					so0		so0	5	5000																																																																														0
Magnus' Skin	se25	xvg 	xvg 	7	126	old LoD	108	37	lgry	lgry					so0		so0	5	5000																																																																														0
Wihtstan's Guard	se25	xml 	xml 	7	126	old LoD	109	29	lgry	lgry					so0		so0	5	5000																																																																														0
Hwanin's Splendor	se26	xrn 	xrn 	7	126	old LoD	110	45							so0		so0	5	5000																																																																														0
Hwanin's Refuge	se26	xcl 	xcl 	7	126	old LoD	111	30							so0		so0	5	5000																																																																														0
Hwanin's Seal	se26	mbl 	mbl 	7	126	old LoD	112	35							so0		so0	5	5000																																																																														0
Hwanin's Justice	se26	9vo 	9vo 	7	126	old LoD	113	28							so0		so0	5	5000																																																																														0
Sazabi's Cobalt Redeemer	se27	7ls 	7ls 	7	126	old LoD	114	73	dblu	dblu					so0		so0	5	5000																																																																														0
Sazabi's Ghost Liberator	se27	upl 	upl 	7	126	old LoD	115	67	dblu	dblu					so0		so0	5	5000																																																																														0
Sazabi's Mental Sheath	se27	xhl 	xhl 	7	126	old LoD	116	43	dblu	dblu					so0		so0	5	5000																																																																														0
Bul-Kathos' Sacred Charge	se28	7gd 	7gd 	7	126	old LoD	117	61	dgrn	dgrn					so0		so0	5	5000																																																																														0
Bul-Kathos' Tribal Guardian	se28	7wd 	7wd 	7	126	old LoD	118	54	dgrn	dgrn					so0		so0	5	5000																																																																														0
Cow King's Horns	se29	xap 	xap 	7	126	old LoD	119	25							so0		so0	5	5000																																																																														0
Cow King's Hide	se29	stu 	stu 	7	126	old LoD	120	18							so0		so0	5	5000																																																																														0
Cow King's Hoofs	se29	vbt 	vbt 	7	126	old LoD	121	13							so0		so0	5	5000																																																																														0
Naj's Puzzler	se30	6cs 	6cs 	7	126	old LoD	122	78							so0		so0	5	5000																																																																														0
Naj's Light Plate	se30	ult 	ult 	7	126	old LoD	123	71							so0		so0	5	5000																																																																														0
Naj's Circlet	se30	ci0 	ci0 	7	126	old LoD	124	28							so0		so0	5	5000																																																																														0
McAuley's Paragon	se31	cap 	cap 	3	126	old LoD	125	25	lpur	lpur					so0		so0	5	5000																																																																														0
McAuley's Riprap	se31	vbt 	vbt 	7	126	old LoD	126	20	lpur	lpur					so0		so0	5	5000																																																																														0
McAuley's Taboo	se31	vgl 	vgl 	7	126	old LoD	127	28	lpur	lpur					so0		so0	5	5000																																																																														0
McAuley's Superstition	se31	bwn 	bwn 	7	126	old LoD	128	25	lpur	lpur					so0		so0	5	5000																																																																														0
MRFrost	se32	@38 	@38 	10	115		129	100	dgry	cblu			688		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr75	0	-33	-33	pr35	0	31	50	pr216	0	11	15	pr81	0	30	30	pr215	0	11	15	pr59	0	21	25																																													0
MRWater	se32	@33 	@33 	30	115		130	100	dgry	lblu			682		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr75	0	-33	-33	pr39	0	31	50	pr216	0	11	15	pr221	0	11	15	pr215	0	11	15	pr58	0	101	150																																													0
MRHeaven	se32	4@L 	4@L 	30	115		131	100	dgry	dgry			775		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr75	0	-33	-33	pr33	0	31	50	pr216	0	16	20	pr222	0	20	20	pr13	0	151	200	pr11	0	151	200																																													0
MREarth	se32	@07 	@07 	30	115		132	100	dgry	oran			807		so0		so0	5	5000		pr133	0	6	6	pr5	0	201	250	pr81	0	15	15	pr140	0	50	100	pr216	0	16	20	pr31	0	31	50	pr75	0	-33	-33	pr66	0	3	6																																													0
MRFire	se32	86@ 	86@ 	30	115		133	100	dgry	lred				564	so0		so0	5	5000		pr133	0	6	6	pr388	76	76	76	pr29	0	201	250	pr140	0	100	150	pr21	0	750	750	pr18	0	750	750	pr23	0	750	750	pr127	492	10	1																																													0
MRCelestia's Charge	se33	@41 	@41 	15	115		134	100	dgld	lgld			842		so0		so0	5	5000		pr133	0	4	4	pr5	0	251	300	pr216	0	11	15	pr7	0	31	50	pr81	0	20	20	pr78	0	40	40	pr222	0	11	15	pr197	496	2	6																																													0
MRCelestia's Ribbon	se33	@32 	@32 	10	115		135	100	dgld	lgld			909		so0		so0	5	5000		pr133	0	2	2	pr5	0	251	300	pr215	0	11	15	pr8	0	31	50	pr67	0	1	1	pr57	0	15	15	pr4	0	5	5																																																	0
MRCelestia's Glory	se33	2@M 	2@M 	30	115		136	100	dgld	lgld				1006	so0		so0	5	5000		pr133	0	4	4	pr5	0	251	300	pr216	0	21	25	pr7	0	31	50	pr9	0	31	50	pr81	0	25	25	pr57	0	25	25	pr67	0	1	1																																													0
MRCelestia's Wings	se33	@13 	@13 	20	115		137	100	dgld	lgld			922		so0		so0	5	5000		pr133	0	6	6	pr5	0	251	300	pr140	0	100	150	pr215	0	21	25	pr8	0	31	50	pr41	0	21	25	pr0	0	350	350	pr67	0	1	1	pr218	0	21	25																																									0
MRCelestia's Passion	se33	88@ 	88@ 	30	115		138	100	dgld	lgld			526	554	so0		so0	5	5000		pr133	0	6	6	pr388	102	102	102	pr29	0	251	300	pr140	0	300	500	pr222	0	21	25	pr478	146	25	1	pr126	513	1	13	pr126	449	1	4																																													0
MRVasily's Moonwalkers	se34	@39 	@39 	30	115		139	100	dblu	dblu			739		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr7	0	41	50	pr108	0	5	5	pr78	0	40	40	pr11	0	201	250	pr8	0	31	40	pr33	0	41	50	pr84	0	20	20																																									0
MRVasily's Crescent	se34	9@M 	9@M 	30	115		140	100	dblu	dblu			909		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr216	0	11	15	pr185	0	31	40	pr35	0	41	50	pr28	0	51	100	pr81	0	15	15	pr197	459	10	24																																													0
MRVasily's Shepherd Moon	se34	@09 	@09 	30	115		141	100	dred	dblu			845		so0		so0	5	5000		pr133	0	6	6	pr5	0	201	250	pr209	0	3	5	pr217	0	11	20	pr216	0	11	15	pr67	0	1	1	pr84	0	25	25	pr108	0	15	15																																													0
MRVasily's Eclipse	se34	07! 	07! 	30	115		142	100	dblu	dblu				524	so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr215	0	21	25	pr108	0	11	15	pr75	0	-50	-50	pr209	0	3	5	pr66	0	16	20	pr65	0	16	20	pr84	0	40	40																																									0
MRVasily's Falling Star	se34	89@ 	89@ 	30	115		143	100	dblu	dblu			526	554	so0		so0	5	5000		pr133	0	3	3	pr388	76	76	76	pr29	0	251	300	pr75	0	-50	-50	pr215	0	21	25	pr28	0	201	400	pr216	0	21	25	pr57	0	40	40																																													0
MRRed Vex' Sin	se35	@29 	@29 	30	115		144	100	cred	cred			736		so0		so0	5	5000		pr133	0	2	2	pr5	0	201	250	pr75	0	-50	-50	pr84	0	20	20	pr171	0	21	25	pr292	0	11	15	pr192	0	21	40	pr267	0	11	15																																													0
MRRed Vex' Curse	se35	6@K 	6@K 	30	115		145	100	cred	cred			685		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr75	0	-50	-50	pr81	0	25	25	pr269	0	31	40	pr84	0	20	20	pr183	0	11	15	pr110	0	31	40																																													0
MRRed Vex' Mantle	se35	@08 	@08 	30	115		146	100	cred	cred			826		so0		so0	5	5000		pr133	0	6	6	pr5	0	201	250	pr75	0	-50	-50	pr87	0	25	25	pr206	0	31	40	pr67	0	1	2	pr183	0	11	15	pr191	0	21	25																																													0
MRRed Vex' Idol	se35	14! 	14! 	30	115		147	100	cred	cred			972		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr75	0	-50	-50	pr87	0	30	30	pr171	0	41	50	pr267	0	41	50	pr67	0	1	2	pr204	58	7	10																																													0
MRRed Vex' Flayer	se35	31@ 	31@ 	30	115		148	100	cred	cred				674	so0		so0	5	5000		pr133	0	3	3	pr388	51	51	51	pr67	0	2	3	pr87	0	40	40	pr291	0	81	100	pr31	0	51	60	pr183	0	31	40	pr206	0	31	40	pr267	0	31	40																																									0
MRWitchhunter's Rope	se36	@28 	@28 	30	115		149	100	blac	blac			679		so0		so0	5	5000		pr133	0	2	2	pr5	0	151	200	pr75	0	-25	-25	pr171	0	21	25	pr174	0	21	25	pr122	0	1	1	pr78	0	15	15	pr221	0	10	10																																													0
MRWitchhunter's Hood	se36	@16 	@16 	15	115		150	100	blac	blac			685		so0		so0	5	5000		pr133	0	4	4	pr5	0	151	200	pr75	0	-50	-50	pr41	0	31	40	pr4	0	5	5	pr222	0	16	20	pr215	0	16	20	pr216	0	16	20	pr42	0	5	5																																									0
MRWitchhunter's Faith	se36	@01 	@01 	30	115		151	100	blac	blac			691		so0		so0	5	5000		pr133	0	6	6	pr75	0	-50	-50	pr57	0	25	25	pr8	0	41	50	pr10	0	41	50	pr122	0	2	2	pr126	518	15	26																																																	0
MRWitchhunter's Crucifix	se36	94@ 	94@ 	30	115		152	100	blac	blac				530	so0		so0	5	5000		pr133	0	3	3	pr388	76	76	76	pr29	0	251	300	pr75	0	-40	-40	pr186	0	31	50	pr39	0	41	50	pr10	0	31	50	pr269	0	41	50																																													0
MRWitchhunter's Fire	se36	96@ 	96@ 	30	115		153	100	blac	blac				542	so0		so0	5	5000		pr133	0	3	3	pr388	76	76	76	pr29	0	251	300	pr75	0	-40	-40	pr183	0	31	50	pr31	0	41	50	pr10	0	31	50	pr267	0	41	50																																													0
MRSerpent's Tail	se37	@40 	@40 	30	115		154	100	lgrn	lgrn			791		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr75	0	-40	-40	pr216	0	11	15	pr221	0	11	15	pr218	0	11	15	pr122	0	1	1	pr0	0	450	450																																													0
MRSerpent's Coil	se37	@30 	@30 	30	115		155	100	lgrn	lgrn			794		so0		so0	5	5000		pr133	0	2	2	pr5	0	201	250	pr75	0	-40	-40	pr216	0	11	15	pr122	0	1	1	pr57	0	15	15	pr78	0	45	45	pr81	0	30	30																																													0
MRSerpent's Tongue	se37	@70 	@70 	30	115		156	100	lgrn	lgrn					so0		so0	5	5000		pr133	0	4	4	pr7	0	31	40	pr8	0	31	40	pr66	0	7	9	pr65	0	7	9	pr108	0	5	5	pr9	0	31	40	pr126	467	5	46																																													0
MRSerpent's Scales	se37	@12 	@12 	30	115		157	100	lgrn	lgrn			903		so0		so0	5	5000		pr133	0	6	6	pr5	0	201	250	pr140	0	50	100	pr356	0	31	40	pr122	0	2	2	pr174	0	31	50	pr88	0	50	50	pr75	0	-40	-40																																													0
MRSerpent's Fangs	se37	!07 	!07 	30	115		158	100	lgrn	lgrn				838	so0		so0	5	5000		pr133	0	6	6	pr388	102	102	102	pr374	760	100	1	pr29	0	251	300	pr140	0	250	500	pr57	0	40	40	pr122	0	3	5	pr266	0	5	5	pr220	0	25	25							6																																		0
MRTracker's Runeward	se38	@30 	@30 	10	115		159	100	oran	oran			794		so0		so0	5	5000		pr133	0	2	2	pr5	0	201	250	pr135	0	150	300	pr78	0	20	20	pr41	0	11	15	pr122	0	1	1	pr8	0	41	50	pr75	0	-33	-33																																													0
MRTracker's Totem	se38	@46 	@46 	30	115		160	100	oran	oran			845		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr137	50	150	300	pr84	0	20	20	pr41	0	11	15	pr3	0	31	40	pr8	0	41	50	pr75	0	-33	-33																																													0
MRTracker's Stealth	se38	@07 	@07 	30	115		161	100	oran	oran			807		so0		so0	5	5000		pr133	0	6	6	pr5	0	201	250	pr136	0	150	300	pr57	0	20	20	pr192	0	31	50	pr216	0	11	15	pr75	0	-33	-33																																																	0
MRTracker's Effigy	se38	5@O 	5@O 	30	115		162	100	oran	oran			746	839	so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr134	0	150	300	pr84	0	25	25	pr41	0	21	25	pr122	0	1	2	pr140	0	50	75	pr117	1192	11	15	pr57	0	40	40																																									0
MRTracker's Strike	se38	48@ 	48@ 	30	115		163	100	oran	oran				710	so0		so0	5	5000		pr133	0	2	2	pr388	51	51	51	pr29	0	251	300	pr57	0	40	40	pr140	0	150	300	pr127	806	25	6	pr8	0	41	50																																																	0
MRVizjun's Progress	se39	@38 	@38 	30	115		164	100	lblu	lblu			688		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr87	0	20	20	pr84	0	15	15	pr75	0	-40	-40	pr122	0	1	1	pr183	0	21	30	pr172	0	11	15	pr291	0	41	50																																									0
MRVizjun's Foresight	se39	@20 	@20 	30	115		165	100	lblu	lblu			864		so0		so0	5	5000		pr133	0	4	4	pr5	0	201	250	pr87	0	20	20	pr81	0	25	25	pr75	0	-40	-40	pr184	0	21	30	pr171	0	11	20	pr217	0	11	15																																													0
MRVizjun's Engine	se39	@03 	@03 	30	115		166	100	lblu	lblu			730		so0		so0	5	5000		pr133	0	6	6	pr5	0	201	250	pr87	0	30	30	pr78	0	25	25	pr75	0	-40	-40	pr122	0	1	2	pr183	0	31	40	pr172	0	21	30																																													0
MRVizjun's Monitor	se39	1@Q 	1@Q 	30	115		167	100	lblu	lblu				826	so0		so0	5	5000		pr133	0	6	6	pr5	0	201	250	pr16	0	1	1	pr122	0	2	3	pr184	0	41	50	pr173	0	31	40	pr217	0	21	25	pr291	0	51	70																																													0
