name	* info	* tier	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
57@	Bardiche (Sacred)	Sacred	qpol		57@	hal	57@			2	1				1	106	111				3	10	30		406	71	26		150	30	10182			406	hal	57@	57@	57@	stf	stf	5	2hsl	2	4					flpbar	invbar			1	6		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
159	Halberd (1)	1	pole	tier	159	pax	159			20	1				1	8	46				4		30		65	15	98		150	5	550			402	hal	159	159	159	stf	stf	5	2hsl	2	4					flphal	invhal			1	2		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
363	Halberd (4)	4	pole	tier	363	pax	363			20	1				1	26	106				4		30		202	59	98		150	18	7062			404	hal	363	363	363	stf	stf	5	2hsl	2	4					flphal	invhal			1	4		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
499	Halberd (6)	6	pole	tier	499	pax	499			20	1				1	41	155				4		30		391	86	98		150	27	14892			406	hal	499	499	499	stf	stf	5	2hsl	2	4					flphal	invhal			1	6		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
60@	Halberd (Sacred)	Sacred	qpol		60@	pax	60@			2	1				1	106	162				4		30		496	86	98		150	30	14892			406	hal	60@	60@	60@	stf	stf	5	2hsl	2	4					flphal	invhal			1	6		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
157	Voulge (1)	1	pole	tier	157	hal	157			20	1				1	8	24				3		30		33	5	50		150	1	150			402	hal	157	157	157	stf	stf	5	2hsl	2	4					flpvou	invvou			1	2		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
361	Voulge (4)	4	pole	tier	361	hal	361			20	1				1	28	60				3		30		123	49	50		150	15	4902			404	hal	361	361	361	stf	stf	5	2hsl	2	4					flpvou	invvou			1	4		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
497	Voulge (6)	6	pole	tier	497	hal	497			20	1				1	42	88				3		30		248	79	50		150	25	12582			406	hal	497	497	497	stf	stf	5	2hsl	2	4					flpvou	invvou			1	6		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
58@	Voulge (Sacred)	Sacred	qpol		58@	hal	58@			2	1				1	106	128				3		30		436	79	50		150	30	12582			406	hal	58@	58@	58@	stf	stf	5	2hsl	2	4					flpvou	invvou			1	6		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
4@A 	Angel Star (1)	1	pmac	tier	4@A 	mac 	4@A			10	1	16	25								1	10	20		62		69		26	4	513			401	mac	4@A 	4@A 	4@A 	1hs 	1hs 	5	1hsl	1	3					flpmst	invmstu			1	1				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
7@A 	Angel Star (4)	4	pmac	tier	7@A 	mac 	7@A			10	1	41	58								1	10	20		208		69		56	18	9225			402	mac	7@A 	7@A 	7@A 	1hs 	1hs 	5	1hsl	1	3					flpmst	invmstu			1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
9@A 	Angel Star (6)	6	pmac	tier	9@A 	mac 	9@A			10	1	60	84								1	10	20		409		69		88	27	21318			403	mac	9@A 	9@A 	9@A 	1hs 	1hs 	5	1hsl	1	3					flpmst	invmstu			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
1@B 	Angel Star (Sacred)	Sacred	spmc		1@B 	mac 	1@B			1	1	100	106								1	10	20		602		69		85	30	21318			403	mac	1@B 	1@B 	1@B 	1hs 	1hs 	5	1hsl	1	3					flpmst	invmstu			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
115 	Axe (1)	1	axe	tier	115 	axe 	115			20	1	11	15								1	10	20		31		36		7	1	150			402	axe	115 	115 	115 	1hs 	1hs 	5	1hsl	2	3					flpaxe	invaxe			1	2				so246	12	so246			5	0						7			3					255		1		1	1					255		1		1	1					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
319 	Axe (4)	4	axe	tier	319 	axe 	319			20	1	28	39								1	10	20		118		36		34	15	4902			404	axe	319 	319 	319 	1hs 	1hs 	5	1hsl	2	3					flpaxe	invaxe			1	4				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
455 	Axe (6)	6	axe	tier	455 	axe 	455			20	1	42	56								1	10	20		239		36		61	24	12268			406	axe	455 	455 	455 	1hs 	1hs 	5	1hsl	2	3					flpaxe	invaxe			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
16@ 	Axe (Sacred)	Sacred	qaxe		16@ 	axe 	16@			2	1	78	86								1	10	20		432		36		78	30	12268			406	axe	16@ 	16@ 	16@ 	1hs 	1hs 	5	1hsl	2	3					flpaxe	invaxe			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
7@5 	Backsword (1)	1	bswd	tier	7@5 	flc 	7@5			10	1	16	20									20	30		55		87		14	3	342			401	scm	7@5 	7@5 	7@5 	1hs 	1hs 	5	1hsl	1	3					flpflc	inv9sbu			1	1				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
1@6 	Backsword (4)	4	bswd	tier	1@6 	flc 	1@6			10	1	41	48									20	30		183		87		38	17	8262			402	scm	1@6 	1@6 	1@6 	1hs 	1hs 	5	1hsl	1	3					flpflc	inv9sbu			1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
3@6 	Backsword (6)	6	bswd	tier	3@6 	flc 	3@6			10	1	59	70									20	30		360		87		70	26	20322			403	scm	3@6 	3@6 	3@6 	1hs 	1hs 	5	1hsl	1	3					flpflc	inv9sbu			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
4@6 	Backsword (Sacred)	Sacred	sbsd		4@6 	flc 	4@6			1	1	96	101									20	30		526		87		83	30	20322			403	scm	4@6 	4@6 	4@6 	1hs 	1hs 	5	1hsl	1	3					flpflc	inv9sbu			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
150 	Balanced Axe (1)	1	taxe	tier	150 	hax 	150			20	1	10	24					8	37			-10	20		77		20		16	3	20			402	hax	150 	150 	150 	1hs 	1hs 	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	2		primarily thrown		so246	12	so246			5	0					689	7	5		3					255					255					255					255					255					255					255					255		1		1	1					255					255					255					255		1		1	1					255					255		1		1	1			2	2		xxx 	xxx 	1	
354 	Balanced Axe (4)	4	taxe	tier	354 	hax 	354			20	1	23	53					34	96			-10	20		231		20		41	17	106			404	hax	354 	354 	354 	1hs 	1hs 	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	4		primarily thrown		so246	12	so246			5	0					689	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
490 	Balanced Axe (6)	6	taxe	tier	490 	hax 	490			20	1	32	74					54	141			-10	20		445		20		80	26	166			406	hax	490 	490 	490 	1hs 	1hs 	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	6		primarily thrown		so246	12	so246			5	0					689	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
51@ 	Balanced Axe (Sacred)	Sacred	qtax		51@ 	hax 	51@			2	1	74	94					112	156			-10	20		518		20		83	30	166			406	hax	51@ 	51@ 	51@ 	1hs 	1hs 	5	1hsl	2	3	1	16	130	24	flpbal	invbal			1	6		primarily thrown		so246	12	so246			5	0					689	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
148 	Balanced Knife (1)	1	tkni	tier	148 	dgr 	148			20	1	16	18					20	24			-20		20		91	16		13	3	24			401	dgr	148 	148 	148 	1ht 	1ht 	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	1		primarily thrown		so244	12	so244			5	0					687	7	4		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255		1		1	1			1	2		xxx 	xxx 	1	
352 	Balanced Knife (4)	4	tkni	tier	352 	dgr 	352			20	1	34	39					58	68			-20		20		266	16		39	17	110			402	dgr	352 	352 	352 	1ht 	1ht 	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2		primarily thrown		so244	12	so244			5	0					687	7	4		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
488 	Balanced Knife (6)	6	tkni	tier	488 	dgr 	488			20	1	48	56					88	102			-20		20		508	16		77	27	170			402	dgr	488 	488 	488 	1ht 	1ht 	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2		primarily thrown		so244	12	so244			5	0					687	7	4		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
49@ 	Balanced Knife (Sacred)	Sacred	qtkn		49@ 	dgr 	49@			2	1	82	85					129	136			-20		20		544	16		85	30	170			402	dgr	49@ 	49@ 	49@ 	1ht 	1ht 	5	1ht	1	2	1	30	160	60	flpbkf	invbkf			1	2		primarily thrown		so244	12	so244			5	0					687	7	4		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
110 	Bastard Sword (1)	1	2hsd	tier	110 	clm 	110			20	1	18	22	1	1	31	33				1	10	30		73		70		24	3	262			402	clm	110 	110 	110 	1hs 	2hs 	5	2hss	1	4					flpbsw	invbsw			1	2				so229	12	so229			5	0						7			3					255					255					255					255					255					255		1		1	1					255					255					255					255					255		1		1	1					255					255					255					255			1	2		xxx 	xxx 	1	
314 	Bastard Sword (4)	4	2hsd	tier	314 	clm 	314			20	1	42	51	1	1	76	80				1	10	30		221		70		48	17	5718			403	clm	314 	314 	314 	1hs 	2hs 	5	2hss	1	4					flpbsw	invbsw			1	3				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
450 	Bastard Sword (6)	6	2hsd	tier	450 	clm 	450			20	1	61	74	1	1	111	118				1	10	30		427		70		77	26	13548			404	clm	450 	450 	450 	1hs 	2hs 	5	2hss	1	4					flpbsw	invbsw			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
11@ 	Bastard Sword (Sacred)	Sacred	s2hd		11@ 	clm 	11@			2	1	88	94	1	1	140	144				1	10	30		510		70		82	30	13548			404	clm	11@ 	11@ 	11@ 	1hs 	2hs 	5	2hss	1	4					flpbsw	invbsw			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
121 	Battle Axe (1)	1	2hax	tier	121 	btx 	121			20	1				1	23	30				1		30		60		60		17	2	228			402	lax	121 	121 	121 	stf 	stf 	5	2hsl	2	3					flpbtx	invbtx			1	2				so229	12	so229			5	0						7			3					255					255					255		1		1	1					255					255					255					255					255					255		1		1	1		1		1	1					255					255					255					255					255			5	2		xxx 	xxx 	1	
325 	Battle Axe (4)	4	2hax	tier	325 	btx 	325			20	1				1	58	74				1		30		189		60		42	16	5508			404	lax	325 	325 	325 	stf 	stf 	5	2hsl	2	3					flpbtx	invbtx			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx 	xxx 	1	
461 	Battle Axe (6)	6	2hax	tier	461 	btx 	461			20	1				1	85	108				1		30		369		60		73	25	13222			406	lax	461 	461 	461 	stf 	stf 	5	2hsl	2	3					flpbtx	invbtx			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx 	xxx 	1	
22@ 	Battle Axe (Sacred)	Sacred	s2ha		22@ 	btx 	22@			2	1				1	127	138				1		30		486		60		81	30	13222			406	lax	22@ 	22@ 	22@ 	stf 	stf 	5	2hsl	2	3					flpbtx	invbtx			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx 	xxx 	1	
154 	Battle Staff (1)	1	staf	tier	154 	sst 	154			20	1				1	18	26				1			10		25	94		17	3	300			402	bst	154 	154 	154 	stf 	stf 	5	staf	1	4					flpbst	invbst			1	2		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255		1		1	1					255					255		1		1	1					255					255					255					255		1		1	1					255					255		1		1	1			5	8		xxx 	xxx 	1	
358 	Battle Staff (4)	4	staf	tier	358 	sst 	358			20	1				1	49	63				1			10		83	94		42	17	5932			403	bst	358 	358 	358 	stf 	stf 	5	staf	1	4					flpbst	invbst			1	3		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
494 	Battle Staff (6)	6	staf	tier	494 	sst 	494			20	1				1	72	92				1			10		164	94		83	26	13878			404	bst	494 	494 	494 	stf 	stf 	5	staf	1	4					flpbst	invbst			1	4		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
55@ 	Battle Staff (Sacred)	Sacred	qstf		55@ 	sst 	55@			2	1				1	121	131				1			10		234	94		83	30	13878			405	bst	55@ 	55@ 	55@ 	stf 	stf 	5	staf	1	4					flpbst	invbst			1	4		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
145 	Blade (1)	1	knif	tier	145 	dgr 	145			20	1	12	14									-10		20		61	26		23	5	550			401	dgr	145 	145 	145 	1ht 	1ht 	5	1ht	1	3					flpbld	invbld			1	1				so244	12	so244			5	0						7			3					255					255					255					255					255					255		1		1	1					255					255					255					255					255		1		1	1		1		1	1					255					255		1		1	1			1	2		xxx 	xxx 	1	
349 	Blade (4)	4	knif	tier	349 	dgr 	349			20	1	30	35									-10		20		192	26		46	19	7062			402	dgr	349 	349 	349 	1ht 	1ht 	5	1ht	1	3					flpbld	invbld			1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
485 	Blade (6)	6	knif	tier	485 	dgr 	485			20	1	44	51									-10		20		373	26		85	27	14892			403	dgr	485 	485 	485 	1ht 	1ht 	5	1ht	1	3					flpbld	invbld			1	3				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
46@ 	Blade (Sacred)	Sacred	qknf		46@ 	dgr 	46@			2	1	80	83									-10		20		488	26		86	30	14892			403	dgr	46@ 	46@ 	46@ 	1ht 	1ht 	5	1ht	1	3					flpbld	invbld			1	3				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
