Id	* Laz / Reasoning	prop1	* Laz / skill 1	chance1	par1	min1	max1	prop2	* Laz / skill 2	chance2	par2	min2	max2	prop3	* Laz / skill 3	chance3	par3	min3	max3	prop4	* Laz / skill 4	chance4	par4	min4	max4	prop5	* Laz / skill 5	chance5	par5	min5	max5	prop6	* Laz / skill 6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
mp49	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	3	5													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	7	9											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	10	12						0
mp50	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	3	5													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	7	9											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	10	12						0
mp51	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	3	5	pr108				25	25							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	7	9	pr108			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	10	12	pr108			75	75	0
mp52	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	3	5	pr114				25	25							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	7	9	pr114			50	50						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	10	12	pr114			75	75	0
mp53	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	3	5	pr127	Mon Famine Heal		504	20	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	7	9	pr127		504	35	5						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	10	12	pr127		504	50	8	0
mp54	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Nova (not Supernova)		48	100	8	pr127	Teleport		54	50	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		48	100	12	pr127		54	50	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		48	100	15	pr127		54	50	1	0
mp55	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr107				100	100													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr107			100	100											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr107			100	100						0
mp56	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr107				100	100													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr107			100	100											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr107			100	100						0
mp57	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr114				15	15													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr114			25	25											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr114			35	35						0
mp58	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Dark Power		687	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		687	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		687	100	8						0
mp59	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Dark Power		687	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		687	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		687	100	8						0
mp60	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mark of the Wild		1013	15	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		1013	15	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		1013	15	8						0
mp61	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr185			100	100											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr185			200	200						0
mp62	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Fire Immunity Aura		506	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		506	2	2											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		506	2	2						0
mp63	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Lightning Immunity Aura		522	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		522	2	2											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		522	2	2						0
mp64	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Cold Immunity Aura		499	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		499	2	2											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		499	2	2						0
mp65	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Static Trap		537	100	5													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		537	100	9											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		537	100	12						0
mp66	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Gamma Field		120	100	50													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		120	100	53											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		120	100	52						0
mp67	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Spike Nova		875	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		875	100	4											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		875	100	3						0
mp68	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Celerity		496	20	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		496	20	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		496	20	8						0
mp69	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp70	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Point Blank Fireball		526	50	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		526	50	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		526	50	8						0
mp71	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Flash		807	25	4													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		807	25	8											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		807	25	11						0
mp72	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr206			100	100											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr206			300	300						0
mp73	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Lower Resist		91	50	6													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		91	50	10											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		91	50	13						0
mp74	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Lower Resist		91	50	6													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		91	50	10											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		91	50	13						0
mp75	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Lower Resist		91	50	6													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		91	50	10											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		91	50	13						0
mp76	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Lower Resist		91	50	6													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		91	50	10											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		91	50	13						0
mp77	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Uber Disco Inferno		543	100	7	pr198	Lower Resist		91	50	6							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		543	100	11	pr198		91	50	10						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		543	100	14	pr198		91	50	13	0
mp78	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr126	Mon Elemental Fury		747		1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr126		747		5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr126		747		8						0
mp79	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Rust Storm		531	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		531	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		531	100	8						0
mp80	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Bloodlust		96	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		96	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		96	100	8						0
mp81	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp82	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1						0
mp83	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1						0
mp84	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr201				1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr201			1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr201			1	1						0
mp85	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr126	Teleport		54	5	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr126		54	5	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr126		54	5	1						0
mp86	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Charged Bolt		497	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		497	100	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		497	100	8						0
mp87	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr205	wefoundawitch		16	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr205		16	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr205		16	1	1						0
mp88	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr90				127	127	pr209				127	127							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr90			127	127	pr209			127	127						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr90			127	127	pr209			127	127	0
mp89	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Shadow Demon Blood		297	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		297	1	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		297	1	1						0
mp90	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Concentration		547	1	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		547	4	4											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		547	3	3						0
mp91	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Acid Devil Acid Trance		299	1	1	pr198	Gamma Field		120	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		299	4	4	pr198		120	4	4						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		299	3	3	pr198		120	3	3	0
mp92	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr197	Other Raven Heart		570	100	24	pr205	cold		11	1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr197		570	100	28	pr205		11	1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr197		570	100	31	pr205		11	1	1	0
mp93	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Acid Devil Acid Trance		299	2	2	pr198	Mon Super Gift of Inner Fire		539	100	24							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		299	2	2	pr198		539	100	26						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		299	2	2	pr198		539	100	24	0
mp94	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Mon Immolation Target		518	10	1	pr198	Immolation Bomb		154	100	14							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		518	10	4	pr198		154	100	17						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		518	10	3	pr198		154	100	16	0
