description	* info	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm59	Ennead Upgrade	1			100				pal	2	Orb of Divinity	jewl						useitem				pr68			2	2	pr272			1	1	pr222			20	20	pr270		65535	-1	-1	pr88			33	33																																																											0
cm60	Ennead Upgrade	1			100				sor	2	Nexus Crystal	jewl						useitem				pr70			2	2	pr272			1	1	pr207			25	25	pr270		65535	-1	-1	pr88			33	33																																																											0
cm61	LC1				100	18	472	1		3	x#y	SunstoneOfFire						useitem																																																																																							0
cm62	LC1				100	18	472	1		3	x#y	SunstoneOfIce						useitem																																																																																							0
cm63	LC1				100	18	472	1		3	x#y	SunstoneOfThunder						useitem																																																																																							0
cm67	LC1	1			100	3	12	71		2	x#y	SunstoneOfFire						useitem																													SunstoneOfFire																																																										0
cm68	LC1	1			100	3	12	61		2	x#y	SunstoneOfIce						useitem																													SunstoneOfIce																																																										0
cm69	LC1	1			100	3	12	51		2	x#y	SunstoneOfThunder						useitem																													SunstoneOfThunder																																																										0
cm70	LC1	1			100	15	459	15		2	x#y	SunstoneOfIce						useitem																													SunstoneOfIce																																																										0
cm71	LC1	1			100	6	507	3		2	x#y	SunstoneOfIce						useitem				pr452			15	15	pr104			2	2	pr173			10	10	pr0			10	10																																																																0
cm72	LC1	1			100	15	460	15		2	x#y	SunstoneOfFire						useitem																													SunstoneOfFire																																																										0
cm73	LC1	1			100	6	507	2		2	x#y	SunstoneOfFire						useitem				pr453			15	15	pr41			20	20	pr171			10	10	pr0			10	10																																																																0
cm74	LC1	1			100	15	461	15		2	x#y	SunstoneOfThunder						useitem																													SunstoneOfThunder																																																										0
cm75	LC1	1			100	6	507	4		2	x#y	SunstoneOfThunder						useitem				pr454			15	15	pr219			15	15	pr172			10	10	pr257			20	20	pr0			10	10																																																											0
cm10809	LC2 Decoy	1			100	3	12	91	ama	2	Sacred Sunstone	gem4						useitem																																																																																							0
cm10810	LC2 Decoy	1			100	3	12	91	ass	2	Shadow Vortex	gem4						useitem																																																																																							0
cm10811	LC2 Decoy	1			100	3	12	91	bar	2	Worldstone Orb	gem4						useitem																																																																																							0
cm10812	LC2 Decoy	1			100	3	12	91	dru	2	Caoi Dulra Fruit	gem4						useitem																																																																																							0
cm10813	LC2 Decoy	1			100	3	12	91	nec	2	Soulstone Shard	gem4						useitem																																																																																							0
cm10814	LC2 Decoy	1			100	3	12	91	pal	2	Orb of Divinity	gem4						useitem																																																																																							0
cm10815	LC2 Decoy	1			100	3	12	91	sor	2	Nexus Crystal	gem4						useitem																																																																																							0
cm10816	LC2 Decoy	1			100	18	401	1	ama	2	Sacred Sunstone	gem4						useitem																																																																																							0
cm10817	LC2 Decoy	1			100	18	401	1	ass	2	Shadow Vortex	gem4						useitem																																																																																							0
cm10818	LC2 Decoy	1			100	18	401	1	bar	2	Worldstone Orb	gem4						useitem																																																																																							0
cm10819	LC2 Decoy	1			100	18	401	1	dru	2	Caoi Dulra Fruit	gem4						useitem																																																																																							0
cm10820	LC2 Decoy	1			100	18	401	1	nec	2	Soulstone Shard	gem4						useitem																																																																																							0
cm10821	LC2 Decoy	1			100	18	401	1	pal	2	Orb of Divinity	gem4						useitem																																																																																							0
cm10822	LC2 Decoy	1			100	18	401	1	sor	2	Nexus Crystal	gem4						useitem																																																																																							0
cm10823	LC2 Upgrade	1			100	6	507	2225	ama	2	Sacred Sunstone	gem4						useitem				pr448		1	1	1	pr53			25	25	pr14			5	5																																																																					0
cm10824	LC2 Upgrade	1			100	6	507	2225	ass	2	Shadow Vortex	gem4						useitem				pr448		1	1	1	pr266			5	5	pr213			25	25																																																																					0
cm10825	LC2 Upgrade	1			100	6	507	2225	bar	2	Worldstone Orb	gem4						useitem				pr448		1	1	1	pr282			1	1	pr267			5	5																																																																					0
cm10826	LC2 Upgrade	1			100	6	507	2225	dru	2	Caoi Dulra Fruit	gem4						useitem				pr448		1	1	1	pr222			25	25	pr41			5	5																																																																					0
cm10827	LC2 Upgrade	1			100	6	507	2225	nec	2	Soulstone Shard	gem4						useitem				pr448		1	1	1	pr471			1	1	pr269			10	10																																																																					0
cm10828	LC2 Upgrade	1			100	6	507	2225	pal	2	Orb of Divinity	gem4						useitem				pr448		1	1	1	pr4			5	5	pr222			10	10																																																																					0
cm10829	LC2 Upgrade	1			100	6	507	2225	sor	2	Nexus Crystal	gem4						useitem				pr448		1	1	1	pr294			15	15	pr207			5	5																																																																					0
cm76	Black Road Challenge	1			100	6	428	9	ama	1	Sacred Sunstone							useitem				pr315			1	1																																																																															0
cm77	Black Road Challenge	1			100	6	507	1008	ama	1	Sacred Sunstone							useitem				pr314			1	1																																																																															0
cm78	Black Road Challenge	1			100	3	12	126	ama	6	Sacred Sunstone	2x5	2x6	2x7	2x8	2x9		useitem																																																																																							0
cm79	Black Road Challenge	1			100				ama	6	Sacred Sunstone	2x5	2x6	2x7	2x8	2x9		useitem				pr313			1	1																																																																															0
cm80	Black Road Challenge	1			100	3	12	126	ama	1	Sacred Sunstone							useitem																																																																																							0
cm81	Black Road Challenge	1			100	6	507	5	ama	1	Sacred Sunstone							useitem				pr311			1	1																																																																															0
cm82	Black Road Challenge	1			100	3	14	666666	ama	1	Sacred Sunstone							useitem				pr312			1	1																																																																															0
cm83	Black Road Challenge	1			100				ama	1	Sacred Sunstone							useitem																																																																																							0
cm84	Black Road Challenge	1			100	18	421		ama	5	Sacred Sunstone	"vic,qty=4"						useitem																																																																																							0
cm85	Black Road Challenge	1			100	18	422		ama	5	Sacred Sunstone	"vic,qty=4"						useitem																																																																																							0
cm86	Black Road Challenge	1			100	18	423		ama	5	Sacred Sunstone	"vic,qty=4"						useitem																																																																																							0
cm87	Black Road Challenge	1			100	18	424		ama	5	Sacred Sunstone	"vic,qty=4"						useitem																																																																																							0
cm88	Black Road Challenge	1			100	18	425		ama	5	Sacred Sunstone	"vic,qty=4"						useitem																																																																																							0
cm89	Black Road Challenge	1			100	18	419	1	ama	5	Sacred Sunstone	"vic,qty=4"						useitem																																																																																							0
cm90	Black Road Challenge	1			100				ama	5	Sacred Sunstone	"vic,qty=4"						useitem				pr308			1	1	pr273			1	1	pr318			-1	-1	pr13			150	150	pr11			150	150																																																											0
cm91	Black Road Challenge	1			100	6	428	9	ass	1	Shadow Vortex							useitem				pr315			1	1																																																																															0
cm92	Black Road Challenge	1			100	6	507	1008	ass	1	Shadow Vortex							useitem				pr314			1	1																																																																															0
cm93	Black Road Challenge	1			100	3	12	126	ass	6	Shadow Vortex	2x5	2x6	2x7	2x8	2x9		useitem																																																																																							0
cm94	Black Road Challenge	1			100				ass	6	Shadow Vortex	2x5	2x6	2x7	2x8	2x9		useitem				pr313			1	1																																																																															0
cm95	Black Road Challenge	1			100	3	12	126	ass	1	Shadow Vortex							useitem																																																																																							0
cm96	Black Road Challenge	1			100	6	507	5	ass	1	Shadow Vortex							useitem				pr311			1	1																																																																															0
cm97	Black Road Challenge	1			100	3	14	666666	ass	1	Shadow Vortex							useitem				pr312			1	1																																																																															0
cm98	Black Road Challenge	1			100				ass	1	Shadow Vortex							useitem																																																																																							0
cm99	Black Road Challenge	1			100	18	421		ass	5	Shadow Vortex	"vic,qty=4"						useitem																																																																																							0
cm100	Black Road Challenge	1			100	18	422		ass	5	Shadow Vortex	"vic,qty=4"						useitem																																																																																							0
cm101	Black Road Challenge	1			100	18	423		ass	5	Shadow Vortex	"vic,qty=4"						useitem																																																																																							0
cm102	Black Road Challenge	1			100	18	424		ass	5	Shadow Vortex	"vic,qty=4"						useitem																																																																																							0
cm103	Black Road Challenge	1			100	18	425		ass	5	Shadow Vortex	"vic,qty=4"						useitem																																																																																							0
cm104	Black Road Challenge	1			100	18	419	1	ass	5	Shadow Vortex	"vic,qty=4"						useitem																																																																																							0
cm105	Black Road Challenge	1			100				ass	5	Shadow Vortex	"vic,qty=4"						useitem				pr308			1	1	pr273			1	1	pr318			-1	-1	pr13			150	150	pr11			150	150																																																											0
cm106	Black Road Challenge	1			100	6	428	9	bar	1	Worldstone Orb							useitem				pr315			1	1																																																																															0
cm107	Black Road Challenge	1			100	6	507	1008	bar	1	Worldstone Orb							useitem				pr314			1	1																																																																															0
cm108	Black Road Challenge	1			100	3	12	126	bar	6	Worldstone Orb	2x5	2x6	2x7	2x8	2x9		useitem																																																																																							0
cm109	Black Road Challenge	1			100				bar	6	Worldstone Orb	2x5	2x6	2x7	2x8	2x9		useitem				pr313			1	1																																																																															0
cm110	Black Road Challenge	1			100	3	12	126	bar	1	Worldstone Orb							useitem																																																																																							0
cm111	Black Road Challenge	1			100	6	507	5	bar	1	Worldstone Orb							useitem				pr311			1	1																																																																															0
cm112	Black Road Challenge	1			100	3	14	666666	bar	1	Worldstone Orb							useitem				pr312			1	1																																																																															0
cm113	Black Road Challenge	1			100				bar	1	Worldstone Orb							useitem																																																																																							0
cm114	Black Road Challenge	1			100	18	421		bar	5	Worldstone Orb	"vic,qty=4"						useitem																																																																																							0
cm115	Black Road Challenge	1			100	18	422		bar	5	Worldstone Orb	"vic,qty=4"						useitem																																																																																							0
cm116	Black Road Challenge	1			100	18	423		bar	5	Worldstone Orb	"vic,qty=4"						useitem																																																																																							0
cm117	Black Road Challenge	1			100	18	424		bar	5	Worldstone Orb	"vic,qty=4"						useitem																																																																																							0
cm118	Black Road Challenge	1			100	18	425		bar	5	Worldstone Orb	"vic,qty=4"						useitem																																																																																							0
cm119	Black Road Challenge	1			100	18	419	1	bar	5	Worldstone Orb	"vic,qty=4"						useitem																																																																																							0
cm120	Black Road Challenge	1			100				bar	5	Worldstone Orb	"vic,qty=4"						useitem				pr308			1	1	pr273			1	1	pr318			-1	-1	pr13			150	150	pr11			150	150																																																											0
cm121	Black Road Challenge	1			100	6	428	9	dru	1	Caoi Dulra Fruit							useitem				pr315			1	1																																																																															0
cm122	Black Road Challenge	1			100	6	507	1008	dru	1	Caoi Dulra Fruit							useitem				pr314			1	1																																																																															0
cm123	Black Road Challenge	1			100	3	12	126	dru	6	Caoi Dulra Fruit	2x5	2x6	2x7	2x8	2x9		useitem																																																																																							0
cm124	Black Road Challenge	1			100				dru	6	Caoi Dulra Fruit	2x5	2x6	2x7	2x8	2x9		useitem				pr313			1	1																																																																															0
cm125	Black Road Challenge	1			100	3	12	126	dru	1	Caoi Dulra Fruit							useitem																																																																																							0
cm126	Black Road Challenge	1			100	6	507	5	dru	1	Caoi Dulra Fruit							useitem				pr311			1	1																																																																															0
cm127	Black Road Challenge	1			100	3	14	666666	dru	1	Caoi Dulra Fruit							useitem				pr312			1	1																																																																															0
cm128	Black Road Challenge	1			100				dru	1	Caoi Dulra Fruit							useitem																																																																																							0
cm129	Black Road Challenge	1			100	18	421		dru	5	Caoi Dulra Fruit	"vic,qty=4"						useitem																																																																																							0
cm130	Black Road Challenge	1			100	18	422		dru	5	Caoi Dulra Fruit	"vic,qty=4"						useitem																																																																																							0
cm131	Black Road Challenge	1			100	18	423		dru	5	Caoi Dulra Fruit	"vic,qty=4"						useitem																																																																																							0
cm132	Black Road Challenge	1			100	18	424		dru	5	Caoi Dulra Fruit	"vic,qty=4"						useitem																																																																																							0
cm133	Black Road Challenge	1			100	18	425		dru	5	Caoi Dulra Fruit	"vic,qty=4"						useitem																																																																																							0
cm134	Black Road Challenge	1			100	18	419	1	dru	5	Caoi Dulra Fruit	"vic,qty=4"						useitem																																																																																							0
cm135	Black Road Challenge	1			100				dru	5	Caoi Dulra Fruit	"vic,qty=4"						useitem				pr308			1	1	pr273			1	1	pr318			-1	-1	pr13			150	150	pr11			150	150																																																											0
cm136	Black Road Challenge	1			100	6	428	9	nec	1	Soulstone Shard							useitem				pr315			1	1																																																																															0
cm137	Black Road Challenge	1			100	6	507	1008	nec	1	Soulstone Shard							useitem				pr314			1	1																																																																															0
cm138	Black Road Challenge	1			100	3	12	126	nec	6	Soulstone Shard	2x5	2x6	2x7	2x8	2x9		useitem																																																																																							0
cm139	Black Road Challenge	1			100				nec	6	Soulstone Shard	2x5	2x6	2x7	2x8	2x9		useitem				pr313			1	1																																																																															0
cm140	Black Road Challenge	1			100	3	12	126	nec	1	Soulstone Shard							useitem																																																																																							0
cm141	Black Road Challenge	1			100	6	507	5	nec	1	Soulstone Shard							useitem				pr311			1	1																																																																															0
cm142	Black Road Challenge	1			100	3	14	666666	nec	1	Soulstone Shard							useitem				pr312			1	1																																																																															0
cm143	Black Road Challenge	1			100				nec	1	Soulstone Shard							useitem																																																																																							0
cm144	Black Road Challenge	1			100	18	421		nec	5	Soulstone Shard	"vic,qty=4"						useitem																																																																																							0
cm145	Black Road Challenge	1			100	18	422		nec	5	Soulstone Shard	"vic,qty=4"						useitem																																																																																							0
cm146	Black Road Challenge	1			100	18	423		nec	5	Soulstone Shard	"vic,qty=4"						useitem																																																																																							0
cm147	Black Road Challenge	1			100	18	424		nec	5	Soulstone Shard	"vic,qty=4"						useitem																																																																																							0
cm148	Black Road Challenge	1			100	18	425		nec	5	Soulstone Shard	"vic,qty=4"						useitem																																																																																							0
cm149	Black Road Challenge	1			100	18	419	1	nec	5	Soulstone Shard	"vic,qty=4"						useitem																																																																																							0
cm150	Black Road Challenge	1			100				nec	5	Soulstone Shard	"vic,qty=4"						useitem				pr308			1	1	pr273			1	1	pr318			-1	-1	pr13			150	150	pr11			150	150																																																											0
cm151	Black Road Challenge	1			100	6	428	9	pal	1	Orb of Divinity							useitem				pr315			1	1																																																																															0
cm152	Black Road Challenge	1			100	6	507	1008	pal	1	Orb of Divinity							useitem				pr314			1	1																																																																															0
cm153	Black Road Challenge	1			100	3	12	126	pal	6	Orb of Divinity	2x5	2x6	2x7	2x8	2x9		useitem																																																																																							0
cm154	Black Road Challenge	1			100				pal	6	Orb of Divinity	2x5	2x6	2x7	2x8	2x9		useitem				pr313			1	1																																																																															0
cm155	Black Road Challenge	1			100	3	12	126	pal	1	Orb of Divinity							useitem																																																																																							0
cm156	Black Road Challenge	1			100	6	507	5	pal	1	Orb of Divinity							useitem				pr311			1	1																																																																															0
cm157	Black Road Challenge	1			100	3	14	666666	pal	1	Orb of Divinity							useitem				pr312			1	1																																																																															0
cm158	Black Road Challenge	1			100				pal	1	Orb of Divinity							useitem																																																																																							0
cm159	Black Road Challenge	1			100	18	421		pal	5	Orb of Divinity	"vic,qty=4"						useitem																																																																																							0
cm160	Black Road Challenge	1			100	18	422		pal	5	Orb of Divinity	"vic,qty=4"						useitem																																																																																							0
cm161	Black Road Challenge	1			100	18	423		pal	5	Orb of Divinity	"vic,qty=4"						useitem																																																																																							0
cm162	Black Road Challenge	1			100	18	424		pal	5	Orb of Divinity	"vic,qty=4"						useitem																																																																																							0
cm163	Black Road Challenge	1			100	18	425		pal	5	Orb of Divinity	"vic,qty=4"						useitem																																																																																							0
cm164	Black Road Challenge	1			100	18	419	1	pal	5	Orb of Divinity	"vic,qty=4"						useitem																																																																																							0
cm165	Black Road Challenge	1			100				pal	5	Orb of Divinity	"vic,qty=4"						useitem				pr308			1	1	pr273			1	1	pr318			-1	-1	pr13			150	150	pr11			150	150																																																											0
cm166	Black Road Challenge	1			100	6	428	9	sor	1	Nexus Crystal							useitem				pr315			1	1																																																																															0
cm167	Black Road Challenge	1			100	6	507	1008	sor	1	Nexus Crystal							useitem				pr314			1	1																																																																															0
cm168	Black Road Challenge	1			100	3	12	126	sor	6	Nexus Crystal	2x5	2x6	2x7	2x8	2x9		useitem																																																																																							0
cm169	Black Road Challenge	1			100				sor	6	Nexus Crystal	2x5	2x6	2x7	2x8	2x9		useitem				pr313			1	1																																																																															0
cm170	Black Road Challenge	1			100	3	12	126	sor	1	Nexus Crystal							useitem																																																																																							0
cm171	Black Road Challenge	1			100	6	507	5	sor	1	Nexus Crystal							useitem				pr311			1	1																																																																															0
cm172	Black Road Challenge	1			100	3	14	666666	sor	1	Nexus Crystal							useitem				pr312			1	1																																																																															0
cm173	Black Road Challenge	1			100				sor	1	Nexus Crystal							useitem																																																																																							0
cm174	Black Road Challenge	1			100	18	421		sor	5	Nexus Crystal	"vic,qty=4"						useitem																																																																																							0
cm175	Black Road Challenge	1			100	18	422		sor	5	Nexus Crystal	"vic,qty=4"						useitem																																																																																							0
cm176	Black Road Challenge	1			100	18	423		sor	5	Nexus Crystal	"vic,qty=4"						useitem																																																																																							0
cm177	Black Road Challenge	1			100	18	424		sor	5	Nexus Crystal	"vic,qty=4"						useitem																																																																																							0
cm178	Black Road Challenge	1			100	18	425		sor	5	Nexus Crystal	"vic,qty=4"						useitem																																																																																							0
cm179	Black Road Challenge	1			100	18	419	1	sor	5	Nexus Crystal	"vic,qty=4"						useitem																																																																																							0
cm180	Black Road Challenge	1			100				sor	5	Nexus Crystal	"vic,qty=4"						useitem				pr308			1	1	pr273			1	1	pr318			-1	-1	pr13			150	150	pr11			150	150																																																											0
cm181	Gem Upgrade	1								2	"gcv,qty=2"							gfv																																																																																							0
cm182	Gem Upgrade	1								2	"gfv,qty=2"							gsv																																																																																							0
cm183	Gem Upgrade	1								2	"gsv,qty=2"							gzv																																																																																							0
cm184	Gem Upgrade	1								2	"gzv,qty=2"							gpv																																																																																							0
cm185	Gem Upgrade	1								2	"gcr,qty=2"							gfr																																																																																							0
cm186	Gem Upgrade	1								2	"gfr,qty=2"							gsr																																																																																							0
cm187	Gem Upgrade	1								2	"gsr,qty=2"							glr																																																																																							0
cm188	Gem Upgrade	1								2	"glr,qty=2"							gpr																																																																																							0
cm189	Gem Upgrade	1								2	"gcb,qty=2"							gfb																																																																																							0
cm190	Gem Upgrade	1								2	"gfb,qty=2"							gsb																																																																																							0
cm191	Gem Upgrade	1								2	"gsb,qty=2"							glb																																																																																							0
cm192	Gem Upgrade	1								2	"glb,qty=2"							gpb																																																																																							0
cm193	Gem Upgrade	1								2	"gcy,qty=2"							gfy																																																																																							0
cm194	Gem Upgrade	1								2	"gfy,qty=2"							gsy																																																																																							0
cm195	Gem Upgrade	1								2	"gsy,qty=2"							gly																																																																																							0
cm196	Gem Upgrade	1								2	"gly,qty=2"							gpy																																																																																							0
cm197	Gem Upgrade	1								2	"gcg,qty=2"							gfg																																																																																							0
cm198	Gem Upgrade	1								2	"gfg,qty=2"							gsg																																																																																							0
cm199	Gem Upgrade	1								2	"gsg,qty=2"							glg																																																																																							0
cm200	Gem Upgrade	1								2	"glg,qty=2"							gpg																																																																																							0
cm201	Gem Upgrade	1								2	"gcw,qty=2"							gfw																																																																																							0
cm202	Gem Upgrade	1								2	"gfw,qty=2"							gsw																																																																																							0
cm203	Gem Upgrade	1								2	"gsw,qty=2"							glw																																																																																							0
cm204	Gem Upgrade	1								2	"glw,qty=2"							gpw																																																																																							0
cm205	Gem Upgrade	1								2	"skc,qty=2"							skf																																																																																							0
cm206	Gem Upgrade	1								2	"skf,qty=2"							sku																																																																																							0
cm207	Gem Upgrade	1								2	"sku,qty=2"							skl																																																																																							0
cm208	Gem Upgrade	1								2	"skl,qty=2"							skz																																																																																							0
cm209	Gem Upgrade	1								2	"yo1,qty=2"							yo2																																																																																							0
cm210	Gem Upgrade	1								2	"yo2,qty=2"							yo3																																																																																							0
cm211	Gem Upgrade	1								2	"yo3,qty=2"							yo4																																																																																							0
cm212	Gem Upgrade	1								2	"yo4,qty=2"							yo5																																																																																							0
cm213	Gem Upgrade	1								2	"g$a,qty=2"							g$b																																																																																							0
cm214	Gem Upgrade	1								2	"g$b,qty=2"							g$c																																																																																							0
cm215	Gem Upgrade	1								2	"g$c,qty=2"							g$d																																																																																							0
cm216	Gem Upgrade	1								2	"g$d,qty=2"							g$e																																																																																							0
cm217	Gem Upgrade	1								2	"9$a,qty=2"							9$b																																																																																							0
cm218	Gem Upgrade	1								2	"9$b,qty=2"							9$c																																																																																							0
cm219	Gem Upgrade	1								2	"9$c,qty=2"							9$d																																																																																							0
cm220	Gem Upgrade	1								2	"9$d,qty=2"							9$e																																																																																							0
cm221	Gem Upgrade	1								2	"7$a,qty=2"							7$b																																																																																							0
