index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*Laz / comment	* Laz1	* Laz2	* Laz3	* Laz4	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
LegOfBlood		1		1	1	1	100	adi 							1	5	5000				bloodlegacy	so0		so0	pr280		2	2	pr66		2	4	pr65		2	4																																					0
SROTA		1		1	1	1	120	aq! 							1	5	5000					so0		so0	pr269		21	25	pr292		11	15	pr7		41	50	pr8		41	50	pr10		41	50	pr9		41	50	pr291		21	30	pr104		1	1																	0
XtallineFlameMedaillon		1		1	1	1	120	lok							1	5	5000	lblu	lblu			so0		so0	pr43		10	10	pr49		10	10	pr45		10	10	pr204	773	1	1																																	0
Xtalline2		1		2	1	1	120	lok							1	5	5000	lblu	lblu			so0		so0	pr43		10	10	pr49		10	10	pr45		10	10	pr204	773	1	1																																	0
x#y		1		1	1	1	50	x#x							1	5	1000					so0		so0	pr134		15	20	pr137	75	15	20	pr135		15	20																																					0
Sacred Sunstone		1		1	1	1	90	x01							1	5	5000				newclasscharm	so0		so0	pr73		2	2	pr270		1	1	pr318		1	1	pr280		1	1																																	0
Shadow Vortex		1		1	1	1	90	x02							1	5	5000				newclasscharm	so0		so0	pr73		2	2	pr270		1	1	pr318		1	1	pr280		1	1																																	0
Worldstone Orb		1		1	1	1	90	x03							1	5	5000				newclasscharm	so0		so0	pr73		2	2	pr270		1	1	pr318		1	1	pr280		1	1																																	0
Caoi Dulra Fruit		1		1	1	1	90	x04							1	5	5000				newclasscharm	so0		so0	pr73		2	2	pr270		1	1	pr318		1	1	pr280		1	1																																	0
Soulstone Shard		1		1	1	1	90	x05							1	5	5000				newclasscharm	so0		so0	pr73		2	2	pr270		1	1	pr318		1	1	pr280		1	1																																	0
Orb of Divinity		1		1	1	1	90	x06							1	5	5000				newclasscharm	so0		so0	pr73		2	2	pr270		1	1	pr318		1	1	pr280		1	1																																	0
Nexus Crystal		1		1	1	1	90	x07							1	5	5000				newclasscharm	so0		so0	pr73		2	2	pr270		1	1	pr318		1	1	pr280		1	1																																	0
EternalBonePile		1		1	1	1	100	x0x							1	5	5000					so0		so0	pr67		1	2	pr122		1	2	pr71		1	2	pr121		1	2	pr69		1	2	pr68		1	2	pr70		1	2	pr63		500	500	pr280		1	1													0
SunstoneOfFire		1		1	1	1		x1x							1	5	5000					so0		so0	pr73		1	1																																													0
SunstoneOfIce		1		1	1	1		x2x							1	5	5000					so0		so0	pr73		1	1																																													0
SunstoneOfThunder		1		1	1	1		x3x							1	5	5000					so0		so0	pr73		1	1																																													0
SunstoneOfTheGods		1		1	1	1	100	x4x							1	5	5000					so0		so0	pr14		11	15	pr12		11	15	pr20		51	100	pr21		101	150	pr17		51	100	pr18		101	150	pr22		51	100	pr23		101	150	pr19		25	25													0
NewSixAngelBag		1		1	1	1	60	yq2							1	5	5000					so0		so0	pr31		21	25	pr35		21	25	pr33		21	25	pr20		101	150	pr21		151	250	pr17		101	150	pr18		151	250	pr22		101	150	pr23		151	250	pr19		25	25									0
JollyRoger		1		1	1	1	5	yq7							1	5	5000					so0		so0	pr279		1	1	pr278		1	1	pr125	290	1	1			4	4																																	0
ZakarumsEar		1		1	1	1	80	yq8							1	5	5000					so0		so0	pr191		16	25	pr219		6	10	pr73		2	2																																					0
TomeOfTheSpider		1		1	1	1	100	yqe							1	5	5000					so0		so0	pr95		1	1	pr291		21	25	pr280		1	1	pr204	829	1	1																																	0
HerbalQuintessence		1		1	1	1	100	yqx							1	5	5000					so0		so0	pr53		11	40	pr96		21	150	pr87		10	10	pr57		10	10																																	0
HotTJ		1		1	1	1	40	0u1							1	5	5000					so0		so0	pr239		50	50	pr291		21	25	pr321	8	8	8																																					0
TheBookOfLies2		1		1	1	1	60	k@k							1	5	5000	cred	cred			so0		so0	pr13		51	500	pr11		51	500																																									0
UniqueDemonsbane		1		1	1	1	100	t@t							1	5	5000	oran	oran		demonsbaneZ	so0		so0	pr67			2	pr122			2	pr71			2	pr121			2	pr69			2	pr68			2	pr70			2	pr53		50	50																	0
ColdFusionSchematics		1		1	1	1	100	w@w							1	5	5000	lblu	lblu		coldfusion	so0		so0	pr127	542	5	10	pr7		11	50	pr8		11	50	pr10		11	50	pr9		11	50	pr198	564	100	59																									0
BookOfLaz		1		1	1	1	100	x@x							1	5	5000	blac	blac		bookoflaz	so4729		so4729	pr140		50	50	pr58		201	250	pr104		1	1	pr98		51	75	pr41		11	15	pr117	1623		5																									0
KabraxisSoul3		1		1	1	1	100	bxa							1	5	5000					so4908		so4908	pr104		1	1	pr198	820	50	49																																									0
CycleOfPower0		1		1	1	120	60	cm1								2	3000					so0		so0	pr7		1	15																																													0
CycleOfPower01		1		1	1	120	60	cm1								2	3000					so0		so0	pr8		1	15																																													0
CycleOfPower02		1		1	1	120	60	cm1								2	3000					so0		so0	pr9		1	15																																													0
CycleOfPower03		1		1	1	120	60	cm1								2	3000					so0		so0	pr10		1	15																																													0
CycleOfPower1		1		1	1	120	70	cm2								3	4000					so0		so0	pr7		5	20	pr215		1	5																																									0
CycleOfPower11		1		1	1	120	70	cm2								3	4000					so0		so0	pr8		5	20	pr216		1	5																																									0
CycleOfPower12		1		1	1	120	70	cm2								3	4000					so0		so0	pr9		5	20	pr218		1	5																																									0
CycleOfPower13		1		1	1	120	70	cm2								3	4000					so0		so0	pr10		5	20	pr217		1	5																																									0
CycleOfPower2		1		1	1	120	80	cm3								4	5000					so0		so0	pr7		10	25	pr215		1	10																																									0
CycleOfPower21		1		1	1	120	80	cm3								4	5000					so0		so0	pr8		10	25	pr216		1	10																																									0
CycleOfPower22		1		1	1	120	80	cm3								4	5000					so0		so0	pr9		10	25	pr218		1	10																																									0
CycleOfPower23		1		1	1	120	80	cm3								4	5000					so0		so0	pr10		10	25	pr217		1	10																																									0
CycleOfGreed0		1		1	1	120	20	cm1								1	5					so0		so0	pr58		-10	50																																													0
CycleOfGreed1		1		1	1	120	30	cm2								1	5					so0		so0	pr58		-30	150																																													0
CycleOfGreed2		1		1	1	120	40	cm3								1	5					so0		so0	pr58		-100	300																																													0
CycleOfLuck0		1		1	1	120	60	cm1								5	10000					so0		so0	pr59		-5	20																																													0
CycleOfLuck1		1		1	1	120	70	cm2								5	10000					so0		so0	pr59		-25	45																																													0
CycleOfLuck2		1		1	1	120	80	cm3								5	10000					so0		so0	pr59		-40	75																																													0
CycleOfSpeed0		1		1	1	120	30	cm1								2	3000					so0		so0	pr257		1	4																																													0
CycleOfSpeed1		1		1	1	120	40	cm2								2	3000					so0		so0	pr257		1	10																																													0
CycleOfSpeed2		1		1	1	120	50	cm3								2	3000					so0		so0	pr257		1	25																																													0
CycleOfMiracles0		1		1	1	120	80	cm1								5	15					so0		so0	pr183		1	5	pr185		1	5	pr186		1	5	pr184		1	5																																	0
CycleOfMiracles1		1		1	1	120	90	cm2								5	15					so0		so0	pr171		1	6	pr173		1	6	pr174		1	6	pr172		1	6																																	0
CycleOfMiracles2		1		1	1	120	100	cm3								5	15					so0		so0	pr31		5	20	pr32		-1	2	pr35		5	20	pr36		-1	2	pr33		5	20	pr34		-1	2	pr39		5	20	pr40		-1	2																	0
CycleOfWisdom0		1		1	1	120	120	cm2							1	10	10000					so0		so0	pr67		1	1	pr190		-5																																										0
CycleOfWisdom1		1		1	1	120	120	cm2							1	10	10000					so0		so0	pr122		1	1	pr190		-5																																										0
CycleOfWisdom2		1		1	1	120	120	cm2							1	10	10000					so0		so0	pr71		1	1	pr190		-5																																										0
CycleOfWisdom3		1		1	1	120	120	cm2							1	10	10000					so0		so0	pr121		1	1	pr190		-5																																										0
CycleOfWisdom4		1		1	1	120	120	cm2							1	10	10000					so0		so0	pr69		1	1	pr190		-5																																										0
CycleOfWisdom5		1		1	1	120	120	cm2							1	10	10000					so0		so0	pr70		1	1	pr190		-5																																										0
CycleOfWisdom6		1		1	1	120	120	cm2							1	10	10000					so0		so0	pr68		1	1	pr190		-5																																										0
CycleOfLust0		1		1	1	120	120	cm3									1					so0		so0	pr73		-1	-5																																													0
CycleOfWealth0		1		1	1	120	90	cm1								5	3000					so0		so0	pr13		-10	30	pr11		-10	30																																									0
CycleOfWealth1		1		1	1	120	100	cm2								5	3000					so0		so0	pr13		-20	50	pr14			3	pr11		-20	50	pr12			3																																	0
CycleOfWealth2		1		1	1	120	110	cm3								5	3000					so0		so0	pr13		-50	100	pr14			5	pr11		-50	100	pr12			5																																	0
CycleOfGold		1		1	1	120	120	\\6							1	5	50000					so0		so0	pr104		1	1	pr190		10	10	pr14		5	5	pr12		5	5																																	0
BookOfTriune2		1		1	1	1	120	\\7							1	5	5000					so0		so0	pr13		13	13	pr31		3	3	pr7		-2	-4	pr0		-1	-7	pr204	763	2	2	pr125	1178	1	1																									0
LucionsSoulstone2		1		1	1	1	120	\\8							1	5	5000					so0		so0	pr239		50	50	pr114		10	10	pr68		2	5	pr471		1	1	pr28		50	50	pr193		50	50																									0
CycleOfAggression01		1		1	1	120	60	cm1								2	1000					so0		so0	pr221		1	2	pr96		10	20	pr140		1	5																																					0
CycleOfAggression11		1		1	1	120	70	cm2								2	1000					so0		so0	pr221		1	5	pr96		25	50	pr140		3	8																																					0
CycleOfAggression21		1		1	1	120	80	cm3								2	1000					so0		so0	pr221		1	10	pr96		50	100	pr140		6	12																																					0
Soulkeep2		1		1	1	120	120	lawl	Soulkeeper						1	5	5000					so0		so0	pr375		25	25	pr73		-5	-5	pr227		6	10	pr479	147	50	2																																	0
BossSummonerRing		1		1	1	1		vor1	Ring of Pride							5	5000				invrinquest	so0		so0	pr390		1	1																																													0
UpgradedBossSummonerRing		1		1	1	1	120	vor2	Sigil of Deadly Sins							5	5000	blac	blac		invrinquest	so0		so0	pr204	1182	1	1	pr73		6	15	pr190		26	50	pr13		200	200	pr11		200	200																													0
RathmasSupremacy2		1		1	1	120	120	voXX	Rathma's Supremacy						1	5	5000	blac	blac			so0		so0	pr73		5	10																																													0
TrophyCarrier2		1		1	1	120	100	`|#	The Sleep						1	5	5000					so0		so0	pr390		1	1																																													0
UldyssianCharm3		1		1	1	120	120	##.	Uldyssian's Sword						1	5	5000					so0		so0	pr128	248	5	1	pr104			2	pr41		11	30	pr182	876	100	1																																	0
LC0_STATUE		1		1	1	1	1	||;	LC0 Statue						1							so0		so0	pr204	1139	1	1																																													0
HEYTHISISLC0CHARM2		1		1	1	1	1	#X0	Harkon Crystal						1	1	1					so0		so0	pr390		1	1																																													0
AncientRepositories		1		1	1	120	120	|\\	Ancient Repositories						1	5	5000					so0		so0	pr96		101	150	pr368		5	20	pr205	186	1	1	pr104			1	pr7		5	25	pr8		5	25	pr9		5	25	pr10		5	25	pr207		21	30	pr108		11	20	pr14		6	10					0
BrachyceranReward		1		1	1	120	120	|\#	Xazax's Illusion						1	5	5000					so0		so0	pr53		100	250	pr39		26	50	pr78		11	15	pr122			1	pr67			1	pr121			1	pr71			1	pr70			1	pr68			1	pr69			1	pr63		100	100					0
FLSG2		1		1	1	1	100	az!	Fool's Gold						1	5	5000					so0		so0	pr58		-75	-75	pr222		11	15	pr330	3	1256	1553	pr7		31	50	pr8		31	50	pr10		31	50	pr9		31	50	pr7		-12	-41	pr8		-12	-41	pr10		-12	-41	pr9		-12	-41	pr59		31	40	0
TradersChest2		1		1	1	120	120	`^`	Trader's Chest						1	10	100000					so0		so0	pr73		1	1																																													0
Catechumen		1		10	1	12	7	w23 	Aerin Shield	(Tier 1)						5	5000	lgld	lgld			so0		so0	pr133		2	2	pr5		21	50	pr99		31	50	pr27		16	25	pr28		31	50	pr75		-11	-15	pr31		13	15	pr35		13	15	pr33		13	15	pr39		16	25	pr117	927	3	5	pr126	451	5	6	0
Catechumen		1		10	1	27	16	w43 	Aerin Shield	(Tier 2)						5	5000	lgld	lgld			so0		so0	pr133		2	2	pr5		51	80	pr99		51	70	pr27		26	35	pr28		51	70	pr75		-16	-20	pr31		16	18	pr35		16	18	pr33		16	18	pr39		26	35	pr117	927	6	8	pr126	451	7	12	0
Catechumen		1		10	1	41	25	w63 	Aerin Shield	(Tier 3)						5	5000	lgld	lgld			so0		so0	pr133		2	2	pr5		81	110	pr99		71	90	pr27		36	45	pr28		71	90	pr75		-21	-25	pr31		19	21	pr35		19	21	pr33		19	21	pr39		36	45	pr117	927	9	11	pr126	451	9	18	0
Catechumen		1		10	1	56	34	w83 	Aerin Shield	(Tier 4)						5	5000	lgld	lgld			so0		so0	pr133		3	3	pr5		111	140	pr99		91	110	pr27		46	55	pr28		91	110	pr75		-26	-30	pr31		22	24	pr35		22	24	pr33		22	24	pr39		46	55	pr117	927	12	14	pr126	451	11	24	0
Catechumen		1		10	1	71	42	e13 	Aerin Shield	(Tier 5)						5	5000	lgld	lgld			so0		so0	pr133		3	3	pr5		141	170	pr99		111	130	pr27		56	65	pr28		111	130	pr75		-31	-35	pr31		25	27	pr35		25	27	pr33		25	27	pr39		56	65	pr117	927	15	17	pr126	451	13	30	0
Catechumen		1		10	1	85	51	e33 	Aerin Shield	(Tier 6)						5	5000	lgld	lgld			so0		so0	pr133		4	4	pr5		171	200	pr99		131	150	pr27		66	75	pr28		131	150	pr75		-36	-40	pr31		28	30	pr35		28	30	pr33		28	30	pr39		66	75	pr117	927	18	20	pr126	451	15	36	0
Astreon's Citadel		1		10	1	120	100	@60 	Aerin Shield	(Sacred) SU						5	5000	dgry	lgry			so0		so0	pr133		4	4	pr5		251	300	pr222		11	15	pr33		100	100	pr35		100	100	pr219		11	15	pr68		1	1	pr191		-5	-5	pr52		-75	-75	pr16		1	1	pr266		5	5	pr221		20	20	0
New2TobiosKey		1		4	1	120	100	@60 	Aerin Shield	(Sacred) SSU						5	5000	dgld	lred			so0		so0	pr133		6	6	pr5		201	250	pr183		31	40	pr206		31	40	pr236		31	40	pr261		2	2	pr10		100	100	pr0		1000	1000	pr291		50	50	pr87		20	20	pr31		50	50	pr33		-25	-25	0
AerinShieldSU3		1		1	1	120	100	@60 	Aerin Shield	(Sacred) SSSU						5	5000	dgld	dgld			so0		so0	pr133		4	4	pr5		301	350	pr16		2	3	pr204	475	22	27	pr57		25	25	pr84		30	30	pr326		1	2	pr68		1	2	pr4		5	5	pr140		25	30									0
Queen of Glass		1		10	1	19	11	614 	Ancient Armor	(Tier 1)						5	5000	blac	dgry			so0		so0	pr133		2	2	pr5		31	50	pr75		-11	-15	pr87		15	15	pr309		11	15	pr78		5	5	pr35		21	25	pr33		21	25	pr52		-90	-90	pr11		151	250									0
Queen of Glass		1		10	1	33	20	660 	Ancient Armor	(Tier 2)						5	5000	blac	dgry			so0		so0	pr133		3	3	pr5		51	70	pr75		-16	-20	pr87		20	20	pr309		16	20	pr78		10	10	pr35		26	30	pr33		26	30	pr52		-90	-90	pr11		251	350									0
Queen of Glass		1		10	1	49	30	706 	Ancient Armor	(Tier 3)						5	5000	blac	dgry			so0		so0	pr133		4	4	pr5		71	90	pr75		-21	-25	pr87		25	25	pr309		21	25	pr78		15	15	pr35		31	35	pr33		31	35	pr52		-90	-90	pr11		351	450									0
Queen of Glass		1		10	1	63	38	752 	Ancient Armor	(Tier 4)						5	5000	blac	dgry			so0		so0	pr133		4	4	pr5		91	110	pr75		-26	-30	pr87		30	30	pr309		26	30	pr78		20	20	pr35		36	40	pr33		36	40	pr52		-90	-90	pr11		451	550									0
Queen of Glass		1		10	1	78	47	798 	Ancient Armor	(Tier 5)						5	5000	blac	dgry			so0		so0	pr133		5	5	pr5		111	130	pr75		-31	-35	pr87		35	35	pr309		31	35	pr78		25	25	pr35		41	45	pr33		41	45	pr52		-90	-90	pr11		551	650									0
Queen of Glass		1		10	1	90	54	844 	Ancient Armor	(Tier 6)						5	5000	blac	dgry			so0		so0	pr133		6	6	pr5		131	150	pr75		-36	-40	pr87		40	40	pr309		36	40	pr78		30	30	pr35		46	50	pr33		46	50	pr52		-90	-90	pr11		651	750									0
Torn Flesh of Gods		1		10	1	120	100	@15 	Ancient Armor	(Sacred) SU						5	5000	lred	lred			so0		so0	pr133		6	6	pr5		301	350	pr356		101	150	pr9		100	100	pr3		61	100	pr104		1	2	pr41		-75	-75	pr75		50	50	pr7		100	100	pr13		1000	1000									0
KhazraPlate		1		4	1	120	100	@15 	Ancient Armor	(Sacred) SSU						5	5000	dred	dred			so0		so0	pr133		6	6	pr5		301	350	pr108		15	15	pr75		200	200	pr4		10	10	pr215		25	25	pr218		25	25	pr98		100	100	pr113		10	10	pr277		1	1	pr125	297	1	1					0
AncientArmorSU3		1		1	1	120	100	@15 	Ancient Armor	(Sacred) SSSU						5	5000	blac	blac		mercbombb	so0		so0	pr133		6	6	pr293		-100	-100	pr128	565	100	5	pr198	564	100	33	pr198	388	100	33	pr198	580	100	33	pr198	820	100	33	pr198	340	100	33	pr198	762	100	33	pr198	501	100	33	pr198	950	100	33	pr198	864	100	33	0
NewGrandArmor		1		4	1	120	100	@15	Ancient Armor	(Sacred) Secret						5	5000	dred	dred			so0		so0	pr133		6	6	pr5		301	350	pr223		100	100	pr14		11	15	pr13		500	500	pr53		401	500	pr3		100	100	pr4		10	10	pr6		10	10	pr75		500	500									0
Vindicatress		1		10	1	12	8	4@A 		(Tier 1)						5	5000	lyel	lyel			so0		so0	pr133		1	1	pr387	76	76	76	pr183		11	15	pr128	496	1	2	pr206		11	15	pr87		10	10	pr31		21	30	pr37		3	5	pr10		21	30	pr68		1	1	pr75		-6	-10	pr117	1146	11	15	0
Vindicatress		1		10	1	26	17	5@A 		(Tier 2)						5	5000	lyel	lyel			so0		so0	pr133		2	2	pr387	76	76	76	pr183		16	20	pr128	496	1	4	pr206		16	20	pr87		20	20	pr31		31	40	pr37		6	8	pr10		31	40	pr68		1	2	pr75		-11	-15	pr117	1146	16	20	0
Vindicatress		1		10	1	41	26	6@A 		(Tier 3)						5	5000	lyel	lyel			so0		so0	pr133		2	2	pr387	76	76	76	pr183		21	25	pr128	496	2	6	pr206		21	25	pr87		30	30	pr31		41	50	pr37		9	11	pr10		41	50	pr68		1	2	pr75		-16	-20	pr117	1146	21	25	0
Vindicatress		1		10	1	56	36	7@A 		(Tier 4)						5	5000	lyel	lyel			so0		so0	pr133		2	2	pr387	76	76	76	pr183		26	30	pr128	496	2	8	pr206		26	30	pr87		40	40	pr31		51	60	pr37		12	14	pr10		51	60	pr68		1	3	pr75		-21	-25	pr117	1146	26	30	0
Vindicatress		1		10	1	70	45	8@A 		(Tier 5)						5	5000	lyel	lyel			so0		so0	pr133		3	3	pr387	76	76	76	pr183		31	35	pr128	496	3	10	pr206		31	35	pr87		50	50	pr31		61	70	pr37		15	17	pr10		61	70	pr68		2	3	pr75		-26	-30	pr117	1146	31	35	0
Vindicatress		1		10	1	85	54	9@A 		(Tier 6)						5	5000	lyel	lyel			so0		so0	pr133		3	3	pr387	76	76	76	pr183		36	40	pr128	496	3	12	pr206		36	40	pr87		60	60	pr31		71	80	pr37		18	20	pr10		71	80	pr68		2	4	pr75		-31	-35	pr117	1146	36	40	0
The Angiris Star		1		10	1	120	100	1@B 		(Sacred) SU						5	5000	lblu	lblu			so0		so0	pr133		3	3	pr387	76	76	76	pr29		251	300	pr98		201	250	pr215		21	25	pr218		21	25	pr16		1	1	pr68		4	5	pr127	542	50	10	pr197	820	10	27	pr28		301	400	pr27		101	150	0
NewTheDragonStar		1		4	1	120	100	1@B 		(Sacred) SSU						5	5000	blac	blac			so0		so0	pr133		3	3	pr387	76	76	76	pr29		301	350	pr140		150	300	pr269		101	125	pr174		41	50	pr126	563	5	12	pr204	614	2	3	pr68		2	2	pr9		-50	-50									0
AngelStarSU3		1		1	1	120	100	1@B 		(Sacred) SSSU						5	5000	cgrn	cgrn			so0		so0	pr133		3	3	pr387	76	76	76	pr207		40	50	pr29		250	300	pr140		150	200	pr57		40	40	pr266		5	5	pr117	1190	5	5	pr126	469	25	41	pr173		30	30	pr171		30	30	pr68		2	3	0
Nymph's Grace		1		10	1	9	6	w12 		(Tier 1)						5	5000	oran	cgrn			so0		so0	pr133		2	2	pr5		41	70	pr216		8	10	pr218		8	10	pr329		8	10	pr371	492	5	1	pr266		5	5																					0
Nymph's Grace		1		10	1	24	14	w32 		(Tier 2)						5	5000	oran	cgrn			so0		so0	pr133		2	2	pr5		71	100	pr216		11	13	pr218		11	13	pr329		11	13	pr371	492	7	1	pr266		6	6																					0
Nymph's Grace		1		10	1	39	23	w52 		(Tier 3)						5	5000	oran	cgrn			so0		so0	pr133		2	2	pr5		101	130	pr216		14	16	pr218		14	16	pr329		14	16	pr371	492	9	1	pr266		7	7																					0
Nymph's Grace		1		10	1	53	32	w72 		(Tier 4)						5	5000	oran	cgrn			so0		so0	pr133		3	3	pr5		131	160	pr216		17	19	pr218		17	19	pr329		17	19	pr371	492	11	1	pr266		8	8																					0
Nymph's Grace		1		10	1	68	41	w92 		(Tier 5)						5	5000	oran	cgrn			so0		so0	pr133		3	3	pr5		161	190	pr216		20	22	pr218		20	22	pr329		20	22	pr371	492	13	1	pr266		9	9																					0
Nymph's Grace		1		10	1	82	49	e22 		(Tier 6)						5	5000	oran	cgrn			so0		so0	pr133		4	4	pr5		191	220	pr216		23	25	pr218		23	25	pr329		23	25	pr371	492	15	1	pr266		10	10																					0
Goatlord		1		10	1	120	100	@49 		(Sacred) SU						5	5000	dred	dred			so0		so0	pr133		4	4	pr5		201	250	pr66		14	18	pr197	632	25	42	pr31		51	75	pr43		6	10	pr14		11	15	pr28		100	100	pr117	812	11	15	pr98		150	150									0
Ramcharge		1		4	1	120	100	@49 		(Sacred) SSU						5	5000	dgry	dgry			so0		so0	pr133		4	4	pr5		301	350	pr75		500	500	pr215		21	25	pr114		5	5	pr140		150	450	pr223		50	50	pr90		3	3																	0
AntlersSU3		1		1	1	120	100	@49 		(Sacred) SSSU						5	5000	cred	cred			so0		so0	pr133		4	4	pr5		251	300	pr87		25	25	pr294		20	20	pr217		30	30	pr183		40	50	pr185		40	50	pr12		15	15	pr192		25	50	pr266		5	5	pr171		21	25	pr173		21	25	0
Bathos		1		10	1	10	6	8@N 		(Tier 1)						5	5000	dred	dred			so0		so0	pr133		1	1	pr267		6	10	pr269		16	25	pr221		8	10	pr31		11	15	pr66		2	4	pr8		8	10																					0
Bathos		1		10	1	25	15	9@N 		(Tier 2)						5	5000	dred	dred			so0		so0	pr133		2	2	pr267		11	15	pr269		26	35	pr221		11	13	pr31		16	20	pr66		5	7	pr8		11	13																					0
Bathos		1		10	1	39	24	1@O 		(Tier 3)						5	5000	dred	dred			so0		so0	pr133		3	3	pr267		16	20	pr269		36	45	pr221		14	16	pr31		21	25	pr66		8	10	pr8		14	16																					0
Bathos		1		10	1	54	33	2@O 		(Tier 4)						5	5000	dred	dred			so0		so0	pr133		3	3	pr267		21	25	pr269		46	55	pr221		17	19	pr31		26	30	pr66		11	13	pr8		17	19																					0
Bathos		1		10	1	68	41	3@O 		(Tier 5)						5	5000	dred	dred			so0		so0	pr133		4	4	pr267		26	30	pr269		56	65	pr221		20	22	pr31		31	35	pr66		14	16	pr8		20	22																					0
Bathos		1		10	1	83	50	4@O 		(Tier 6)						5	5000	dred	dred			so0		so0	pr133		4	4	pr267		31	35	pr269		66	75	pr221		23	25	pr31		36	40	pr66		17	19	pr8		23	25																					0
Cloudwhirl		1		10	1	120	100	5@O 		(Sacred) SU						5	5000	dgry	dgry			so0		so0	pr133		4	4	pr5		101	150	pr184		31	40	pr204	705	6	14	pr33		31	50	pr87		50	50	pr172		11	20	pr75		-20	-20	pr135		1	450	pr16		1	1	pr57		50	50					0
