Stat	ID	* Laz / comments	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is85	85			1	9											112	8	1024		3		8	25																	11	4	1	Moditem2ExpG	Moditem2ExpG									0
is86	86			1	15							1				30	101	1024		3		10														ev9	28			16	1	1	ModitemHPaK	ModitemHPaK									0
is87	87				8											18957	203	1024		10	15	10	45																	8	2	2	ModitemRedVendP	ModitemRedVendP									0
is88	88			1	2													1024		1		10																															0
is89	89			1	5							1				15	51	1024		4	4	8	5																	6	1	1	ModStr3f	ModStr3f									0
is90	90			1	24							1				155		1024		5		24																															0
is91	91			1	8											26	-34	1024		8	100	10	100																	1	4	2	ModStr3h	ModStr3h									0
is92	92																	1024		6	20	7																		2	1	1	ModitemRLZOMG	ModitemRLZOMG									0
is93	93		1	1	9											1042	156	1024		7	20	9	60												1					145	2	1	ModStr4m	ModitemCursedIAS		9	2	1	DescStringMyAss	DescStringMyAss2			0
is94	94															1042	-52	1024		7	20	10	64			1			is92											58	4	2											0
is95	95																	1024		6	20																																0
is96	96		1	1	9											4083	156	1024		7	20	9	50																	148	2	1	ModStr4s	ModitemCursedMove		9	2	1	DescStringMyAss	DescStringMyAss2			0
is97	97			1	15	11						1			1	181	327	1024		7	20	6	1	11																81	28												0
is98	98		1		1	8						1				415	64	1024		6	20	1		8																													0
is99	99		1	1	9											1065	72	1024		7	20	9	50																	139	2	1	ModStr4p	ModitemCursedFHR		9	2	1	DescStringMyAss	DescStringMyAss2			0
is100	100																	1024		7	20																																0
is101	101				8													1024		6	20	6																															0
is102	102		1	1	9											1484	72	1024		7	20	10	20																	136	2	1	ModStr4y	ModitemSlowerBlock		9	2	1	DescStringMyAss	DescStringMyAss2			0
is103	103				1											202	15505	1024		7	20	1																		150	3		Moditemiru	Moditemiru									0
is104	104				1											202	15505	1024		6	20	1																		150	3		Moditemird	Moditemird									0
is105	105		1	1	9											3876	156	1024		7	20	10	50																	142	2	1	ModStr4v	ModitemCursedFCR		9	2	1	DescStringMyAss	DescStringMyAss2			0
is106	106				1											202	15505	1024		7	20	1																		150	3		Moditemirb	Moditemirb									0
is107	107			1	15	11						1			1	181	256	1024		14		5	1	11																81	27												0
is108	108				1							1				1987		1024		14		1													1	ev9	29			81	3		ModitemSMRIP	ModitemSMRIP									0
is109	109			1	9											159	33	1024		14	20	8	20																	5	2	1	Moditemcures	ModitemCursedCurse									0
is110	110			1	9											27	10	1024		8	20	8	20																	11	2	2	ModStr3r	ModStr3r									0
is111	111			1	8											94	100	1024		7	20	10	100												1					122	1	2	ModStr5b	ModStr5b									0
is112	112			1	8							1				55	10	1024		7	-1	7	25												1	ev5	8	ev6	8	79	5	2	ModStr3u	ModStr3u									0
is113	113			1	8							1				332	1024	1024		7		8	50												1	ev5	9	ev6	9	80	12	2	ModStr6d	ModStr6d									0
is114	114			1	7							1				43	20	1024		6		10														ev1	13	ev2	13	11	2	1	ModStr3w	ModStr3w									0
is115	115			1	2											1088	1024	1024		1		1													1					119	3		ModStr3y	ModStr3y									0
is116	116			1	8											67	20	1024		7		7													1					118	20	1	ModStr5o	ModStr5o									0
is117	117			1	8											48	50	1024		7		1													1					81	3		ModStr4a	ModStr4a									0
is118	118			1	2											5096	988	1024		1		1																		19	3		ModStr4b	ModStr4b									0
is119	119			1	12											981	40	1024		9	20	10	20												1					117	2	1	ModStr4c	ModStr4c									0
is120	120			1	8											24	-20	1024		7	128	10	500												1					75	1	1	ModStr4d	ModStr4d									0
is121	121			1	12											19	12	1024		9	20	10	20												1					112	4	1	ModStr4e	ModStr4e									0
is122	122			1	12											13	12	1024		9	20	10	20												1					108	4	1	ModStr4f	ModStr4f									0
is123	123			1	13											15	7	1024		10	128	10	128												1					110	1	1	ModStr4j	ModStr4j									0
is124	124			1	13											11	7	1024		10	128	10	128												1					106	1	1	ModStr4k	ModStr4k									0
is125	125			1	2											82	1024	1024		1		1																		5	3		ModStr5a	ModStr5a									0
is126	126			1	3	3						1				76	1024	1024		4		3		3																157	1	1											0
is127	127			1	5							1				8	2	1024		3		4																		158	1	1	ModStr3k	ModStr3k									0
is128	128			1	6							1				4	102	1024		5		10														ev1	10			14	3	2	ModStr3j	ModStr3j		14	3	2	ModitemAllThorns				0
is129	129			1	10													1024																																			0
is130	130			1	10													1024																																			0
is131	131				12											33	2	1024				10	150																	13	2	1	Moditemthornsper	Moditemthornsper									0
is132	132			1	32													1024																																			0
is133	133			1	32													1024																																			0
is134	134			1	5							1				666	12	1024		5		5	5												1	ev5	14	ev6	14	78	12	2	ModStr3l	ModStr3l									0
is135	135			1	7							1				23	10	1024		7		8													1	ev5	15	ev6	15	83	2	1	ModStr3m	ModStr3m									0
is136	136			1	7							1				98	40	1024		7		8													1	ev5	16	ev6	16	87	2	1	ModStr5c	ModStr5c									0
is137	137			1	7											77	51	1024		7		10																		121	1	1	ModStr5e	ModStr5e									0
is138	138			1	7							1				17	102	1024		7		10														ev9	17			16	1	1	ModStr5f	ModStr5f									0
is139	139			1	7							1				18	102	1024		7		10														ev9	18			15	1	1	ModStr6c	ModStr6c									0
is140	140			1	7											15	10	1024		7		10													1																		0
is141	141			1	7											31	25	1024		7		8													1					85	2	1	ModStr5q	ModStr5q									0
is142	142			1	7											5486	102	1024		7		10																		23	2	2	ModStr5g	ModStr5g									0
is143	143			1	7											1739	204	1024		7		10																		27	1	1	ModStr5h	ModStr5h									0
is144	144			1	7											5486	102	1024		7		10																		24	2	2	ModStr5i	ModStr5i									0
is145	145			1	7											1739	204	1024		7		10																		29	1	1	ModStr5j	ModStr5j									0
is146	146			1	7											5486	102	1024		7		10																		26	2	2	ModStr5k	ModStr5k									0
is147	147			1	7											1739	204	1024		7		10																		33	1	1	ModStr5l	ModStr5l									0
is148	148			1	7											5486	102	1024		7		10																		25	2	2	ModStr5m	ModStr5m									0
is149	149			1	7											1739	204	1024		7		10																		31	1	1	ModStr5n	ModStr5n									0
is150	150			1	7							1				101	40	1024		7		8	50												1	ev5	19	ev6	19	77	2	2	ModStr5r	ModStr5r									0
is151	151			1								1						1024		7		7	1	11																													0
is152	152			1	1													1024		7		1																		160	3		ModStre9s	ModStre9s									0
is153	153			1	2											15011	2048	1024		1		1																		20	3		ModStr5z	ModStr5z									0
is154	154			1	7											102	20	1024		7	20	8	50												1					49	2	1	ModStr6e	ModStr6e									0
is155	155				7	11						1						1024		7		7		11											1	ev9	31			17	23	1	Moditemreanimas	Moditemreanimas									0
is156	156			1	7											1924	2048	1024		7		10													1					132	2	1	ModStr6g	ModStr6g									0
is157	157			1	7											511	1024	1024		7		7																		131	3		ModStr6h	ModStr6h									0
is158	158			1	7											492	1536	1024		7		7																		133	3		ModStr6i	ModStr6i									0
is159	159			1	6											76	128	1024		6		10													1																		0
is160	160			1	7											88	128	1024		7		10													1																		0
is161	161			1	12											52	10	1024		6		6	10																	77	3	1	ModMsl	ModMsl									0
is162	162			1	13													1024								1			is11																								0
is163	163			1	12													1024								1			is11																								0
is164	164			1	12											335	850	1024		5		8	20																	20	2	1	ModitemUninter	ModitemUninter									0
is165	165			1	12													1024																																			0
is166	166			1	12													1024																																			0
is167	167			1	12													1024																																			0
is168	168			1	12													1024																																			0
is169	169			1	12													1024																																			0
is170	170			1	12													1024																																			0
is171	171			1	16											330	778	1024		10		10																		20	2	2	ModitemTotalAC	ModitemTotalAC									0
is172	172		1		2													1024																																			0
is173	173				32													1024																																			0
is174	174				32													1024																																			0
is175	175				24													1024																																			0
is176	176				8													1024																																			0
is177	177				16													1024																																			0
is178	178				16													1024																																			0
is179	179				9	10										19	14	1024		3		10		10											1																		0
is180	180				9	10										27	17	1024		3		10		10											1																		0
is181	181		1		7															14		3																															0
is182	182		1	1	8											88	101	1024		2		9	100																	10	3		ModitemACLess	ModitemACLess									0
is183	183			1	12											503	160	1024		1		11	100																	175	1	1	ModitemHuntPoints	ModitemHuntPoints									0
is184	184			1	12											13	4	1024		5		5																															0
is185	185			1	11			1		12			1	1				1024																						4	3	2	ModitemStatCap	ModitemStatCap									0
is186	186			1	6			1		8			1	1				1024																						4	3	2	ModitemSkillCap	ModitemSkillCap									0
is187	187			1	9													1024		1		3																		22	12	2	ModitemLHStupid	ModitemLHStupid									0
is188	188			1	3	6						1				11042	768	1024		10		3		16																151	14		StrSklTabItem1	StrSklTabItem1									0
is189	189			1	12											8	2	1024		1		1																		159	3		38402248	38402248									0
is190	190			1	12													1024																																			0
is191	191	c		1	12											13	4	1024		5		5																															0
is192	192	c		1	12											13	4	1024		5		5																															0
is193	193	c		1	12											13	4	1024		5		5																															0
is194	194			1	4											38	170	1024		4		4												1																			0
is195	195			1	7	17						1			2	190	256	1024		21		8		17											1	ev7	20			160	15		ItemExpansiveChancX	ItemExpansiveChancX									0
is196	196			1	7	17						1			2	85	19	1024		21		8		17											1	ev9	20			160	15		ModitemskonKill	ModitemskonKill									0
is197	197			1	7	17						1			2	11	9	1024		21		8		17												ev10	30			160	15		Moditemskondeath	Moditemskondeath									0
is198	198			1	7	17						1			2	190	256	1024		21		8		17											1	ev5	20	ev6	20	160	15		ItemExpansiveChanc1	ItemExpansiveChanc1									0
is199	199			1	7	17						1			2	7	6	1024		21		7		17												ev12	30			160	15		ModitemskonLevel	ModitemskonLevel									0
is200	200	NEW OMG		1	7	17						1			2	190	256	1024		21		7		17											1	ev7	20			237	3		ModitemMegaImpact	ModitemMegaImpact									0
is201	201			1	7	17						1			2	190	256	1024		21		7		17												ev1	21	ev2	21	160	15		ItemExpansiveChanc2	ItemExpansiveChanc2									0
is202	202	c		1	12											13	4	1024		5		5																															0
is203	203			1	6											202	177	1024		6		10				2	5	is12	is25											60	8	2	ModTotPhysDmg	ModTotPhysDmg	increaseswithplaylevelX								0
is204	204			1	30							1			3	401	256	1024		30		16		16																4	24		ModStre10d	ModStre10d									0
is205	205	c		1	12											13	4	1024		5		5																															0
is206	206	c		1	12											13	4	1024		5		5																															0
is207	207	c		1	12											13	4	1024		5		5																															0
is208	208	none		1	7							1				81	49	1024		6		9														ev5	28	ev6	28	22	1	1	ModitemHealAttack	ModitemHealAttack									0
is209	209	none		1	7							1				81	49	1024		6		9														ev5	17	ev6	17	20	1	1	ModitemManaAttack	ModitemManaAttack									0
is210	210	none		1	15							1				66	31	1024		6		9														ev5	28			22	1	1	ModitemHealAttM	ModitemHealAttM									0
is211	211			1	7											22	8	1024		6		8																		19	3		ModitemHexSynLd	ModitemHexSynLd									0
is212	212			1	12													1024																																			0
is213	213	c		1	12											13	4	1024		5		5																															0
is214	214			1	6											43	42	1024		6		10				4	5	is12	is31											72	6	1	ModStr1i	ModStr1i	increaseswithplaylevelX								0
is215	215			1	6											87	100	1024		6		10				5	5	is12	is31											73	8	1	Modstr2v	Modstr2v	increaseswithplaylevelX								0
is216	216			1	6											92	64	1024	8	6		10				2	5	is12	is7											57	6	1	ModStr1u	ModStr1u	increaseswithplaylevelX								0
is217	217			1	6											90	128	1024	8	6		10				2	5	is12	is9											53	6	1	ModStr1e	ModStr1e	increaseswithplaylevelX								0
is218	218			1	6											54	204	1024		6		10				4	5	is12	is22	is24	is160				1					125	6	1	ModStr1f	ModStr1f	increaseswithplaylevelX								0
is219	219	c		1	12											5	2	1024		5		5																															0
is220	220	c		1	12											13	4	1024		5		5																															0
is221	221	c		1	12											13	4	1024		5		5																															0
is222	222	c		1	12											13	4	1024		5		5																															0
is223	223	c		1	12											13	4	1024		5		5																															0
is224	224	c		1	12											13	4	1024		5		5																															0
is225	225			1	6											10	256	1024		6		10				2	5	is12	is119						1					116	7	1	ModStr4c	ModStr4c	increaseswithplaylevelX								0
is226	226	c		1	12											13	4	1024		5		5																															0
is227	227	c		1	12											13	4	1024		5		5																															0
is228	228	c		1	12											13	4	1024		5		5																															0
is229	229	c		1	12											13	4	1024		5		5																															0
is230	230			1	6											101	128	1024		6		10				2	5	is12	is43											39	7	2	ModStr1k	ModStr1k	increaseswithplaylevelX								0
is231	231			1	6											101	128	1024		6		10				2	5	is12	is39											35	7	2	ModStr1j	ModStr1j	increaseswithplaylevelX								0
is232	232			1	6											101	128	1024		6		10				2	5	is12	is41											37	7	2	ModStr1l	ModStr1l	increaseswithplaylevelX								0
is233	233			1	6											101	128	1024		6		10				2	5	is12	is45											33	7	2	ModStr1n	ModStr1n	increaseswithplaylevelX								0
is234	234	c		1	12											13	4	1024		5		5																															0
is235	235	c		1	12											13	4	1024		5		5																															0
is236	236	c		1	12											13	4	1024		5		5																															0
is237	237	c		1	12											13	4	1024		5		5																															0
is238	238	c		1	12											13	4	1024		5		5																															0
is239	239			1	6											42	256	1024		6		10				2	5	is12	is79											9	7	1	ModStr1w	ModStr1w	increaseswithplaylevelX								0
is240	240			1	6											814	1024	1024		6		10				2	5	is12	is80											7	7	1	ModStr1x	ModStr1x	increaseswithplaylevelX								0
is241	241	c		1	12											13	4	1024		5		5																															0
is242	242	c		1	12											13	4	1024		5		5																															0
is243	243	c		1	12											13	4	1024		5		5																															0
is244	244	c		1	12											13	4	1024		5		5																															0
is245	245	c		1	12											13	4	1024		5		5																															0
is246	246	c		1	12											13	4	1024		5		5																															0
is247	247			1	6											213	1024	1024		6		10				2	5	is12	is136						1					86	7	1	ModStr5c	ModStr5c	increaseswithplaylevelX								0
is248	248			1	6											181	128	1024		6		10				2	5	is12	is135						1					82	7	1	ModStr3m	ModStr3m	increaseswithplaylevelX								0
is249	249	c		1	12											13	4	1024		5		5																															0
is250	250	1.B9 TOTEMBOUND CHECK		1	6											118	512	1024		6		10																															0
is251	251	Skill on Casting UNUSED 4 NOW		1	7	16						1			2	190	256	1024		21	0	7	0	16												dospellcast	30			160	15		ModItemSkOnCast	ModItemSkOnCast									0
is252	252			1	5											106	256	1024		5		6																		3	11		ModStre9t	ModStre9t									0
is253	253			1	5											106	256	1024		5		6																		4	3		ModStre9v	ModStre9v									0
is254	254			1												99	10	1024		8		8																		5	3		ModStre9i	ModStre9i									0
is255	255	c		1	12											13	4	1024		5		5																															0
is256	256	c		1	12											13	4	1024		5		5																															0
is257	257	c		1	12											13	4	1024		5		5																															0
is258	258	c		1	12											13	4	1024		5		5																															0
is259	259	desc only		1	12											8	2	1024		2		2																		49	3		ModitemDrainAura	ModitemDrainAura									0
is260	260	NEW OMG		1	7	17						1			2	190	256	1024		21		7		17											1	ev7	20	ev8	20	238	3		ModitemThunderfury	ModitemThunderfury									0
is261	261	THIS WAS WEAPONDISPLAY_DUMMY		1	12											599	170	1024		1		5																		150	1	1	ModitemTotemsMax	ModitemTotemsMax									0
is262	262	states.txt		1	12													1024																																			0
is263	263	c		1	12											13	4	1024		5		5																															0
is264	264	c		1	12											13	4	1024		5		5																															0
is265	265			1	12													1024		3		3																															0
is266	266			1	7	17						1			2	190	256	1024		21		7		17											1	ev7	20	ev8	20	238	3		ModitemWarpBlue	ModitemWarpBlue									0
is267	267			1	12											266	1024	1024		5		5																		198	1	1	ModitemStanceRadius	ModitemStanceRadius									0
is268	268	REPURPOSED		1	12													1024																																			0
is269	269			1	12													1024																																			0
is270	270			1	12													1024		3		3																															0
is271	271	desc only		1	12											8	2	1024		2		2																		49	3		ModitemRanRes	ModitemRanRes									0
is272	272	desc only		1	12											8	2	1024		2		2																		49	3		ModitemRandomAura	ModitemRandomAura									0
is273	273	REPLACES ICE GUIDE		1	8							1				55	10	1024		7	-1	7	25													ev1	16	ev2	16														0
is274	274			1	9											152	68	1024		8		8																		5	3		ModitemPoisonSet	ModitemPoisonSet									0
is275	275	desc only		1	12											8	2	1024		9		9																		3	2	1	ModitemBreakerDesc	ModitemBreakerDesc									0
is276	276	automagic.txt		1	6													1024		8		1																															0
is277	277			1	7	17						1			2	190	256	1024		21		7		17											1	ev7	20	ev8	20	238	3		ModitemWarpAttack	ModitemWarpAttack									0
is278	278	skills.txt		1	12											3	2	1024		7		9	50																	198	1	1	ModitemStrFactor	ModitemStrFactor									0
is279	279	skills.txt		1	9											27	11	1024		8		8																		114	2	2	DescLionsgateSyn	DescLionsgateSyn									0
is280	280	resonance buff		1	12											15	3	1024		10		10																															0
is281	281	skills.txt		1	9											23	9	1024		8		8																		104	2	2	DescNCSyn	DescNCSyn									0
is282	282			1	7	17						1			2	11	9	1024		21		7		17												ev11	30			160	15		DescExpansiveC	DescExpansiveC									0
is283	283			1	7	17						1			2	190	256	1024		21		7		17											1	ev3	20			160	15		DescExpansiveA	DescExpansiveA									0
is284	284			1	7	17						1			2	190	256	1024		21		7		17											1	ev2	21			160	15		DescExpansiveB	DescExpansiveB									0
is285	285	c		1	12											13	4	1024		5		5																															0
is286	286	c		1	12											13	4	1024		5		5																															0
is287	287	c		1	12											13	4	1024		5		5																															0
is288	288			1	5											3	3	1024		2		2																		180	3		ModitemNoUpgradesLol	ModitemNoUpgradesLol									0
is289	289	skills.txt		1	9											2012	501	1024		2		2																		125	1	1	ModitemDruidEnhanced	ModitemDruidEnhanced									0
is290	290	skills.txt		1	9											803	244	1024		8		8																		120	2	1	ModitemLamiaRean	ModitemLamiaRean									0
is291	291	skills.txt		1	9											63	22	1024		8		8																		101	2	2	ModitemRetributeSynergy	ModitemRetributeSynergy									0
is292	292			1	7	17						1			2	85	19	1024		21		7		17											1	ev9	30			159	15		ModitemSkillAnyKill	ModitemSkillAnyKill									0
is293	293	skills.txt		1	9											1007	201	1024		1		1																		26	3		ModitemDoubleArc	ModitemDoubleArc									0
is294	294	c		1	12											13	4	1024		5		5																															0
is295	295	none		1	7							1				81	49	1024		6		9														ev5	17			20	1	1	ModitemManaAttackMelee	ModitemManaAttackMelee									0
is296	296	uniqueitems.txt		1	6											2	2	1024		1		1																		230	3		ModitemHonorific	ModitemHonorific									0
is297	297	c		1	12											13	4	1024		5		5																															0
is298	298	c		1	12											13	4	1024		5		5																															0
is299	299	automagic.txt		1	6											8	2	1024		6		10				2	8	is0												240	2	2	ModitemStrWpnAdder	ModitemStrWpnAdder									0
is300	300	automagic.txt		1	6											8	2	1024		6		10				2	8	is2												239	2	2	ModitemDexWpnAdder	ModitemDexWpnAdder									0
is301	301	skills.txt		1	9											81	44	1024		1		1																		133	3		ModitemShadowCorpse	ModitemShadowCorpse									0
is302	302	skills.txt		1	9													1024																																			0
is303	303	skills.txt		1	13											202	244	1024		12		12																		48	1	1	ModitemVoidFire	ModitemVoidFire									0
is304	304	c		1	12											13	4	1024		5		5																															0
is305	305			1	9											1432	513	1024				10	50																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
is306	306			1	9											1240	497	1024				10	50																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
is307	307			1	9											1187	481	1024				10	50																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
is308	308			1	9											1322	506	1024				10	50																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
is309	309	c		1	12											13	4	1024		5		5																															0
is310	310	c		1	12											13	4	1024		5		5																															0
is311	311	c		1	12											13	4	1024		5		5																															0
is312	312	c		1	12											13	4	1024		5		5																															0
is313	313	c		1	12											13	4	1024		5		5																															0
is314	314	c		1	12											13	4	1024		5		5																															0
is315	315			1	16											32	2	1024		8		8																															0
is316	316			1	16											8	2	1024		8		8																		55	3		PlugYCustomMain	PlugYCustomMain									0
is317	317			1	16											8	2	1024		8		8																		55	3		PlugYCustomOffense	PlugYCustomOffense									0
