Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	* Laz / status	* Laz / new	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
ms10	10	ms10	ms11	1	Afflicted	ms10		mt14	ma4		@5  			1	1												2	3		8	8	1	15	54	120	mo16	mo16	10	15	14	13				88	75	75	40	30	30		20	30	60	70	80														ml2								1								1		1			1	1																																	100	100	100	-20	-20	-20																							11	11	11		66	127	63	81	76	113	110							65	123	76	103	63	106	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		0
ms11	11	ms10	ms12	1	Tainted	ms11		mt14	ma4		BH  			1	1												2	4		8	8	1	14	53	120	mo16	mo16	10	15	14	13				86	100	100	40	40	40		30	40	60	70	80														ml3								1								1		1			1	1																																	100	100	100	-20	-20	-20																							10	10	10		67	130	63	81	63	101	110							66	125	76	103	56	100	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		0
ms12	12	ms10	ms13	2	Misshapen	ms12		mt14	ma4		BH  			1	1												1	2		6	6	1	6	46	120	mo16	mo16	10	15	14	13				80	50	50	40	50	50		40	50	60	70	80														ml4								1								1		1			1	1																																	100	100	100	-20	-20	-20																							5	5	5		62	124	64	81	76	101	110							63	122	77	103	63	100	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		0
ms13	13	ms10	ms14	3	Disfigured	ms13		mt14	ma4		BH  			1	1												1	3		6	6	1	10	50	120	mo16	mo16	10	15	14	13				83			40	40	40		50	65	60	70	80														ml5								1								1		1			1	1																																	100	100	100	-20	-20	-20																							8	8	8		67	128	63	81	67	101	110							66	124	76	103	58	100	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		0
ms14	14	ms10	ms580	4	Damned	ms14		mt14	ma4		BH  			1	1												3	4		9	9	2	34	71	120	mo16	mo16	10	15	14	13				90	33	33	40	30	30		60	80	60	70	80														ml6								1								1		1			1	1																																	100	100	100	-20	-20	-20																							22	22	22		65	126	63	88	71	106	110							65	123	76	106	60	103	110							182	210	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																																		0
ms15	15	ms15	ms16		FoulCrow	ms15		mt15	ma5		BK  			1													2	4		5	5	2	5	46	120	mo59	mo59	10	15	14	13				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																	100	100	100	-20	-20	-20																							5	5	5		19	46	13	37	26	51	115							19	45	66	38	48	80	115							160	172	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																																															0
ms16	16	ms15	ms17	1	BloodHawk	ms16		mt15	ma5		BK  			1													3	4		5	5	2	8	48	120	mo59	mo59	10	15	14	13				30	50	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-20	-20	-20																							7	7	7		21	41	14	37	41	61	115							20	43	67	38	55	85	115							160	172	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																																															0
ms17	17	ms15	ms18	2	BlackRaptor	ms17		mt15	ma5		BK  			1													3	5		6	6	2	20	56	120	mo59	mo59	10	15	14	13				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-20	-20	-20																							17	17	17		21	45	13	37	37	64	115							20	45	66	38	53	87	115							160	172	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																																															0
ms18	18	ms15	ms590	3	CloudStalker	ms18		mt15	ma5		BK  			1													4	5		8	8	2	28	61	120	mo59	mo59	10	15	14	13				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-20	-20	-20																							22	22	22		22	44	13	36	36	72	115							21	44	66	38	53	91	115							160	172	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																																															0
ms19	19	ms19	ms20		FallenOne	ms659	mp23	mt16	ma7		FA  			1							ms765		1	1	2	3	2	3		8	8	1	3	45	120	mo50	mo50	10	5	4	3							15	10	5	75	80	85	50	50	50																						1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							9	9	9		40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																0
ms20	20	ms19	ms21	1	Invader	ms660	mp23	mt16	ma7		FA  			1							ms766		1	1	2	3	2	3		8	8	1	5	46	120	mo50	mo50	10	5	4	3							10	5		80	85	90	50	50	50																						1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							9	9	9		40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																0
ms21	21	ms19	ms22	2	Defiler	ms661	mp23	mt16	ma7		FA  			1							ms767		1	1	2	3	2	3		8	8	1	10	50	120	mo50	mo50	10	5	4	3							5			85	90	95	50	50	50																						1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							9	9	9		40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																0
ms22	22	ms19	ms23	3	Scourge	ms662	mp23	mt16	ma7		FA  			1							ms768		1	1	2	3	2	3		8	8	1	14	53	120	mo50	mo50	10	5	4	3										90	95	100	50	50	50																						1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							9	9	9		40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																0
ms23	23	ms19	ms642	3	Scourge	ms662	mp23	mt16	ma7		FA  			1							ms768		1	1	2	3	2	3		8	8	1	14	53	120	mo50	mo50	10	5	4	3										90	95	100	50	50	50																						1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							9	9	9		40	60	100	60	30	70	100	30	70	100				40	60	100	60	30	70	100	30	70	100				170	180	100	60	30	70	100	30	70	100																																																																0
ms24	24	ms24	ms25		Brute	ms24		mt17	ma7		YE  			1													1	2		5	5	1	6	48	120	mo24	mo24	10	15	14	13										75	75	80	100	100	90																						1	1									1			1	1							1																										100	100	100	-20	-20	-20																							6	6	6		139	224	84	121	76	101	95	126	151	100				142	217	84	120	73	110	95	118	145	100				222	255	85	120	70	120	95	110	140	100																																																																0
ms25	25	ms24	ms26	1	Yeti	ms25		mt17	ma7		YE  			1													2	2		5	5	1	11	50	120	mo24	mo24	10	15	14	13										80	80	85	85	85	75																						1	1									1			1	1							1																										100	100	100	-20	-20	-20																							10	10	10		146	236	84	121	58	101	95	115	129	100				145	223	84	120	64	110	95	112	134	100				222	255	85	120	70	120	95	110	140	100																																																																0
ms26	26	ms24	ms27	2	Crusher	ms26		mt17	ma7		YE  			1													2	3		6	6	2	24	60	120	mo24	mo24	10	15	14	13										85	85	90	75	75	65																						1	1									1			1	1							1																										100	100	100	-20	-20	-20																							19	19	19		143	231	84	120	62	101	95	108	139	100				144	220	84	120	66	110	95	109	139	100				222	255	85	120	70	120	95	110	140	100																																																																0
ms27	27	ms24	ms28	3	WailingBeast	ms27		mt17	ma7		YE  			1													3	4		6	6	1	29	66	120	mo24	mo24	10	15	14	13										90	90	95	60	60	50																						1	1									1			1	1							1																										100	100	100	-20	-20	-20																							23	23	23		142	230	85	121	61	107	95	114	141	100				143	220	85	120	65	113	95	112	140	100				222	255	85	120	70	120	95	110	140	100				A1	fire					15	15	35		15	30	50																																																0
ms28	28	ms24		4	GargantuanBeast	ms28		mt17	ma7		YE  			1													1	1		4	4	1	3	45	120	mo24	mo24	10	15	14	13										100	100	100	45	45	35																						1	1									1			1	1							1																										100	100	100	-20	-20	-20																							4	4	4		129	215	84	121	67	101	95	101	134	100				137	212	84	120	68	110	95	105	137	100				222	255	85	120	70	120	95	110	140	100																																																																0
ms29	29	ms29	ms31		SandRaider	ms29		mt18	ma8		SR  			1													2	3		6	6	1	16	54	120	mo102	mo102	10	15	14	13				40	40	40	70	70	40	75	80	85	70	75	85	18	12	9				50	50	50													1	1									1			1	1							1		sk156	mq4	1																						100	100	100	-20	-20	-20																							25	25	25		136	211	84	117	67	101	175	110	140	180	80	100	250	135	195	97	123	66	105	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																																																0
ms30	30	ms30			Mon_SavageWolf	ms420	mp527	mt0	ma24		wf  			1													1	1		9	15	1	30	75	120	mo135	mo135	10	15	15	15										100	100	100	25	25	25	5	5	5																			1	1												1	1									sk1283	A1	50																						100	100	100	-20	-20	-20																							21	21	21		100	100	100		40	60	100							125	125	100	120	80	100	100							300	300	100	120	120	140	100																																																																			0
ms31	31	ms29	ms32	2	Invader	ms31		mt18	ma8		SR  			1													3	4		8	8	1	23	59	120	mo102	mo102	10	15	14	13				50	40	35	70	50	10	85	90	95	70	80	90	13	9	6				50	50	50													1	1									1			1	1							1		sk156	mq4	3																						100	100	100	-20	-20	-20																							34	34	34		135	211	84	117	67	92	175	110	140	180	80	100	250	135	195	97	123	66	101	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																																																0
ms32	32	ms29	ms33	3	Infidel	ms32		mt18	ma8		SR  			1													3	5		8	8	1	30	66	120	mo102	mo102	10	15	14	13				55	40	35	70	40	10	88	95	99	70	80	90	10	7	5	1	1	1	50	50	50													1	1									1			1	1							1		sk156	mq4	4																						100	100	100	-20	-20	-20																							44	44	44		135	211	85	116	63	94	175	110	140	180	80	100	250	135	195	97	123	64	102	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	S1	cold	100	100	130	75	100	120	150	75	100	140	180	75																																															0
ms33	33	ms29	ms599	4	Assailant	ms33		mt18	ma8		SR  			1													4	5		9	9	1	33	74	120	mo102	mo102	10	15	14	13				60	40	35	70	30	10	90	99	100	70	80	90	7	5	4				50	50	50													1	1									1			1	1							1		sk156	mq4	5																						100	100	100	-20	-20	-20																							48	48	48		134	210	84	123	65	95	175	110	140	180	80	100	250	134	195	97	126	65	102	175	110	140	180	80	100	250	217	240	110	130	65	110	175	110	140	180	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																																																0
ms34	34	ms34	ms35		unused	ms34		mt0	ma1		GO  			1																						mo0	mo0		15	14	13																																																																																							-20	-20	-20																																																																																																																														0
ms35	35	ms34	ms36	1	unused	ms35		mt0	ma1		GO  			1																						mo0	mo0		15	14	13																																																																																							-20	-20	-20																																																																																																																														0
ms36	36	ms34	ms37	2	unused	ms36		mt0	ma1		GO  			1																						mo0	mo0		15	14	13																																																																																							-20	-20	-20																																																																																																																														0
ms37	37	ms34		3	unused	ms37		mt0	ma1		GO  			1																						mo0	mo0		15	14	13																																																																																							-20	-20	-20																																																																																																																														0
ms38	38	ms38	ms39		Ghost	ms38		mt19	ma9	drains mana	WR  			1													1	2		6	6	1	9	48	120	mo136	mo136	10	15	14	13				50	60	60	12	10	8	70	75	80																									1	1					1			1	1			1	1																																	100	100	100	-20	-20	-20																							8	8	8		83	165	84	93	61	121	95							74	127	107	99	60	113	95							182	195	130	105	60	105	95							A1	mana	40	60	100		40	100	200		40	200	300																																																0
ms39	39	ms38	ms40	1	Wraith	ms39		mt19	ma9	drains mana	WR  			1													1	3		8	8	1	13	51	120	mo136	mo136	10	15	14	13				60	70	70	10	8	6	75	80	85																									1	1					1			1	1			1	1																																	100	100	100	-20	-20	-20																							11	11	11		87	173	84	92	58	115	95							76	131	107	98	59	110	95							182	195	130	105	60	105	95							A1	mana	45	57	100		45	100	200		45	200	300																																																0
ms40	40	ms38	ms41	2	Specter	ms40		mt19	ma9	drains mana	WR  			1													2	3		8	8	1	24	60	120	mo136	mo136	10	15	14	13				70	80	80	8	6	4	80	85	90																									1	1					1			1	1			1	1																																	100	100	100	-20	-20	-20																							19	19	19		86	173	84	92	62	101	95							75	131	107	98	61	103	95							182	195	130	105	60	105	95							A1	mana	50	38	69		50	100	200		50	200	300																																																0
ms41	41	ms38	ms42	3	Apparition	ms41		mt19	ma9	drains mana	WR  			1													2	4		9	9	1	25	61	120	mo136	mo136	10	15	14	13				80	90	90	6	4	4	85	90	95																									1	1					1			1	1			1	1																																	100	100	100	-20	-20	-20																							20	20	20		86	172	85	93	62	108	95							75	131	107	99	61	106	95							182	195	130	105	60	105	95							A1	mana	60	46	84		60	100	200		60	200	300																																																0
ms42	42	ms38	ms631	4	DarkShape	ms42		mt19	ma9	drains mana	WR  			1													3	4		10	10	1	28	64	120	mo136	mo136	10	15	14	13				90	100	100	4	4	4	90	95	99																									1	1					1			1	1			1	1																																	100	100	100	-20	-20	-20																							22	22	22		85	172	85	93	65	108	95							75	131	107	99	62	106	95							182	195	130	105	60	105	95							A1	mana	70	50	107		70	100	200		70	200	300																																																0
ms43	43	ms43	ms44		DarkHunter	ms43	mp23	mt20	ma10		CR  			1													2	3		6	6	2	3	45	120	mo34	mo34	10	15	14	13				60	70	80	15	10	7	75	80	85	100	100	100	20	50	75																			1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							12	12	12		58	101	84	78	34	101	130							59	100	89	86	44	105	130							180	200	95	95	55	110	130																																																																			0
ms44	44	ms43	ms45	1	VileHunter	ms44	mp23	mt20	ma10		CR  			1													2	4		8	10	2	6	48	120	mo34	mo34	10	15	14	13				70	80	90	12	9	7	80	85	90	100	100	100	20	50	75																			1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							18	18	18		62	101	84	78	51	126	130							61	100	89	86	53	118	130							180	200	95	95	55	110	130																																																																			0
ms45	45	ms43	ms46	2	DarkStalker	ms45	mp253	mt20	ma10		CR  			1													3	4		8	13	2	15	70	120	mo34	mo34	10	5	4	3				100	100	100	3	3	3	100	100	100	100	100	100	75	85	95																			1	1							1		1			1	1							1		sk261	A1	10																						100	100	100	-20	-20	-20																							25	25	25		67	112	84	79	51	117	130							63	106	89	87	53	113	130							180	200	95	95	55	110	130																																																																			0
ms46	46	ms43	ms47	3	BlackRogue	ms46	mp23	mt20	ma10		CR  			1													3	5		9	15	2	11	50	120	mo34	mo34	10	15	14	13				90	95	95	7	5	5	88	95	95	100	100	100	20	50	75																			1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							33	33	33		66	111	84	79	43	115	130							63	105	89	87	49	112	130							180	200	95	95	55	110	130																																																																			0
ms47	47	ms43		4	FleshHunter	ms47	mp23	mt20	ma10		CR  			1													4	5		10	15	1	29	66	120	mo34	mo34	10	15	14	13				99	99	99	5	5	5	90	99	100	100	100	100	20	50	75																			1	1							1		1			1	1							1																										100	100	100	-20	-20	-20																							40	40	40		65	107	85	78	47	121	130							62	103	90	86	51	115	130							180	200	95	95	55	110	130																																																																			0
ms48	48	ms48	ms49		DuneBeast	ms48		mt21	ma11		BB  			1													1	2		9	15	1	23	59	120	mo11	mo11	10	15	14	13				33	33	33	20	30	35	55	60	65				1	2	3																			1	1									1			1	1							1																										100	100	100	-20	-20	-20																							18	18	18		108	151	84	96	51	151	120	51	151	130				99	143	97	103	50	140	120	50	130	130				195	217	110	110	50	130	120	50	110	130																																																																0
ms49	49	ms48	ms50	1	RockDweller	ms49		mt21	ma11		BB  			1													1	3		9	15	1	23	69	120	mo11	mo11	10	15	14	13				33	33	33	20	30	35	60	65	70	15	15	15	1	2	3																			1	1									1			1	1							1																										100	100	100	-20	-20	-20																							18	18	18		108	151	84	96	51	151	120	51	151	130				99	143	97	103	50	140	120	50	130	130				195	217	110	110	50	130	120	50	110	130																																																																0
ms50	50	ms48	ms51	2	JungleHunter	ms50		mt21	ma11		BB  			1													2	3		9	16	1	26	61	120	mo11	mo11	10	15	14	13				33	33	33	20	30	35	65	70	75	25	25	25	1	2	3																			1	1									1			1	1							1																										100	100	100	-20	-20	-20																							21	21	21		107	151	85	97	51	151	120	51	151	130				98	143	97	103	50	140	120	50	130	130				195	217	110	110	50	130	120	50	110	130																																																																0
ms51	51	ms48	ms52	3	DoomApe	ms51		mt21	ma11		BB  			1													2	4		9	16	1	28	65	120	mo11	mo11	10	15	14	13				33	33	33	20	30	35	70	75	80	40	40	40	1	2	3																			1	1									1			1	1							1																										100	100	100	-20	-20	-20																							22	22	22		107	151	85	96	51	158	120	51	158	130				98	143	97	103	50	144	120	50	134	130				195	217	110	110	50	130	120	50	110	130																																																																0
ms52	52	ms48	ms665	4	TempleGuard	ms52		mt21	ma11		BB  			1													3	4		9	18	1	30	66	120	mo11	mo11	10	15	14	13				33	33	33	20	30	35	75	80	85	50	50	50	1	2	3																			1	1									1			1	1							1																										100	100	100	-20	-20	-20																							24	24	24		107	151	85	97	51	151	120	51	151	130				98	143	97	103	50	140	120	50	130	130				195	217	110	110	50	130	120	50	110	130																																																																0
