Name	Id	* zone name	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	*Laz/arc	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	* Laz / todo	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Underground Passage Level 1	10						3	200	200	200	200	200	200	1500	1600		1				1	1	1		1	1	3	-1	-1	-1	-1	4	5			14				4	4	-1	-1	5	-1	-1	-1		16	128	255	192			1		2025	11	57	120	11	60	120	800	800	800							1		8		ms1773	ms860	ms771	ms851	ms856	ms1179	ms1563	ms1735														ms1773	ms860	ms771	ms851	ms856	ms1179	ms1563	ms1735													ms1773	ms860	ms771	ms851	ms856	ms1563	ms1735														ms151	ms159			30	30								4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4							30	3							1
Hole Level 1	11						4	200	200	200	200	200	200	1500	1900		1				1	1	1		1	1	3	-1	-1	-1	-1	6				15				4	-1	-1	-1	5	-1	-1	-1		16	128	255	192			1		2025	13	57	120	13	62	120	750	750	750							1		8		ms800	ms851	ms856	ms771	ms752	ms918	ms1182	ms1773														ms800	ms851	ms856	ms771	ms752	ms918	ms1182	ms1773													ms800	ms851	ms856	ms771	ms752	ms918	ms1773														ms151	ms159			30	30								4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4							30	3							1
Pit Level 1	12						5	200	200	200	200	200	200	1500	2200		1				1	1	1		1	1	3	-1	-1	-1	-1	7				16				4	-1	-1	-1	5	-1	-1	-1		16	128	255	192			1		2025	15	58	120	15	65	120	750	750	750							1		8		ms918	ms861	ms771	ms822	ms847	ms795	ms1183	ms1773														ms918	ms861	ms771	ms822	ms847	ms795	ms1183	ms1773													ms918	ms861	ms771	ms822	ms847	ms795	ms1773														ms151	ms159			30	30								4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4							30	6							1
Cave Level 2	13						6	119	119	119	119	119	119	1500	2500		1			1	1	1	1		1	2	9	-1	-1	-1	-1		9							-1	4	-1	-1	-1	-1	-1	-1		64	128	255	192			1		2025	75	100	120	95	115	120	3250	3250	3250							1		6		ms1607	ms1608	ms1609	ms1610	ms1611	ms2205																ms1607	ms1608	ms1609	ms1610	ms1611	ms2205																																			ms151	ms159			30	30								9	255	Cave Level 2	To The Cave Level 2	A1L14	16	3	50	17					35	45	3	3					1
Underground Passage Level 2	14						7	28	34	28	34	28	34	1500	2624		1				1	1	1		1	2	9	-1	-1	-1	-1		10							-1	15	-1	-1	-1	-1	-1	-1		192	255	255				1		2025	75	100	120	85	115	120	900	900	900							1				ms997																					ms997																																								ms151	ms159			30	30								9	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	16	3	50	17					35	45	3	3					1
Hole Level 2	15						8	24	24	24	24	24	24	1500	2748		1				1	1	1		1	2	3	-1	-1	-1	-1		11							-1	4	-1	-1	-1	-1	-1	-1		255	255					1		2025	13	85	120	60	115	120										1				ms971																					ms971																																								ms151	ms159			30	30								4	255	Hole Level 2	To The Hole Level 2	A1L16	6								25								1
Pit Level 2	16						9	24	24	24	24	24	24	1500	2872		1				1	1	1		1	2	3	-1	-1	-1	-1		12							-1	4	-1	-1	-1	-1	-1	-1		255	64	64	255			1		7500	55	85	120	65	115	120	2400	2400	2400							1		19		ms1797	ms1798	ms1799	ms1800	ms1801	ms1802	ms1803	ms1804	ms1805	ms1806	ms1807	ms1808	ms1809	ms1810	ms1811	ms1812	ms1813	ms1815	ms1816		1	ms1797	ms1798	ms1799	ms1800	ms1801	ms1802	ms1803	ms1804	ms1805	ms1806	ms1807	ms1808	ms1809	ms1810	ms1811	ms1812	ms1813	ms1816	ms1815																						ms151	ms159			30	30								4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4							25	6							1
Burial Grounds	17							40	48	40	48	40	48	-1	-1		1	1				1	1	1		3	2	-1	-1	-1	-1	18	19							6	7	-1	-1	-1	-1	-1	-1		96		255				1		2025	9	56	120	9	57	120	1500	1500	1500							1		5		ms874	ms751	ms1178	ms1580	ms1787																	ms874	ms751	ms1178	ms1580	ms1787																ms874	ms751	ms1580	ms1787																														2	255	Burial Grounds	To The Burial Grounds	A1L18																	1
Crypt	18						10	250	250	250	250	250	250	2000	1000		1				1	1	1		1	2	4	-1	-1	-1	-1		17							-1	8	-1	-1	-1	-1	-1	-1		32	255	48	48			1		2500	100	115	120	90	115	120	5250	5250	5250							1		8		ms1071	ms1223	ms1224																			ms1071	ms1941	ms1942	ms1840																	ms1941	ms1942																			ms151	ms318	ms556		30	30	5						8	4	255	Crypt	To The Crypt	A1L19	7	8	9	10	1				5	2	15	25	10				1
Mausoleum	19						11	200	200	250	250	250	250	2000	1300		1				1	1	1		1	1	4	-1	-1	-1	-1	17								8	-1	-1	-1	-1	-1	-1	-1		48	32	128	128			1		2025	50	70	120	50	115	120	1584	3000	3000							1		20		ms1043	ms1045	ms1046	ms1740	ms1048	ms1049	ms1050	ms1051	ms1052	ms1053	ms1054	ms1055	ms1056	ms1737	ms1567	ms1597	ms1598	ms1599	ms1600	ms1601		ms1043	ms1045	ms1046	ms1740	ms1048	ms1049	ms1050	ms1051	ms1052	ms1053	ms1054	ms1055	ms1056	ms1737	ms1567	ms1597	ms1598	ms1599	ms1600	ms1601	ms1043	ms1045	ms1046	ms1740	ms1048	ms1049	ms1050	ms1051	ms1052	ms1053	ms1054	ms1055	ms1056	ms1737	ms1597	ms1598	ms1599	ms1600	ms1601		ms151	ms159			30	30							8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10					75	4	50	75					1
Forgotten Tower	20						12	8	8	8	8	8	8	2000	1600		1				1	1	1		1	2	2	-1	-1	-1	-1	6	21							11	12	-1	-1	-1	-1	-1	-1		48	32	128	128			1		100	75	100	120	85	115	120										1				ms1109																					ms1109																																								ms151	ms159			30	30								5	255	Forgotten Tower	To The Forgotten Tower	A1L21																	1
Tower Cellar Level 1	21						13	200	200	200	200	200	200	2500	1000		1				1	1	1		1	1	4	-1	-1	-1	-1	20	22							8	9	-1	-1	-1	-1	-1	-1		56	32	128	128			1		100	14	57	120	14	64	120	1536	1536	1536							1		6		ms852	ms861	ms795	ms1180	ms1582	ms1760																ms852	ms861	ms795	ms1180	ms1582	ms1760															ms852	ms861	ms795	ms1582																	ms151	ms159			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15								25								1
Tower Cellar Level 2	22						14	200	200	200	200	200	200	2500	1300		1				1	1	1		1	1	4	-1	-1	-1	-1	21	24							8	9	-1	-1	-1	-1	-1	-1		64	32	128	128			1		2025	14	57	120	14	64	120	1536	1536	1536							1		6		ms852	ms861	ms795	ms1180	ms1582	ms1760																ms852	ms861	ms795	ms1180	ms1582	ms1760															ms852	ms861	ms795	ms1582																	ms151	ms159			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	A1L23	15								25								1
Tower Cellar Level 3	23						15	119	119	119	119	119	119	100	100		1				1	1	1		1	2	8	-1	-1	-1	-1	33								83	-1	-1	-1	-1	-1	-1	-1		72	32	128	128			1		2025	14	57	120	14	64	120	2700	2700	2700							1		4		ms2103	ms2104	ms2105	ms2106																		ms2103	ms2104	ms2105	ms2106																	ms2104																				ms151	ms159			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	A1L26	15								25								1
Tower Cellar Level 4	24						16	200	200	200	200	200	200	2500	1900		1				1	1	1		1	1	4	-1	-1	-1	-1	22	25							8	9	-1	-1	-1	-1	-1	-1		80	32	128	128			1		2025	14	57	120	14	64	120	1536	1536	1536							1		6		ms852	ms861	ms795	ms1180	ms1582	ms1760																ms852	ms861	ms795	ms1180	ms1582	ms1760															ms852	ms861	ms795	ms1582																	ms151	ms159			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	A1L24	15								25								1
Tower Cellar Level 5	25						17	30	30	30	30	30	30	2500	2200		1				1	1	1		1	2	4	-1	-1	-1	-1	24								8	-1	-1	-1	-1	-1	-1	-1		88	32	128	128			1		1000	15	70	120	15	65	120	1500	1500	1500							1		1		ms852																					ms1711																																								ms151	ms159			30	30							8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	A1L25	15								25								1
Monastery Gate	26							64	18	64	18	64	18	3000	1000		1				1	1	1			2	5	-1	-1	-1	-1		27							-1	-1	-1	-1	-1	-1	-1	-1		64	212	255	224			1		2025	15	59	120	15	65	120	900	900	900							1		8		ms761	ms728	ms857	ms852	ms918	ms772	ms1184	ms1565														ms761	ms728	ms857	ms852	ms918	ms772	ms1184	ms1565													ms761	ms728	ms857	ms852	ms918	ms772	ms1565																										48	6	255	Monastery Gate	To The Monastery Gate	A1L27																	1
Outer Cloister	27							56	40	56	40	56	40		-40	26	1				1	1	1			2	6	-1	-1	-1	-1	26	28							-1	-1	-1	-1	-1	-1	-1	-1		4	8	8	8	1		1		2025	16	59	120	16	66	120	1800	1800	1800							1		10		ms761	ms728	ms857	ms852	ms918	ms772	ms861	ms822	ms1184	ms1565												ms761	ms728	ms857	ms852	ms918	ms772	ms861	ms822	ms1184	ms1565											ms761	ms728	ms857	ms852	ms918	ms772	ms861	ms822	ms1565																									7	5	Outer Cloister	To The Outer Cloister	A1L28	14	15							7	33							1
Barracks	28							200	200	200	200	200	200	-1	-1		1				1	1	1		1	1	7	-1	-1	-1	-1	27	29							-1	14	-1	-1	-1	-1	-1	-1		64	255	178	64			1		2025	16	59	120	16	66	120	3600	3600	3600							1		11	SHADOWCREEPER HERE	ms1565	ms761	ms728	ms857	ms772	ms865	ms868	ms871	ms826	ms1184	ms1705											ms1565	ms761	ms728	ms857	ms772	ms865	ms868	ms871	ms826	ms1184	ms1706										ms1565	ms761	ms728	ms857	ms772	ms865	ms868	ms871	ms826												ms151	ms159			30	30							8	8	255	Barracks	To The Barracks	A1L29	51	3	17						9	35	25						1
Jail Level 1	29						18	200	200	200	200	200	200	3500	1000		1				1	1	1		1	1	8	-1	-1	-1	-1	28	30							13	14	-1	-1	-1	-1	-1	-1		48	255	178	64	1		1		2025	17	59	120	17	68	120	3600	3600	3600							1	1	9	SHADOWCREEPER HERE	ms1565	ms728	ms865	ms868	ms871	ms826	ms795	ms1184	ms1705													ms1565	ms728	ms865	ms868	ms871	ms826	ms795	ms1184	ms1706												ms1565	ms728	ms865	ms868	ms871	ms826	ms795														ms151	ms159			30	30							8	8	6	Jail Level 1	To The Jail Level 1	A1L30	51	15	3						11	50	35						1
Jail Level 2	30						19	200	200	200	200	200	200	3500	1300		1				1	1	1		1	1	8	-1	-1	-1	-1	29	31							13	14	-1	-1	-1	-1	-1	-1		32	255	178	64			1		2025	17	59	120	17	68	120	3600	3600	3600							1	1	9	SHADOWCREEPER HERE	ms1565	ms728	ms865	ms868	ms871	ms804	ms795	ms1185	ms1705													ms1565	ms728	ms865	ms868	ms871	ms804	ms795	ms1185	ms1706												ms1565	ms728	ms865	ms868	ms871	ms804	ms795														ms151	ms159			30	30							8	8	255	Jail Level 2	To The Jail Level 2	A1L31	51	15	3						13	50	45						1
Jail Level 3	31						20	200	200	200	200	200	200	3500	1600		1				1	1	1		1	1	8	-1	-1	-1	-1	30	32							13	13	-1	-1	-1	-1	-1	-1		16	255	178	64			1		2025	18	59	120	18	69	120	3600	3600	3600							1	1	9	SHADOWCREEPER HERE	ms1565	ms728	ms865	ms868	ms871	ms804	ms795	ms1185	ms1705													ms1565	ms728	ms865	ms868	ms871	ms804	ms795	ms1185	ms1706												ms1565	ms728	ms865	ms868	ms871	ms804	ms795														ms151	ms159			30	30								8	255	Jail Level 3	To The Jail Level 3	A1L32	51	15	3						15	50	55						1
Inner Cloister	32							18	20	18	20	18	20	4000	1000		1				1	1	1			2	6	-1	-1	-1	-1	31	33							14	-1	-1	-1	-1	-1	-1	-1		4	8	8	8			1		2025	18	59	120	18	115	120	1080	1080	1080							1				ms1218																					ms1218																																																					22	7	Inner Cloister	To The Inner Cloister	A1L33																	1
Cathedral	33							28	34	28	34	28	34	-4	-34	32	1				1	1	1		1	2	9	-1	-1	-1	-1	32	34	23						-1	15	84	-1	-1	-1	-1	-1		32	255	128		1		1		2025	19	60	120	19	70	120	3600	3600	3600							1		5	SHADOWCREEPER HERE	ms755	ms857	ms1729	ms1186	ms1554																	ms755	ms857	ms1729	ms1186	ms1554																ms755	ms857	ms1729	ms1554																	ms151	ms159			30	30								9	255	Cathedral	To The Cathedral	A1L34	16	3	50	17					35	45	3	3					1
Catacombs Level 1	34						21	200	200	200	200	200	200	4500	1000		1				1	1	1		1	1	10	-1	-1	-1	-1	33	35							16	18	-1	-1	-1	-1	-1	-1		32		128	166			1		2025	19	60	120	19	70	120	3600	3600	3600							1		8		ms804	ms862	ms773	ms865	ms868	ms871	ms1186	ms1554														ms804	ms862	ms773	ms865	ms868	ms871	ms1186	ms1554													ms804	ms862	ms773	ms865	ms868	ms871	ms1554														ms151	ms159			30	30							60	10	255	Catacombs Level 1	To The Catacombs Level 1	A1L35	16	3	14	17					40	45	15	3					1
Catacombs Level 2	35						22	200	200	200	200	200	200	4500	1300		1				1	1	1		1	1	10	-1	-1	-1	-1	34	36							17	18	-1	-1	-1	-1	-1	-1		64		128	166			1		2025	19	60	120	19	70	120	3600	3600	3600							1		8		ms804	ms862	ms773	ms865	ms868	ms871	ms1186	ms1554														ms804	ms862	ms773	ms865	ms868	ms871	ms1186	ms1554													ms804	ms862	ms773	ms865	ms868	ms871	ms1554														ms151	ms159			30	30							60	10	8	Catacombs Level 2	To The Catacombs Level 2	A1L36	16	3	14	17					45	45	17	3					1
Catacombs Level 3	36						23	200	200	200	200	200	200	4500	1600		1				1	1	1		1	1	10	-1	-1	-1	-1	35	37							17	18	-1	-1	-1	-1	-1	-1		96		128	166	1		1		2025	20	61	120	20	72	120	3600	3600	3600							1		9		ms804	ms862	ms773	ms865	ms868	ms871	ms853	ms1187	ms1554													ms804	ms862	ms773	ms865	ms868	ms871	ms853	ms1187	ms1554												ms804	ms862	ms773	ms865	ms868	ms871	ms853	ms1554													ms151	ms159			30	30							60	10	255	Catacombs Level 3	To The Catacombs Level 3	A1L37	16	3	14	17					50	45	19	3					1
Catacombs Level 4	37						24	22	31	22	31	22	31	4500	1900		1				1	1	1		1	2	10	-1	-1	-1	-1	36								17	-1	-1	-1	-1	-1	-1	-1		32	255	128				1		2025	20	61	120	20	72	120	3600	3600	3600							1		9		ms804	ms862	ms773	ms865	ms868	ms871	ms853	ms1187	ms1554													ms804	ms862	ms773	ms865	ms868	ms871	ms853	ms1187	ms1554												ms804	ms862	ms773	ms865	ms868	ms871	ms853	ms1554													ms151	ms159			30	30							60	33	255	Catacombs Level 4	To The Catacombs Level 4	A1L38	16	3	14	17					55	45	1	3					1
Tristram	38						25	43	48	43	48	43	48	5000	1000		1	1				1	1	1		2	11	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		32	255	128			1	1		4500	13	56	120	13	62	120	1900	1900	1900									6	WARLOCK AREA	ms861	ms771	ms761	ms728	ms1179	ms1729																ms861	ms771	ms761	ms728	ms1179	ms1729															ms861	ms771	ms761	ms728	ms1729																													33	255	Tristram	To Tristram	A1L39	44	45								33	1						1
Moo Moo Farm	39				26	40	26	80	80	80	80	80	80	5000	1148		1	1				1	1			3	2	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		64	212	255	224			1		5750	40	92	120	50	115	120	1750	1750	1750							1		6		ms956	ms957	ms958	ms959	ms960	ms1573																ms956	ms957	ms958	ms959	ms960	ms1573															ms956	ms957	ms958	ms959	ms960	ms1573																												34	255	Moo Moo Farm	To The Moo Moo Farm	A1L40	1	38	33	34					5	35	35	35					0
Lut Gholein	40		1	1			27	56	56	56	56	56	56	1000	1000		1					1	1	1		2	12	-1	-1	-1	-1			47	47	50				-1	-1	19	20	24	-1	-1	-1		255	255	210	144	1	1			2025																																																																																	ms268				30									12	9	Lut Gholein	To Lut Gholein	A2L1																	0
Rocky Waste	41		1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9		7	8	55	55	55	55					33	34	35	36	-1	-1	-1	-1		255	104	84	52			1		4500	23	63	120	23	76	120	1100	1100	1100							1		12	WITCH AREA	ms736	ms1780	ms1774	ms741	ms1731	ms801	ms1188	ms1189	ms1560	ms1578	ms1652	ms1705										ms736	ms1780	ms1774	ms741	ms1731	ms801	ms1188	ms1189	ms1560	ms1578	ms1652	ms1704									ms736	ms1780	ms741	ms1731	ms801	ms1560	ms1578														ms269				20									13	255	Rocky Waste	To The Rocky Waste	A2L2	30	24	32	37	36				15	30	15	40	40				0
Dry Hills	42		1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	1	7	8	57	57	57	57					33	34	35	36	-1	-1	-1	-1		255	96	76	44			1		4500	24	64	120	24	77	120	1100	1100	1100							1		13		ms1774	ms897	ms814	ms741	ms831	ms801	ms1188	ms1189	ms1560	ms1578	ms1652	ms1790	ms1774									ms1774	ms897	ms814	ms741	ms831	ms801	ms1188	ms1189	ms1560	ms1578	ms1652	ms1790	ms1774								ms897	ms814	ms741	ms831	ms801	ms1560	ms1578	ms1790													ms269				20									13	11	Dry Hills	To The Dry Hills	A2L3	30	24	32	37	36				15	30	14	40	40				0
Far Oasis	43		1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	2	7	8					62				-1	-1	-1	-1	47	-1	-1	-1		255	88	68	36	1		1		4500	25	65	120	25	79	120	1100	1100	1100							1		9	WARLOCK AREA	ms897	ms1780	ms741	ms801	ms1191	ms1190	ms1560	ms1576	ms1652													ms897	ms1780	ms741	ms801	ms1191	ms1190	ms1560	ms1576	ms1652												ms897	ms1780	ms741	ms801	ms1560	ms1576															ms269				20									13	13	Far Oasis	To The Far Oasis	A2L4	30	24	32	37	36				15	30	13	40	40				0
Lost City	44		1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	3	7	8			65						-1	-1	50	-1	-1	-1	-1	-1		255	80	60	28			1		4500	26	66	120	26	80	120	1100	1100	1100							1		13	EX WITCH AREA	ms814	ms741	ms1781	ms875	ms796	ms712	ms887	ms1190	ms1191	ms1556	ms1576	ms1652	ms1726									ms814	ms741	ms1781	ms875	ms796	ms712	ms887	ms1190	ms1191	ms1556	ms1576	ms1652	ms1726								ms814	ms741	ms1781	ms875	ms796	ms712	ms887	ms1556	ms1576	ms1726											ms269				20									13	14	Lost City	To The Lost City	A2L5	30	24	32	37	36				15	30	12	40	40				0
Valley of Snakes	45		1	1			27	32	32	32	32	32	32	-1	-1		1					1	1	1		3	16	-1	-1	-1	8		58							-1	37	-1	-1	-1	-1	-1	-1		255	72	52	20	1		1		4500	28	85	120	28	115	120										1				ms966																					ms966																																								ms269				20									13	255	Valley of Snakes	To The Valley of Snakes	A2L6	30	24	32	37	36				15	30	11	40	40				0
Canyon of the Magi	46		1	1	13	13	28	80	80	80	80	80	80	2500	1000		1			1		1	1	1		3	16	9	4	7	8		66	67	68	69	70	71	72	-1	38	39	40	41	42	43	44		255	64	44	12	1	1	1		4500	29	67	120	29	84	120	1600	1600	1600							1		13	FAEWITCH + WARLOCK	ms1819	ms898	ms737	ms815	ms742	ms718	ms1193	ms1194	ms1556	ms1591	ms1652	ms1705	ms1726									ms1819	ms898	ms737	ms815	ms742	ms718	ms1193	ms1194	ms1556	ms1591	ms1652	ms1709	ms1726								ms898	ms737	ms815	ms742	ms718	ms1556	ms1591	ms1726													ms269				20									14	17	Canyon of the Magi	To The Canyon of the Magi	A2L7	30	24	32	37	36				15	30	10	40	40				0
