Missile	Id	* Laz / status	pCltDoFunc	pCltHitFunc	pSrvDoFunc	pSrvHitFunc	pSrvDmgFunc	SrvCalc1	*srv calc 1 desc	Param1	*param1 desc	Param2	*param2 desc	Param3	*param3 desc	Param4	*param4 desc	Param5	*param5 desc	CltCalc1	*client calc 1 desc	CltParam1	*client param1 desc	CltParam2	*client param2 desc	CltParam3	*client param3 desc	CltParam4	*client param4 desc	CltParam5	*client param5 desc	SHitCalc1	*server hit calc 1 desc	sHitPar1	*server hit param1 desc	sHitPar2	*server hit param2 desc	sHitPar3	*server hit param3 desc	CHitCalc1	*client hit calc1 desc	cHitPar1	*client hit param1 desc	cHitPar2	*client hit param2 desc	cHitPar3	*client hit param3 desc	DmgCalc1	*damage calc 1	dParam1	*damage param1 desc	dParam2	*damage param2 desc	Vel	MaxVel	VelLev	Accel	Range	LevRange	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	animrate	AnimLen	AnimSpeed	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientCol	ClientSend	NextHit	NextDelay	xoffset	yoffset	zoffset	Size	SrcTown	CltSrcTown	CanDestroy	ToHit	AlwaysExplode	Explosion	Town	NoMultiShot	Holy	*Laz / Slow	CanSlow	ReturnFire	GetHit	SoftHit	KnockBack	Trans	Qty	Pierce	SpecialSetup	MissileSkill	Skill	ResultFlags	HitFlags	HitShift	ApplyMastery	SrcDamage	Half2HSrc	SrcMissDmg	MinDamage	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDamage	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	MinELev1	MinELev2	MinELev3	MinELev4	MinELev5	Emax	MaxELev1	MaxELev2	MaxELev3	MaxELev4	MaxELev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	HitClass	NumDirections	LocalBlood	DamageRate	TravelSound	HitSound	ProgSound	ProgOverlay	ExplosionMissile	SubMissile1	SubMissile2	SubMissile3	HitSubMissile1	HitSubMissile2	HitSubMissile3	HitSubMissile4	CltSubMissile1	CltSubMissile2	CltSubMissile3	CltHitSubMissile1	CltHitSubMissile2	CltHitSubMissile3	CltHitSubMissile4	EOL
ml11	11		1	25	1	20																												40	target seek range	1	missiles					40	target seek range	1	missiles									10	10			50				255	255	255	1		1	SpikeFiendMissle	1024	2	16						1		1		1							1					1					1		1	1									4		8		128																																		10	32			so0	so0	so0						ml1026							ml1026				0
ml12	12		1		1		1																																									dl12	convert to elemental%	3	base conversion	2	conversion/lvl	24	24			40		5		255	178	64	1		1	FireArrow	1024	8	16					3	1		1		1							1				1						1		1	1			1	1			1	sk7	4																				fire																			32			so2242	so2413	so0		ml29															0
ml13	13		1		1																																																	14	14			40				255	255	255	1		1	Arrow	1024	1	16					3	1		1		1							1				1						1		1	1									4		8		128																																		10	32			so309	so0	so0																	0
ml14	14		1		1																																																	16	16			40				255	255	255	1		1	Arrow	1024	1	16					3	1		1		1							1				1						1		1	1									4		8		128																																		10	32			so309	so0	so0																	0
ml15	15		1		1																																																	18	18			40				255	255	255	1		1	Arrow	1024	1	16					3	1		1		1							1				1						1		1	1									4		8		128																																		10	32			so309	so0	so0																	0
ml16	16		1		1																																																	20	20			40				255	255	255	1		1	Arrow	1024	1	16					3	1		1		1							1				1						1		1	1									4		8		128																																		10	32			so309	so0	so0																	0
ml17	17		1		1																																																	24	24			40				255	255	255	1		1	Arrow	1024	1	16					3	1		1		1							1				1						1		1	1									4		8		128																																		10	32			so309	so0	so0																	0
ml18	18		2																																																			3	3			128				255	255	255				BloodSmall01	1024	9	16						1		1									1						1		1																8																																					8	1		so0	so0	so0																	0
ml19	19		2																																																			4	4			128				255	255	255				BloodSmall02	1024	9	16						1		1									1						1		1																8																																					8	1		so0	so0	so0																	0
ml20	20		2																																																			3	3			128				255	255	255				BloodLarge01	1024	9	16						1		1									1						1		1																8																																					8	1		so0	so0	so0																	0
ml21	21		2																																																			4	4			128				255	255	255				BloodLarge02	1024	9	16						1		1									1						1		1																8																																					8	1		so0	so0	so0																	0
ml22	22		1		1																																																	8	8			40		5		255	178	64	1		1	ShamanFireball	1024	3	16					3	1		1		1							1										1		1	1			1						4		8																		fire	1	10	10	10	10	10	4	10	10	10	10	10							16			so429	so2413	so0		ml34															0
ml23	23		1		1																																																	10	10			40		5		255	178	64	1		1	ShamanFireball	1024	3	16					3	1		1		1							1										1		1	1			1						4		8																		fire	2	10	10	10	10	10	6	10	10	10	10	10							16			so429	so2413	so0		ml34															0
ml24	24		1		1																																																	12	12			40		5		255	178	64	1		1	ShamanFireball	1024	3	16					3	1		1		1							1										1		1	1			1						4		8																		fire	2	10	10	10	10	10	7	10	10	10	10	10							16			so429	so2413	so0		ml34															0
ml25	25		1		1																																																	16	16			40		5		255	178	64	1		1	ShamanFireball	1024	3	16					3	1		1		1							1										1		1	1			1						4		8																		fire	2	10	10	10	10	10	8	10	10	10	10	10							16			so429	so2413	so0		ml34															0
ml26	26		1		1																																																	20	20			40		5		255	178	64	1		1	ShamanFireball	1024	3	16					3	1		1		1							1										1		1	1			1						4		8																		fire	8	5	5	5	5	5	14	5	5	5	5	5							16			so429	so2413	so0		ml34															0
ml27	27		1		1		1																																									dl12	convert to elemental%	1	base conversion	1	conversion/lvl	24	24			40		3		255	255	255	1		1	SafeArrow	1024	1	16					3	1		1		1							1				1						1		1	1			1					sk6	4																				mag																		10	32			so2258	so0	so0																	0
ml28	28		1		1		2																																											100	convert cold len to freeze			24	24			40		5		81	81	255	1		1	IceArrow	1024	8	16					3	1		1		1							1				1						1		1	1			1	1					4																																							32			so2233	so359	so0		ml30															0
ml29	29		1																																																							12		13		255	178	64				FireArrowExplode2	1024	12	16	5					1		1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml30	30		1																																																							16		11		81	81	255				IceArrowExplode	1024	16	16						1		1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml31	31		1		1																																																	24	24			50				255	255	255	1			XBowBolt	1024	1	16					3	1		1		1							1				1						1		1	1									4		8		128																																		10	32			so317	so0	so0																	0
ml32	32		1		1					193		103																																										15	15			40				255	255	255	3		1	AndarielSpell	1024	24	16					3	1		1		1							1										1		1	1			1						4							1792	1280	1280	1280	1280	1280	2560	1280	1280	1280	1280	1280		pois	32	32	32	32	32	32	64	32	32	32	32	32		400	10	10	10		1			so449	so0	so0																	0
ml33	33		1																																																							6		8		143	143	255				BigheadLightningExplosion	1024	7	16						1		1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml34	34		1																																																							11		8		255	178	64				ShamanFireballExplodeFinal	1024	12	16						1		1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml35	35		1		1																																																	24	24			20				255	255	255	1		1	MissileHandAxe	1024	8	16					3	1		1		1							1				1						1		1	1									4		8		128																																		2	32			so259	so0	so0																	0
ml36	36		1		1																																																	24	24			40				255	255	255	1			MissileDagger	1024	1	16					3	1		1		1							1				1						1		1	1									4		8		128																																		6	32			so259	so0	so0																	0
ml37	37		1		1																																																	24	24			40				255	255	255				Glaive	1024	1	16					3	1		1		1							1				1						1		1	1									4		8		128																																		6	32			so259	so0	so0																	0
ml38	38		3		2			0	#subloops											0	#subloops																																	24	24			25				128	255	128				Javelin	1024	1	16					3	1		1		1							1				1						1		1	1				1					4																																						6	32			so259	so0	so0			ml39							ml39							0
ml39	39		4		3					2	Slow drift speed, fourths.	4	Fast drift speed, fourths.									24	spawn rate	1	number	6	radius																															60				128	255	128			1	PoisonSparks	1024	31	16		1	10	19	3			1		1	1						2										1						1										-1																																		6	8			so2595	so0	so0										ml141							0
ml40	40		1		1		1																																									dl12	convert to elemental%	3	base conversion	2	conversion/lvl	24	24			20		5		81	81	255	1		1	IceArrow	1024	8	16					3	1		1		1							1				1						1		1	1			1	1			1	sk11	4																				cold																			32			so2233	so359	so0		ml30															0
ml41	41		1	1	1	4																																				3	explosions radius	1	explosions density									24	24			40		5		255	178	64	1		1	FireArrow	1024	8	16					3	1		1		1							1				1	1					1		1	1			1	1									128																fire																			32			so2242	so0	so0		ml42				ml656							ml265				0
ml42	42		1																																																							16		15		255	178	64				ExpArrowExplode	1024	16	16						1		1									1						1		1					1			1						4																																							1			so407	so0	so0																	0
ml43	43		3	2	3	2																												1	ring 2 density	2	ring 1 density	3	subloops			1	ring 2 density	2	ring 1 density	3	subloops							24	24			15		4		128	255	128				Javelin	1024	1	16					3	1		1		1							1				1	1					1		1	1				1					4																																						6	32			so259	so410	so0			ml221			ml221				ml221			ml221				0
ml44	44		1	3	1	3																												4	damage radius																			16	16			30		3		255	128	128				mslops	1024	8	16					6	1		1									1					1					1		1	1				1		1			5	2	8																		fire	50						50												1			so259	so407	so0													ml51	ml52	ml54		0
ml45	45		1	3	1	3																												6	damage radius																			16	16			30		3		255	128	128				mslopm	1024	8	16					6	1		1									1					1					1		1	1				1		1			5	2	8																		fire	250						250												1			so259	so410	so0													ml51	ml52	ml54		0
ml46	46		1	3	1	3																												12	damage radius																			16	16			30		3		255	128	128				mslopl	1024	8	16					6	1		1									1					1					1		1	1		1		1		1			5	2	8																		fire	1250						1250												1			so259	so410	so0													ml51	ml52	ml54		0
ml47	47		1	2	1	2				30	Poison Length																								ring 2 density	2	ring 1 density	3	subloops				ring 2 density	2	ring 1 density	3	subloops							16	16			30		3		128	255	128				mslgps	1024	8	16					6	1		1									1					1					1		1	1				1		1			4		8																		pois	250						250							50					1			so259	so404	so0						ml222							ml222				0
ml48	48		1	2	1	2				60	Poison Length																							2	ring 2 density	2	ring 1 density	3	subloops			2	ring 2 density	2	ring 1 density	3	subloops							16	16			30		3		128	255	128				mslgpm	1024	8	16					6	1		1									1					1					1		1	1				1		1			4		8																		pois	500						500							75					1			so259	so407	so0						ml223							ml223				0
ml49	49		1	2	1	2				90	Poison Length																							1	ring 2 density	2	ring 1 density	3	subloops			1	ring 2 density	2	ring 1 density	3	subloops							16	16			30		3		128	255	128				mslgpl	1024	8	16					6	1		1									1					1					1		1	1				1		1			4		8																		pois	1000						1000							100					1			so259	so407	so0						ml224							ml224				0
ml50	50		1								acid (destroys AC or dur)																																																			255	255	255				null	1024	2	16					3	1		1									1										1		1	1				1					4																																							1			so259	so407	so0																	0
ml51	51		1							2																																																16		13		255	178	64				ExpArrowExplode	1024	16	16								1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml52	52		1																																																											255	255	255				PotionExplodeDebris01	1024	29	16								1									1						1		1					1									4		8																																					1			so0	so0	so0																	0
ml53	53		1																																																											255	255	255				PotionExplodeDebris02	1024	29	16								1									1						1		1					1									4		8																																					1			so0	so0	so0																	0
ml54	54		1																																																											255	255	255				PotionExplodeDebris03	1024	29	16								1									1						1		1					1									4		8																																					1			so0	so0	so0																	0
ml55	55		1	9	1	7																												1	heals allies?	1	0 = all, 1 = undead, 2 = demons					1	heals allies?	1	0 = all, 1 = undead, 2 = demons									20	20			50		7		222	222	255	1		1	HolyBoltMissile	1024	16	16					3	1	1	1		1							1									1	1		1	1			1						4																																							1			so2381	so2384	so0	ol26																0
ml56	56		1	10	1																																																	12	12			98		3	4	255	255	255	1		1	ChargedBolt	1024	10	16		1	2	8	3	1		1		1							1										1		1	1			1					sk38	4																																						64	16			so2400	so0	so0	ol1																0
ml57	57		1		1																																																					14				222	222	255			1	Gleam	1024	8	16																	1									1	1						1																																													1			so0	so0	so0																	0
ml58	58		1		1																																																	20	20			50		7		255	178	64	1		1	Firebolt	1024	5	16					3	1		1		1							1										1		1	1			1					sk36	4																																							16			so2410	so2413	so0		ml29															0
ml59	59		1		1																																																	12	12			50		7		81	81	255	1		1	Icebolt	1024	6	16					3	1		1		1							1										1		1	1			1						4																																							16			so2427	so359	so0		ml30															0
ml60	60		1		1					8	Mana Use, 16ths.	7	Minimum range																																									12	12			30		5		255	178	64	1			Flamethrower	1024	15	16					3			1									1										1		1	1			1						4																																						32	1		82	so2433	so0	so0																	0
ml61	61		1		1					8	Mana Use, 16ths.	7	Minimum range																																									12	12			30		5		255	178	64	1			Flamethrower2	1024	15	16					3			1									1										1		1	1			1						4																																						32	1		82	so2433	so0	so0																	0
ml62	62		1	1	1	1																												4	damage radius							3	explosions radius	1	explosions density									20	20			50		7		255	178	64	1		1	Fireball	1024	5	16					3	1		1		1							1										1		1	1			1						5	2																			fire																			16			so2416	so2419	so0		ml42											ml265				0
ml63	63		1		1																																																	5	5			24				255	255	255				GreaterMummyBreath	1024	24	16					3			1		1							2										1			1			1						4		1																		pois	9	4	4	4	4	4	9	4	4	4	4	4		100					8			so0	so0	so0																	0
ml64	64		1		1																																																	5	5			24				255	255	255				GreaterMummyBreath	1024	24	16					3			1		1							2										1			1			1						4		1																		pois	9	4	4	4	4	4	9	4	4	4	4	4		200					8			so0	so0	so0																	0
ml65	65		1		1																																																	5	5			24				255	255	255				GreaterMummyBreath	1024	24	16					3			1		1							2										1			1			1						4		1																		pois	9	5	5	5	5	5	9	5	5	5	5	5		300					8			so0	so0	so0																	0
ml66	66		1		1																																																	5	5			24				255	255	255				GreaterMummyBreath	1024	24	16					3			1		1							2										1			1			1						4		1																		pois	9	5	5	5	5	5	9	5	5	5	5	5		400					8			so0	so0	so0																	0
ml67	67		5		5	8	3																											19	softhit chance (128)															19	hit sound chance (128)							90	25	5	4	255	178	64			1	groundFireBig	1024	37	16		1	12	36	3				1		1						1	1	12								1						1																																												32	1			so2577	so0	so0																	0
ml68	68		6		6																	4	no light freq																															12	12			7	2	8		255	178	64			1	groundFireBig	1024	2	16		1	1	2	8			1		1	1						1										1						1								8																																				32	1			so0	so0	so0			ml69							ml69	ml104	ml105					0
ml69	69		5		5		3																											19	softhit chance (128)															19	hit sound chance (128)							90		5	4	255	178	64			1	groundFireBig	1024	37	16		1	12	36	3				1		1						1	1	12								1						1					sk51																																							32	1		41	so2577	so0	so0																	0
ml70	70		1		1																																																	10	10			24				255	255	255	3			SandMaggotGooSpit	1024	24	16					3	1		1		1							1										1		1	1									4		1					1	3	3	3	3	3	3	3	3	3	3	3		pois	4	3	3	3	3	3	4	3	3	3	3	3		200				176	16			so1953	so0	so0		ml75															0
ml71	71		1		1																																																	10	10			24				255	255	255	3			SandMaggotGooSpit	1024	24	16					3	1		1		1							1										1		1	1									4		1					2	3	3	3	3	3	3	3	3	3	3	3		pois	5	3	3	3	3	3	5	3	3	3	3	3		300				176	16			so1953	so0	so0		ml75															0
ml72	72		1		1																																																	10	10			24				255	255	255	3			SandMaggotGooSpit	1024	24	16					3	1		1		1							1										1		1	1									4		1					2	3	3	3	3	3	4	3	3	3	3	3		pois	6	3	3	3	3	3	6	3	3	3	3	3		400				176	16			so1953	so0	so0		ml75															0
ml73	73		1		1																																																	10	10			24				255	255	255	3			SandMaggotGooSpit	1024	24	16					3	1		1		1							1										1		1	1									4		1					2	4	4	4	4	4	5	4	4	4	4	4		pois	7	3	3	3	3	3	7	3	3	3	3	3		500				176	16			so1953	so0	so0		ml75															0
ml74	74		1		1																																																	10	10			24				255	255	255	3			SandMaggotGooSpit	1024	24	16					3	1		1		1							1										1		1	1									4		1					3	4	4	4	4	4	5	4	4	4	4	4		pois	8	3	3	3	3	3	8	3	3	3	3	3		600				176	16			so1953	so0	so0		ml75															0
ml75	75		1																																																							15				255	255	255				GooHit	1024	15	16						1		1									1										1		1	1									4		8																																					1			so0	so0	so0																	0
ml76	76		2																																																							128				255	255	255				SandMaggotSandPile	1024	1	16								1									1										1														8																																					8			so0	so0	so0																	0
ml77	77		1		1																																																	12	12			40		5					1		1	UnholyBolt	1024	16	16					3	1		1		1							1										1		1	1			2						4		8																		mag	3	9	9	9	9	9	6	9	9	9	9	9							1			so1119	so0	so0																	0
ml78	78		1		1																																																	12	12			40		5					1		1	UnholyBolt	1024	16	16					3	1		1		1							1										1		1	1			2						4		8																		mag	3	9	9	9	9	9	7	9	9	9	9	9							1			so1119	so0	so0																	0
ml79	79		1		1																																																	12	12			40		5					1		1	UnholyBolt	1024	16	16					3	1		1		1							1										1		1	1			2						4		8																		mag	4	9	9	9	9	9	8	9	9	9	9	9							1			so1119	so0	so0																	0
ml80	80		1		1																																																	12	12			40		5					1		1	UnholyBolt	1024	16	16					3	1		1		1							1										1		1	1			2						4		8																		mag	4	9	9	9	9	9	9	9	9	9	9	9							1			so1119	so0	so0																	0
ml81	81		1		1																																																					125									1	sanctuary	1024	40	16		1	10	30				1			1						1						1		1																																																					1			so0	so0	so0																	0
ml82	82		1		1																																																					15				255	178	64				FireArrowExplode2	1024	12	16					3			1									1						1		1					1			1						4		8																		fire	8	2	2	2	2	2	16	2	2	2	2	2							1			so0	so407	so0																	0
ml83	83																																																					1	1			128										ArrowInGround	1024	1	16								1									1						1		1																8																																					32			so0	so0	so0																	0
ml84	84																																																									128										Footsteps01	1024	2	16								1									1						1		1																8																																					32			so0	so0	so0																	0
ml85	85		1	12	1	9				3	??? Radius																					75	fire duration		disc radius (0 = skill)		damage radius (0 = skill)			75	fire duration		disc radius (0 = skill)	75	disc density									24	24			40		9		255	178	64	1		1	FireArrow	1024	8	16					3	1		1		1							1				1	1					1		1	1			1	1					5	2																			fire																		10	32			so2242	so407	so0						ml230							ml69	ml104	ml105		0
ml86	86		7	13	7	10				5	retarget frame	15	retarget radius									5	Retarget Frame																															24	24			128		3		255	255	255	1		1	SafeArrow	1024	1	16					3	1				1							1					1					1		1	1			1	1					4																																						10	32			so2258	so0	so0																	0
ml87	87		1	14	1	4																													damage radius (0 = skill)																			24	24			40		5		81	81	255	1		1	IceArrow	1024	8	16					3	1		1		1							1				1	1					1		1	1			1	1					4	5	8		128																																			32			so2233	so2430	so0						ml657							ml88	ml89			0
ml88	88		1		1																																																					16		11		81	81	255				FreezeExplodeCenter	1024	15	16						1		1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml89	89		1		1																																																					16				81	81	255				FreezeExplodeEjecta	1024	15	16						1		1									1						1		1					1			1						4		8																																					8			so0	so0	so0																	0
ml90	90		1	10	1																																																	24	24			128		2		212	212	255			1	BigLightning	1024	8	16		1		7	3			1				1	4				1										1		1	1			1					sk48	4																																						64	16			so2438	so0	so0	ol1																0
ml91	91		1		1		4			4	Radius																																											12	12			50		7		81	81	255	1		1	IceBlast	1024	5	16					3	1		1		1							1										1		1	1			1						4																																							16			so2427	so2430	so0		ml88															0
ml92	92		1		1		5																																											50	bonus dmg% undead		bonus dmg% demon	18	30		250	120		5		222	222	255	6		1	blessedhammer	1024	6	16					3			1									1									3			1	1			1						4																				mag																			16			so2373	so2384	so0																	0
ml93	93		8	16	1	12																3	Subloops												range (0 = skill)								range (0 = skill)											30	30			25		4		255	255	255			1	LightningStrike	1024	8	16					3	1		1		1		1	4				2										1		1	1			1						4																																						64	32			so2434	so0	so0	ol1									ml99							0
ml94	94		1		1																																																	12	12			128		3		255	255	255			1	FOAorbiter	1024	9	16								1									1										1						1								8																																					1			so0	so0	so0																	0
ml95	95		1		1																																																	8	8			128		4		81	81	255	1		1	ChillBlood	1024	16	16					3	1		1		1							1										1			1			1						4		8																																				48	1			so0	so0	so0																	0
ml96	96		1	14	1	13																													damage radius (0 = skill)		freeze length (0 = skill)																	16	16			40		5		81	81	255	1		1	GlacialSpike	1024	6	16					3	1		1		1							1										1		1	1			1						5	2																			frze																			16			so2424	so2430	so0													ml88	ml89			0
ml97	97		1		1																																																					18		6		255	255	255				Teleport	1024	18	16								1									1						1		1								1								8																																					1			so0	so0	so0																	0
ml98	98		8		1																	3	Subloops																															30	30			25		4		255	255	255			2	null	1024	2	16					3			1		1							2										1		1	1			1					sk49	4																																						64	1			so2434	so0	so0										ml99							0
ml99	99		1	10	1																			16	Z Range																																	12		3	4	255	255	255			1	LightningStrike	1024	8	16		1		7													1										1						1								8																		ltng	2	2	2	2	2	2	5	2	2	2	2	2						64	32			so0	so0	so0	ol1																0
ml100	100		1																																																							60									1	Meteor	1024	12	16						1		1			1																1																																																			1			so0	so0	so0																	0
ml101	101		9	18	1	14																59	frames	25	fallrate	15	sliderate								range (0 = skill)	1	flames increment					5	# submissile1	3	# submissile3	15	# submissile4											60		4		255	64	64			1	MeteorTargetIndicator	1024	17	16								1			1						1					1					1			1			1					sk675	5	2	8																																					1			so0	so0	so2438										ml100	ml102		ml103	ml154			0
ml102	102		1																																																							60									1	MeteorTail	1024	12	16						1		1																			1						1								8																																					1			so0	so0	so0																	0
ml103	103		1		1					2	none																																															16		13		255	178	64				ExpArrowExplode	1024	16	16								1									1						1		1				1	1			1						4		8																																					1			so0	so0	so0																	0
ml104	104		5		1																																																					90	25	2	2	255	178	64			1	groundFireSmall	1024	37	16		1	12	36	3						1						1	1	12								1						1																										fire	150	150	150	150	150	150	150	150	150	150	150	150						32	1			so2577	so0	so0																	0
ml105	105		5		1																																																					90	25	3	2	255	178	64			1	groundFireMedium	1024	37	16		1	12	36	3						1						1	1	12								1						1																										fire	250	250	250	250	250	250	250	250	250	250	250	250						32	1			so2577	so0	so0																	0
ml106	106		10		8					5	base radius	8	base freq	4	level divisor							5	base radius	8	base freq	4	level divisor																															25	15	9		81	81	255			1	null	1024	2	16								1			1						1								1		1						1								8																																					1			so2393	so0	so0			ml107							ml107	ml110						0
ml107	107		1	19	3																	120	fall distance	5	fall rate																																	9									1	icestormfallvar01	1024	6	16					3			1									2					1			1		1		1	1			1						4		8					1	4	4	4	4	4	2	4	4	4	4	4		cold	4	12	12	12	12	12	9	12	12	12	12	12		200	25	25	25		1			so2393	so2394	so0													ml111	ml113			0
ml108	108		1	19	3																	120	fall distance	5	fall rate																																	9									1	icestormfallvar02	1024	6	16					3			1									2					1			1		1		1	1			1						4		8					1	4	4	4	4	4	2	4	4	4	4	4		cold	4	12	12	12	12	12	9	12	12	12	12	12		200	25	25	25		1			so2393	so2394	so0													ml111	ml113			0
ml109	109		1	19	3																	120	fall distance	5	fall rate																																	9									1	icestormfallvar03	1024	6	16					3			1									2					1			1		1		1	1			1						4		8					1	4	4	4	4	4	2	4	4	4	4	4		cold	4	12	12	12	12	12	9	12	12	12	12	12		200	25	25	25		1			so2393	so2394	so0													ml111	ml113			0
ml110	110		1	19	3																	120	fall distance	5	fall rate																																	9									1	icestormfallvar04	1024	6	16					3			1									2					1			1		1		1	1			1						4		8					1	4	4	4	4	4	2	4	4	4	4	4		cold	4	12	12	12	12	12	9	12	12	12	12	12		200	25	25	25		1			so2393	so2394	so0													ml111	ml113			0
ml111	111		1		1																																																					6										icestormimpactvar01	1024	6	16						1		1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml112	112		1		1																																																					6										icestormimpactvar02	1024	6	16						1		1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml113	113		1		1																																																					6										icestormimpactvar02	1024	6	16						1		1									1						1		1					1			1						4		8																																					1			so0	so0	so0																	0
ml114	114		1		1																																																	16	16			50		3		255	255	255	1			teethMissile	1024	30	16		1		15	3	1		1		1		1	4				1										1		1	1			1						4																																							32			so2478	so2384	so0																	0
