Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	* Laz / temp	* Laz / temp2	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl8	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	100		271	1	1	36	150	merc01	merc41	100	1	1224	64	3	4	50	4	232	30	500	72	406	24	1	5	6	4	66	7	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Normal	100		271	1	1	90	150	merc01	merc41	100	1	3240	104	7	8	50	4	348	30	780	72	1150	36	2	13	14	6	121	5	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	1	160	32	1	2	50	4	106	30	204	72	203	12		1	2	2		8	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	1	1224	64	3	4	50	4	232	30	500	72	406	24	1	5	6	4	66	7	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Normal	100	1	271	1	1	90	150	merc01	merc41	150	1	3240	104	7	8	50	4	348	30	780	72	1150	36	2	13	14	6	121	5	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	1	1104	64	3	4	50	4	222	30	476	72	365	24	1	5	6	4	63	7	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Nightmare	100	2	271	1	2	90	150	merc01	merc41	6000	1	3120	104	7	8	50	4	340	30	756	72	1109	36	2	13	14	6	118	5	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	1	1104	64	3	4	50	4	222	30	476	72	365	24	1	5	6	4	63	7	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Nightmare	100	3	271	1	2	90	150	merc01	merc41	7500	1	3120	104	7	8	50	4	340	30	756	72	1109	36	2	13	14	6	118	5	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Hell	100	4	271	1	3	90	150	merc01	merc41	12500	1	2800	104	7	7	50	4	330	30	734	72	998	36	2	12	13	6	115	5	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Hell	100	5	271	1	3	90	150	merc01	merc41	14000	1	2800	104	7	7	50	4	330	30	734	72	998	36	2	12	13	6	115	5	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Desert Mercenary	Comb-Normal		6	338	2	1	12	198	merca201	merca221	350	1	432	40	1	3	400	40	258	63	258	63	20	10	1	3	7	4	18	8	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Normal		6	338	2	1	31	198	merca201	merca221	350	1	1224	72	4	6	400	40	432	63	432	63	240	20	3	9	12	6	62	7	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Normal		6	338	2	1	55	198	merca201	merca221	350	1	2952	124	9	10	400	40	621	63	621	63	720	30	4	18	21	8	104	4	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Normal		7	338	2	1	12	198	merca201	merca221	350	1	432	40	1	3	400	40	258	63	258	63	20	10	1	3	7	4	18	8	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Normal		7	338	2	1	31	198	merca201	merca221	350	1	1224	72	4	6	400	40	432	63	432	63	240	20	3	9	12	6	62	7	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Normal		7	338	2	1	55	198	merca201	merca221	350	1	2952	124	9	10	400	40	621	63	621	63	720	30	4	18	21	8	104	4	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Normal		8	338	2	1	12	198	merca201	merca221	350	1	432	40	1	3	400	40	258	63	258	63	20	10	1	3	7	4	18	8	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Normal		8	338	2	1	31	198	merca201	merca221	350	1	1224	72	4	6	400	40	432	63	432	63	240	20	3	9	12	6	62	7	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Normal		8	338	2	1	55	198	merca201	merca221	350	1	2952	124	9	10	400	40	621	63	621	63	720	30	4	18	21	8	104	4	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Nightmare		9	338	2	2	31	198	merca201	merca221	7900	1	1104	72	4	5	400	40	414	63	414	63	216	20	3	8	11	6	59	7	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Nightmare		9	338	2	2	55	198	merca201	merca221	7900	1	2832	124	8	10	400	40	603	63	603	63	696	30	4	17	20	8	101	4	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Nightmare		10	338	2	2	31	198	merca201	merca221	7900	1	1104	72	4	5	400	40	414	63	414	63	216	20	3	8	11	6	59	7	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Nightmare		10	338	2	2	55	198	merca201	merca221	7900	1	2832	124	8	10	400	40	603	63	603	63	696	30	4	17	20	8	101	4	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Nightmare		11	338	2	2	31	198	merca201	merca221	7900	1	1104	72	4	5	400	40	414	63	414	63	216	20	3	8	11	6	59	7	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Nightmare		11	338	2	2	55	198	merca201	merca221	7900	1	2832	124	8	10	400	40	603	63	603	63	696	30	4	17	20	8	101	4	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Hell		12	338	2	3	55	198	merca201	merca221	15000	1	2544	124	8	9	400	40	585	63	585	63	626	30	4	16	19	8	98	4	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Hell		13	338	2	3	55	198	merca201	merca221	15000	1	2544	124	8	9	400	40	585	63	585	63	626	30	4	16	19	8	98	4	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Hell		14	338	2	3	55	198	merca201	merca221	15000	1	2544	124	8	9	400	40	585	63	585	63	626	30	4	16	19	8	98	4	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Normal	100	6	338	2	1	12	198	merca201	merca221	350	1	432	52	1	3	400	40	258	63	258	63	20	12	1	3	7	4	18	8	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Normal	100	6	338	2	1	43	198	merca201	merca221	350	1	2264	92	6	7	400	40	528	63	528	63	428	24	3	12	15	6	86	7	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Normal	100	6	338	2	1	90	198	merca201	merca221	350	1	5144	144	12	13	400	40	780	63	780	63	1196	36	4	24	27	8	142	4	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Normal	100	7	338	2	1	12	198	merca201	merca221	350	1	432	52	1	3	400	40	258	63	258	63	20	12	1	3	7	4	18	8	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Normal	100	7	338	2	1	43	198	merca201	merca221	350	1	2264	92	6	7	400	40	528	63	528	63	428	24	3	12	15	6	86	7	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Normal	100	7	338	2	1	90	198	merca201	merca221	350	1	5144	144	12	13	400	40	780	63	780	63	1196	36	4	24	27	8	142	4	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Normal	100	8	338	2	1	12	198	merca201	merca221	350	1	432	52	1	3	400	40	258	63	258	63	20	12	1	3	7	4	18	8	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Normal	100	8	338	2	1	43	198	merca201	merca221	350	1	2264	92	6	7	400	40	528	63	528	63	428	24	3	12	15	6	86	7	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Normal	100	8	338	2	1	90	198	merca201	merca221	350	1	5144	144	12	13	400	40	780	63	780	63	1196	36	4	24	27	8	142	4	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	1	2040	92	5	7	400	40	510	63	510	63	385	24	3	11	14	6	83	7	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	90	198	merca201	merca221	7900	1	4920	144	11	13	400	40	762	63	762	63	1153	36	4	23	26	8	139	4	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	1	2040	92	5	7	400	40	510	63	510	63	385	24	3	11	14	6	83	7	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Nightmare	100	10	338	2	2	90	198	merca201	merca221	7900	1	4920	144	11	13	400	40	762	63	762	63	1153	36	4	23	26	8	139	4	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	1	2040	92	5	7	400	40	510	63	510	63	385	24	3	11	14	6	83	7	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Nightmare	100	11	338	2	2	90	198	merca201	merca221	7900	1	4920	144	11	13	400	40	762	63	762	63	1153	36	4	23	26	8	139	4	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Desert Mercenary	Comb-Hell	100	12	338	2	3	90	198	merca201	merca221	15000	1	4424	144	11	12	400	40	744	63	744	63	1038	36	4	22	25	8	136	4	pole	spea	comb	5	sk426	4	150		6		sk891	4	20		1		sk923	4	20		1	0	sk919	4	5		5		sk1001	4	5		13	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Def-Hell	100	13	338	2	3	90	198	merca201	merca221	15000	1	4424	144	11	12	400	40	744	63	744	63	1038	36	4	22	25	8	136	4	pole	spea	def	5	sk573	4	150		1		sk490	4	800		3		sk600	4	10		1	0	sk922	4	20		3	8	sk913	4	20		24	16	sk908	4	1000		1		2	2	2	
Desert Mercenary	Off-Hell	100	14	338	2	3	90	198	merca201	merca221	15000	1	4424	144	11	12	400	40	744	63	744	63	1038	36	4	22	25	8	136	4	pole	spea	off	5	sk8	4	150		3		sk972	4	10		25		sk488	4	10		6	8	sk804	4	20		1		sk619	4	10		9		sk908	4	1000		1		2	2	2	
Eastern Sorceror	Fire-Normal		15	359	3	1	15	252	merca222	merca241	1000	1	1152	56	2304	112	350	35	148	40	160	24	15	10		1	7	4	25	7	swor	shie	fire	10	sk920	7	80		8	24	sk924	7	10		3		sk468	7	30		5	0	sk119	7	60		15	24	sk928	7	20		21	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Fire-Normal		15	359	3	1	37	252	merca222	merca241	1000	1	2416	96	4832	192	350	35	232	40	248	24	235	20	3	12	18	4	64	7	swor	shie	fire	10	sk920	7	80		8	24	sk924	7	10		3		sk468	7	30		5	0	sk119	7	60		15	24	sk928	7	20		21	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Fire-Normal		15	359	3	1	61	252	merca222	merca241	1000	1	4840	144	9680	288	350	35	322	40	344	24	715	30	5	24	30	4	106	6	swor	shie	fire	10	sk920	7	80		8	24	sk924	7	10		3		sk468	7	30		5	0	sk119	7	60		15	24	sk928	7	20		21	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Cold-Normal		16	359	3	1	15	252	merca222	merca241	1500	1	1152	56	2304	112	350	35	148	40	160	24	15	10		1	7	4	25	7	swor	shie	cold	10	sk451	7	80		9	24	sk914	7	45		5	16	sk539	7	10		3	0	sk917	7	60		16	24	sk648	7	5		4	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Cold-Normal		16	359	3	1	37	252	merca222	merca241	1500	1	2416	96	4832	192	350	35	232	40	248	24	235	20	3	12	18	4	64	7	swor	shie	cold	10	sk451	7	80		9	24	sk914	7	45		5	16	sk539	7	10		3	0	sk917	7	60		16	24	sk648	7	5		4	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Cold-Normal		16	359	3	1	61	252	merca222	merca241	1500	1	4840	144	9680	288	350	35	322	40	344	24	715	30	5	24	30	4	106	4	swor	shie	cold	10	sk451	7	80		9	24	sk914	7	45		5	16	sk539	7	10		3	0	sk917	7	60		16	24	sk648	7	5		4	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Ltng-Normal		17	359	3	1	15	252	merca222	merca241	1000	1	1152	56	2304	112	350	35	148	40	160	24	15	10		1	7	4	25	7	swor	shie	ltng	10	sk461	7	100		9	24	sk563	7	25		5	16	sk936	7	10		2	8	sk916	7	60		11	24	sk932	7	10		9		sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Ltng-Normal		17	359	3	1	37	252	merca222	merca241	1000	1	2416	96	4832	192	350	35	232	40	248	24	235	20	3	12	18	4	64	7	swor	shie	ltng	10	sk461	7	100		9	24	sk563	7	25		5	16	sk936	7	10		2	8	sk916	7	60		11	24	sk932	7	10		9		sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Ltng-Normal		17	359	3	1	61	252	merca222	merca241	1000	1	4840	144	9680	288	350	35	322	40	344	24	715	30	5	24	30	4	106	4	swor	shie	ltng	10	sk461	7	100		9	24	sk563	7	25		5	16	sk936	7	10		2	8	sk916	7	60		11	24	sk932	7	10		9		sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Fire-Nightmare		18	359	3	2	37	252	merca222	merca241	9500	1	2168	96	4336	192	350	35	220	40	232	24	212	20	3	10	16	4	61	7	swor	shie	fire	10	sk920	7	80		8	24	sk924	7	10		3		sk468	7	30		5	0	sk119	7	60		15	24	sk928	7	20		21	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Fire-Nightmare		18	359	3	2	61	252	merca222	merca241	9500	1	4592	144	9184	288	350	35	310	40	328	24	692	30	5	22	28	4	103	4	swor	shie	fire	10	sk920	7	80		8	24	sk924	7	10		3		sk468	7	30		5	0	sk119	7	60		15	24	sk928	7	20		21	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Cold-Nightmare		19	359	3	2	37	252	merca222	merca241	12000	1	2168	96	4336	192	350	35	220	40	232	24	212	20	3	10	16	4	61	7	swor	shie	cold	10	sk451	7	80		9	24	sk914	7	45		5	16	sk539	7	10		3	0	sk917	7	60		16	24	sk648	7	5		4	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Cold-Nightmare		19	359	3	2	61	252	merca222	merca241	12000	1	4592	144	9184	288	350	35	310	40	328	24	692	30	5	22	28	4	103	4	swor	shie	cold	10	sk451	7	80		9	24	sk914	7	45		5	16	sk539	7	10		3	0	sk917	7	60		16	24	sk648	7	5		4	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Ltng-Nightmare		20	359	3	2	37	252	merca222	merca241	10000	1	2168	96	4336	192	350	35	220	40	232	24	212	20	3	10	16	4	61	7	swor	shie	ltng	10	sk461	7	100		9	24	sk563	7	25		5	16	sk936	7	10		2	8	sk916	7	60		11	24	sk932	7	10		9		sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Ltng-Nightmare		20	359	3	2	61	252	merca222	merca241	10000	1	4592	144	9184	288	350	35	310	40	328	24	692	30	5	22	28	4	103	4	swor	shie	ltng	10	sk461	7	100		9	24	sk563	7	25		5	16	sk936	7	10		2	8	sk916	7	60		11	24	sk932	7	10		9		sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Fire-Hell		21	359	3	3	61	252	merca222	merca241	21000	1	4128	144	8256	288	350	35	298	40	312	24	623	30	5	20	26	4	100	4	swor	shie	fire	10	sk920	7	80		8	24	sk924	7	10		3		sk468	7	30		5	0	sk119	7	60		15	24	sk928	7	20		21	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Cold-Hell		22	359	3	3	61	252	merca222	merca241	27000	1	4128	144	8256	288	350	35	298	40	312	24	623	30	5	20	26	4	100	4	swor	shie	cold	10	sk451	7	80		9	24	sk914	7	45		5	16	sk539	7	10		3	0	sk917	7	60		16	24	sk648	7	5		4	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Ltng-Hell		23	359	3	3	61	252	merca222	merca241	21000	1	4128	144	8256	288	350	35	298	40	312	24	623	30	5	20	27	4	100	4	swor	shie	ltng	10	sk461	7	100		9	24	sk563	7	25		5	16	sk936	7	10		2	8	sk916	7	60		11	24	sk932	7	10		9		sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	1	1152	64	2304	128	350	35	148	40	160	24	15	12		1	7	4	25	7	swor	shie	fire	10	sk920	7	80		8	24	sk924	7	10		3		sk468	7	30		5	0	sk119	7	60		15	24	sk928	7	20		21	16	sk909	7	1000		1		2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	1000	1	3360	136	6720	272	350	35	276	40	296	24	423	24	3	18	24	4	85	7	swor	shie	fire	10	sk920	7	80		8	24	sk924	7	10		3		sk468	7	30		5	0	sk119	7	60		15	24	sk928	7	20		21	16	sk909	7	1000		1		2	2	2	1
