skill	Id	charclass	skilldesc	* Laz / status	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	*Manaat30	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
sk11	11		sd11		4										ml40	1																																																														so0	so0			so0	so0	so0		so0		so0				11					ml40													1	4		rng		miss										A1	A1	xx				1													1						so0			6	20													1		1				2	3	224	2	8,8125	1																															12	damage synergy	1	10	9						7	128														cold	6	4	16	16	16	16	8	4	17	17	17	17	skill('sk0'.blvl)*par8	100	30	30	30			6	384	3000
sk12	12		sd12		4	8										1		ml213	ml214																																																											so0	so0			so0	so0	so0		so0		so0				11	17					ml213	ml214											1	7		rng		miss										A1	A1	xx				1													1						so0			6	20					sk6								1		1				2	6	32	2	22,5	1										min(24,ln12)	# missiles	par3	activation frame	2	triggered		2	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.											1								8	96																																		6	384	3000
sk13	13					28												ml2731	ml2731	ml2731																																																										so0	so0			so0	so0	so0		so0		so0	ol49				28					ml2731					z offset							1	2		none												SC	SC	xx									1								1						so0	ol49		1	99																							5	1																																	1								4		50000						50000							mag	50000						50000															
sk14	14		sd14		6	2																																																																								so0	so0			so0	so0	so0		so0		so0																						1	4		h2h		spea										A1	A1	xx				1		1	1								1		1						so0			6	20					sk10								1						2	4	64	2	7,625	1																															10	damage synergy	1	20	12						8	128														ltng	1						16	18	72	72	72	72	(((skill('sk0'.blvl)+skill('sk0'.blvl))+skill('sk0'.blvl))+skill('sk0'.blvl))*par8							6	384	3000
sk15	15		sd680		22	27									ml2479																																																														1	so2291	so0			so0	so0	so0		so0		so0	ol191			5					ml2479											1		1			none		spea	nagi									A1	A1	xx				1	4	1		1									1		1	2			so0			1	99								1					1							7	50		100	1																																	1								8	96														mag	1	1	1	1	1	1	1	1	1	1	1	1	50*stat('is2'.base)							30		
sk16	16		sd16		4										ml41	1																																																														so0	so0			so0	so0	so0		so0		so0				11					ml41													1	5		rng		miss										A1	A1	xx				1													1						so0			12	20					sk7	sk12							1		1				2	5	80	2	17,25	1																															12	damage synergy	1	20	9						8	128														fire	2	5	12	12	12	12	6	5	14	14	14	14	skill('sk7'.blvl)*par8							12	512	8000
sk17	17		sd633			28												ml1277	ml1277	ml1277																																																										so0	so0			so0	so0	so0		so0		so0					28					ml1277												1	4		rng		xbow										A1	A1	xx					4				1								1						so0			24	99																				7	40		20	1																																	1								8	64														mag	4	4	4	4	4	4	4	4	4	4	4	4	10*ulvl									
sk18	18		sd634		3	4									ml1850																																																														1	so2444	so0			so0	so0	so0		so0		so0	ol191			3	83				ml1850													1	4		rng		scyh	knif	scep								A2	A2	xx				1		1						1					1						so2444	ol191		1	99								1					1							7	200		100	1																	10	stun length		stun length per level													1								8	96																																				
sk19	19		sd656		6	11												ml1140	ml1140	ml1140																																																										so0	so0			so0	so0	so0		so0		so0					19					ml1140	ml1140	ml1140										1	5		h2h		mele										A1	A1	A1				1		1	1								1		1						so0			1	99								1					1							7	18	3	52,5	1					1					1	proc ?												1	synergy									1								1															pois	40	8	4	4	4	4	50	10	5	5	5	5	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100	75	25	25	25	stat('is431'.accr)				
sk20	20		sd657		6	11												ml1138	ml1138	ml1138																																																										so0	so0			so0	so0	so0		so0		so0					19					ml1138	ml1138	ml1138										1	5		h2h		mele										A1	A1	A1				1		1	1								1		1						so0			1	99								1					1							7	18	3	52,5	1					1					1	proc ?												1	synergy									1								4															fire	140	28	14	14	14	14	160	32	16	16	16	16	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100									
sk21	21		sd638												ml889																																																															so2363	so0			so0	so0	so0		so0		so0	ol330								ml889													1	2		none												SC	SC	xx																	1						so2363			1	99													1							7	80		40	1																																	1																							fire	16	4	2	2	2	2	48	12	6	6	6	6	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100									
sk22	22		sd632		15	31																	st216				is466	lvl-1	is338	10+skill('sk1269'.blvl)*2	is339	10+skill('sk1269'.blvl)*2																	is433	lvl	is7	ln12									ms1696	pt32	4+stat('is261'.accr)	NU	sk149	stat('is451'.accr)											1	so2334	so0			so0	so0	so0		so0		so0				20	31					ml115												1			none												SC	SC	xx								1		2	1						1						so2334			1	99								1											20	7	80	-4	-18	1										lvl*15	hp%	ulvl	pet lvl				195	life bonus	100	life bonus per level													1								8																																			1		
sk23	23		sd303												ml2166																																																															so0	so0			so0	so0	so0		so0		so0									ml2166													1			rng		miss										A1	A1	A1				1													1						so0			6	99													1							7	60		30	1										(2+lvl)+skill('sk385'.blvl)/par4	number of targets on last split												1	synergy (1/x)									1								8	96														mag	1						2															
sk24	24		sd644												ml2217																																																															so0	so0			so0	so0	so0		so0		so0									ml2217													1	4		rng		miss										A1	A1	xx				1													1						so0			65526	99												40	1		1					8	9001		9001	1																																	1								8	32																																				
sk25	25					8									ml2783			ml2733																																																												so0	so0			so0	so0	so0		so0		so0					17				ml2783	ml2733	ml2733											1	1		none												SC	SC	xx																	1						so0			1	99																							0	1										1	number of missiles	0										duration								speed % penalty min		speed % penalty max	1								4																																					
sk26	26					25																	st211		(500*(100+stat('is409'.accr)))/100		is67	50	is68	100	is66	25	is1	150																																												so0	so2483			so0	so0	so0		so0		so0																						1	4		none												SC	SC	xx												1	1				1			1			so2483			1	99																							0	1	1																																1								8																																					
sk27	27		sd531		38	76																	st174																																																						1	so0	so0			so0	so0	so0		so0		so0				31	45																	1	3		none		mele										SQ	A1	xx	10		1			1									1		1						so0			1	99								1					1							7	120		60											ln12	dmg%						100	dmg %	20	dmg % per level	5	attacks per tick											1	50	10						8	160																																		30		
sk28	28		sd643		10	14												ml2216	ml2216	ml2216						par1																																																				so0	so0			so0	so0	so0		so0		so0					22					ml2216	ml2216	ml2216										1	8		h2h		mele										A1	A1	xx				1		1	1								1		1						so0			65526	99								1					1							7	40		20	1										20	radius	par3	hits				20	radius of jump to next target			3	targets											1								8	160														mag	3	3	3	3	3	3	3	3	3	3	3	3	10*ulvl							30		
sk29	29		sd646			25																	st212		min(((220*lvl)*(par2-par1))/(100*(lvl+50))+par1,par3)		is34	50000	is35	50000																																																so0	so2664			so0	so0	so0		so0		so0	ol332																					1			none												SC	SC	xx												1	1				1			1			so2664			65526	99								1				par5								7	40		20	1	1																32	min duration	200	max duration	450	duration cap			750	timer min							1								8																																					
sk30	30		sd640			28												ml1148	ml1148	ml1148																																																										so2399	so0			so0	so0	so0		so0		so0	ol191				28					ml1148												1	4		none												SC	SC	xx					4				1								1						so2399			1	99																				7	64	8	148	1																																	1								4															fire	80	16	8	8	8	8	120	24	12	12	12	12	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100									
sk31	31					66																42371	st55	st55		ln12	is507	2500+lvl																																																		so0	so0			so0	so0	so0		so0		so0																						1	6		none														xx																							so0			1	99																							0	1	1	1		5													15	radius	2	radius per level													1								8																																					
sk32	32																																																																													so0	so0			so0	so0	so0		so0		so0																																																														so0																											0																											timer min																																																				
sk33	33					8												ml2503				3		st238	(par3*(100+stat('is409'.accr)))/100	ln56	is67	-75	is448	1																																																so0	so4877	1		so0	so0	so0		so0		so0					17					ml2503	ml2503											1	1		none												SC	SC	xx																	1						so0			1	99													1										0	1										2	number of missiles	0	activation frame																				1								8	64																																				
sk34	34		sd706			18																	st161		250		is329	((440*lvl)*(par6-par5))/(100*(lvl+50))+par5	is330	((440*lvl)*(par6-par5))/(100*(lvl+50))+par5	is331	((440*lvl)*(par6-par5))/(100*(lvl+50))+par5	is332	((440*lvl)*(par6-par5))/(100*(lvl+50))+par5	is377	((440*lvl)*(par6-par5))/(100*(lvl+50))+par5	is181	5																																								so2378	so0			so0	so0	so0		so0		so0																						1	4		none												SC	SC	xx																	1						so2378			65526	99								1					1							7	1332		666	1	1																				8	dmg % bonus min	458	dmg % bonus max	12	dmg % elem bonus min	112	dmg % elem bonus max	15000	duration	5000	duration per level	1								8																																		1			
sk35	35					8												ml2498					st216	st216	25		is39	-1000	is41	-1000	is43	-1000	is45	-1000	is37	-1000	is36	-1000																																								so0	so0			so0	so0	so0		so0		so0					17					ml2498	ml2498											1	2		none												SC	SC	xx				1													1						so0			1	99													1										0	1										1	number of missiles																						1								8																																					
sk36	36		sd36												ml58																																																															so2399	so0			so0	so0	so0		so0		so0	ol29								ml58													1	2		none												SC	SC	xx																	1						so2399	ol29		1	20													1						2	6	20		5	1																															16	damage synergy	1								7															fire	6	3	18	18	18	18	12	3	20	20	20	20	(skill('sk0'.blvl)+skill('sk0'.blvl))*par8							1	256	1000
sk37	37																																																																													so0	so0			so0	so0	so0		so0		so0																																																														so0																											0																																																																															
sk38	38		sd38			17												ml56	ml56	ml56																																																										so2398	so0			so0	so0	so0		so0		so0	ol34				23					ml56												1	1		none												SC	SC	xx																	1						so2398	ol34		1	20													1						2	3	192	8	13,25	1										min(24,ln12)	# bolts						3	Bolts to send out	1	Additional bolts per level											6	damage synergy	1								7															ltng	4	1	2	2	2	2	8	1	2	2	2	2	skill('sk49'.blvl)*par8							1	256	1000
sk39	39					8												ml2482																																																												so0	so0			so0	so0	so0		so0		so0					17					ml2482	ml2482	ml1422										1	1		none												SC	SC	xx				1													1						so2399	ol195		1	99													1										0	1										1	number of missiles																						1								8																																					
sk40	40					8												ml2526																																																												so2399	so0			so0	so0	so0		so0		so0					17					ml2526	ml2526	ml1422										1	1		none												A1	A1	xx				1													1						so2399			65526	99													1							8	50		0	1										1	number of missiles																						1								8															fire																						
sk41	41					8												ml2531																																																												so2333	so0			so0	so0	so0		so0		so0					17					ml2531	ml2531											1	1		none												SC	SC	xx				1													1						so2333			1	99													1										0	1										1	number of missiles																						1								8															fire																						
sk42	42		sd42			20																34691				ln12																																																				so2398	so0			so0	so0	so0		so0		so0	ol34																					1	10		none												SC	SC	xx					4												1						so2398	ol34		6	20																			2	7	36		18	1										par4	damage %	par3	min damage				5	Base radius of effect.	1	Level radius bonus.	1	Minimum Damage.	25	Percent Damage.									1								8															ltng																				6	384	3000
sk43	43					28												ml2492	ml2492	ml2492						ln12																																																				so2678	so0			so0	so0	so0		so0		so0	ol332				28					ml2492												1	6		none												SC	SC	xx					4				1								1						so0			1	99																							0	1																																	1								8																																			24		
sk44	44		sd44			22												ml119	ml119	ml119																																																										so2397	so0			so0	so0	so0		so0		so0	ol32				25					ml119												1	6		none												SC	SC	SC																	36	10					so2397	ol32		6	20																			2	6	72	2	32,5	1																	9	radius of freeze	3	additional radius/level													1								7															cold	10						12							200						6	384	3000
sk45	45					8												ml2201				278530		st19	ln12		is35	-100000	is34	-100000																																																so0	so0			so0	so0	so0		so0		so0					17				ml958	ml2201	ml2201											1	1		none												SC	SC	xx																	1						so2587			1	99													1										0	1										1	number of missiles	0	activation frame				50	duration		duration per earlier difficulty													1								8																																					
sk46	46					65																73731	st30	st30		30	is105	15	is361	25	is127	1+stat('is413'.accr)/4																	is25	10																												so0	so0			so0	so0	so0		so0		so0																						1	6		none														xx																							so0			1	99																							0	1	1	1		10													10	energy	10	energy per level	25	fcr											1								8																																					
sk47	47					18																	st143		15000		is74	((stat('is7'.accr)/3000)*(100+stat('is492'.accr)))/100	is362	stat('is413'.accr)	is25	stat('is467'.accr)	is361	stat('is414'.accr)	is127	stat('is430'.accr)																																										so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	SC				1													1						so0			65526	99																							0	1																																	1								8																																		1			
sk48	48		sd48			22												ml90	ml90	ml90																																																										so2398	so0			so0	so0	so0		so0		so0	ol34				25					ml90												1	2		none												SC	SC	xx																	36	10					so2398	ol34		12	20					sk42														2	6	120	2	44,5	1																	12	number of missiles	4	additional missiles per level													1								8															ltng	1	1	1	1	1	1	10	10	10	10	10	10	((100+20*ulvl)*(100+((260*(stat('is1'.accr)+10))/(stat('is1'.accr)+250)+skill('sk692'.pst2))))/100-100							12	512	8000
sk49	49		sd49												ml98																																																															so2398	so0			so0	so0	so0		so0		so0	ol34								ml98													1	6		none												SQ	SC	xx	12			1													1						so2398	ol34		12	20					sk38								1						2	5	128	2	23,25	1																	10	minimum damage	20	max damage	4	increase in dam/level (min & max)									8	damage synergy	1								8															ltng	1						40	8	28	28	28	28	((skill('sk38'.blvl)+skill('sk0'.blvl))+skill('sk48'.blvl))*par8							12	512	8000
sk50	50		sd430												ml1712																																																															so0	so0			so0	so0	so0		so0		so0									ml1712													1	2		rng												A1	A1	xx				1													1						so0			65526	99													1							7	640		320	1																	375	lockout length	-10	lockout length per level													1								8	192																																				
sk51	51		sd51			24												ml68	ml69																																																											so2399	so0			so0	so0	so0		so0		so0	ol30				26					ml68												1	4		none												SC	SC	SC					4				1								1						so2399	ol30		18	20												35							2	6	176	2	58,5	1																																	1								4															fire	15	9	21	21	21	21	20	9	21	21	21	21								18	640	16000
sk52	52		sd665			30																3		st235	(par3*(100+stat('is409'.accr)))/100	par1	is411	1	is415	(stat('is7'.accr)*100)/(400-ulvl*2)	is396	(50+ulvl*2)+stat('is395'.accr)																																														so2464	so0			so0	so0	so0		so0		so0				18	30					ml181		ml147										1	10		none												SC	SC	S2					4												1						so2464			65526	99								1															0	1																	12	radius			250	duration											1								8																																					
sk53	53					30																3		st101	250	2	is74	-100*lvl	is67	-15	is68	-25	is105	-25																																												so2464	so0			so0	so0	so0		so0		so0				18	30																	1	10		none												SC	SC	S2					4												1						so1722			1	99																							0	1																																	1								8																																			1		
sk54	54		sd54			27																																																																								so2441	so0			so0	so0	so0		so0		so0	ol45																			1		1			none												SC	SC	xx																	1		1	2			so2441	ol45		18	20																			2	7	96	-4	-10	1																																	1								8																																			18	640	16000
sk55	55					30																3		st162	(125*(100+stat('is409'.accr)))/100	10	is40	-1*ln12	is44	-1*ln12	is42	-1*ln12	is46	-1*ln12																																												so2464	so1077			so0	so0	so0		so0		so0				18	30																	1	10		none												SC	SC	S2					4												1						so1077			1	99																							0	1																	25	max resist penalty	5	max resist penalty per level													1								8																																			1		
sk56	56														ml2538		1																																																													so0	so0			so259	so0	so0		so0		so0									ml2538													1			none												SC	SC	xx																	1						so0		(ulvl-6<((blvl-1)-stat('is479'.accr))*6)?(stat('is5'.accr)+1):1	1	99													1										0	1																																	1								8																																					
sk57	57		sd647		15	31																	st216				is338	10+skill('sk1269'.blvl)*2	is339	10+skill('sk1269'.blvl)*2																			is433	lvl	is7	ln12*256									ms982	pt32	4+stat('is261'.accr)	NU	sk743	lvl	sk149	stat('is451'.accr)									1	so2334	so0			so0	so0	so0		so0		so0				20	31					ml115												1			none												SC	SC	xx								1		2	1												so2334			65526	99								1												7	36	6	105	1										lvl*15	hp%	ulvl	pet lvl				145	life bonus	50	life bonus per level	100	mana recovery bonus	100	mana recovery bonus per level									1								8																																			1		
sk58	58		sd648		15	31																	st216				is338	10+skill('sk1269'.blvl)*2	is339	10+skill('sk1269'.blvl)*2																			is433	lvl	is7	ln12*256									ms978	pt32	4+stat('is261'.accr)	NU	sk741	lvl	sk149	stat('is451'.accr)									1	so2334	so0			so0	so0	so0		so0		so0				20	31					ml115												1			none												SC	SC	xx								1		2	1												so2334			65526	99								1												7	288	36	666	1										lvl*15	hp%	ulvl	pet lvl				195	life bonus	50	life bonus per level	10	dmg % elem	5	dmg % elem per level									1								8																																			1		
sk59	59		sd292			8												ml2164																																																												so0	so0			so0	so0	so0		so0		so0					17					ml2164	ml2164											1	1		none												SC	SC	xx																	1						so0			1	99													1							7	80		40	1										ln56	number of missiles	0	activation frame				25	stun duration		stun duration per level	10	timer per level			2	missiles	1	missiles per level					1								8	192																																				
sk60	60		sd623		6	11												ml2043	ml2043	ml2043																																																										so0	so0			so0	so0	so0		so0		so0					19					ml2043	ml2043	ml2043										1	5		h2h		pham	pmac	pclb								A2	A2	A1				1		1	1								1		1						so0			1	99								1					1							7	200		100	1										1	spawn?																						1								8	64														mag	3	3	3	3	3	3	3	3	3	3	3	3	10*ulvl									
sk61	61					25																	st180		75		is338	150	is339	150	is340	150	is181	3																																												so0	so0			so0	so0	so0		so0		so0																						1	4		none												SC	SC	xx												1	1				1			1			so0			65526	99								1															0	1																																	1								8																																					
sk62	62	ass	sd678		17	27									ml1175																																																														1	so2245	so0			so0	so0	so0		so0		so0	ol50			21					ml1175											1		1			none		h2h	nagi									A1	A1	xx								1		1	1						1			3		1	so2245	ol50	(ulvl-24<((blvl-1)-stat('is479'.accr))*6)?(stat('is5'.accr)+1):1	24	99					sk348			1				700/(blvl+4)+10								7	240		120	1																																	1								8	96																																				
sk63	63																																																																													so0	so0			so0	so0	so0		so0		so0																																																														so0																											0												number of missiles		activation frame																	duration																																																
sk64	64		sd64												ml260																																																															so2397	so0			so0	so0	so0		so0		so0	ol33				29					ml260												1	8		none												SC	SC	xx																	1						so2397	ol33		30	20												25	1						2	5	400	2	57,25	1																															2	damage synergy	1								7															cold	80	20	29	29	29	29	90	21	30	30	30	30	skill('sk0'.blvl)*par8	200	25	25	25			30	896	64000
sk65	65		sd661			9																	st20		((par7+skill('sk1254'.blvl)*5)*(100+stat('is409'.accr)))/100		is348	min(stat('is2'.accr)/50,75)	is86	(stat('is7'.accr)/20)/256																																																so0	so0		1	so0	so0	so0		so0		so0					39																	1	3		h2h	3	h2h					h2h					SQ	A1	xx	16			1		1	1								1		1						so0			65526	99								1					1										0											100	dmg %																		125	duration			1								8	128														mag																						
sk66	66		sd66			30																3		st9	200	4	is36	-25																																																		so2464	so0			so0	so0	so0		so0		so0				18	30																	1	10		none												SC	SC	S2					4												1						so0			1	99																							0	1																	3	radius	1	radius per level	200	duration	75	additional duration/level	100	% additional damage taken							1								8																																			1		
sk67	67																																																																													so0	so0			so0	so0	so0		so0		so0																																																														so0																											10																			duration				speeds % min		speeds % max		defense %		defense % per level		crushing %		crushing % per level																																														
sk68	68		sd532		38	76																	st174																																																						1	so0	so0			so0	so0	so0		so0		so0				31	45																	1	3		none	3	h2h					h2h					SQ	A1	xx	10		1			1									1		1						so0			1	99								1					1							7	30		15											ln12	dmg%						75	dmg %	15	dmg % per level	5	attacks per tick											1	100	25						8	160																																		30		
sk69	69					30																3		st184	(200*(100+stat('is409'.accr)))/100	4	is67	-33	is68	-33	is105	-33																																														so2464	so0			so0	so0	so0		so0		so0				18	30																	1	10		none												SC	SC	S2					4												1						so0			1	99																							0	1																																	1								8																																			1		
