Id	Height	OverlayHeight	pixHeight	SizeX	SizeY	spawnCol	MeleeRng	BaseW	HitClass	HDv	TRv	LGv	Rav	Lav	RHv	LHv	SHv	S1v	S2v	S3v	S4v	S5v	S6v	S7v	S8v	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	mDT	mNU	mWL	mGH	mA1	mA2	mBL	mSC	mS1	mS2	mS3	mS4	mDD	mKB	mSQ	mRN	dDT	dNU	dWL	dGH	dA1	dA2	dBL	dSC	dS1	dS2	dS3	dS4	dDD	dKB	dSQ	dRN	A1mv	A2mv	SCmv	S1mv	S2mv	S3mv	S4mv	noGfxHitTest	htTop	htLeft	htWidth	htHeight	restore	automapCel	noMap	noOvly	isSel	alSel	noSel	shiftSel	corpseSel	isAtt	revive	critter	small	large	soft	inert	objCol	deadCol	unflatDead	Shadow	noUniqueShift	compositeDeath	localBlood	Bleed	Light	light-r	light-g	light-b	Heart	BodyPart	InfernoLen	InfernoAnim	InfernoRollback	ResurrectMode	ResurrectSkill	EOL
ms48	3	3	96	3	3			hth 	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx 	xxx 	1			NU		0
ms49	3	3	96	3	3			hth 	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx 	xxx 	1			NU		0
ms50	3	3	96	3	3			hth 	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx 	xxx 	1			NU		0
ms51	3	3	96	3	3			hth 	3		lit																1														1	2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx 	xxx 	1			NU		0
ms52	3	3	96	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx 	xxx 	1			NU		0
ms53	3	2	96	2	2			2hs 	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms54	3	2	96	2	2			2hs 	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms55	3	2	96	2	2			2hs 	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms56	3	2	96	2	2			2hs 	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms57	3	2	96	2	2			2hs 	3		lit				"btx,hal,lax,mau,scy,whm"												1				1										1	3	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms58	1	2	64	2	2			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx 	xxx 	1			NU		0
ms59	1	2	64	2	2			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx 	xxx 	1			NU		0
ms60	1	2	64	2	2			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx 	xxx 	1			NU		0
ms61	1	2	64	2	2			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx 	xxx 	1			NU		0
ms62	1	2	64	2	2			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1	5	230	168	255	xxx 	xxx 	1			NU		0
ms63	1	1	48	2	2			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms64	1	1	48	2	2			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms65	1	1	48	2	2			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms66	1	1	48	2	2			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms67	1	1	48	2	2			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms68	1	1	48	3	3			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx 	xxx 	1			NU		0
ms69	1	1	48	3	3			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx 	xxx 	1			NU		0
ms70	1	1	48	3	3			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx 	xxx 	1			NU		0
ms71	1	1	48	3	3			hth 	3		lit							med									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx 	xxx 	1			NU		0
ms72	1	1	48	3	3			hth 	3		lit							med									1							1								2	1	1	1	1	1	1			1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1						255	255	255	xxx 	xxx 	1			NU		0
ms73	3	2	80	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms74	3	2	80	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms75	3	2	80	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms76	3	2	80	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms77	3	2	80	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			1	1		255	255	255	xxx 	xxx 	1			NU		0
ms78	3	1	96	2	2			hth 	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms79	3	1	96	2	2			hth 	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms80	3	1	96	2	2			hth 	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms81	3	1	96	2	2			hth 	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms82	3	1	96	2	2			hth 	12		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1					1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms83	3	2	96	2	2			hth 	3	"lit,bab,fan,pha,pon"	"lit,med,hvy"		"lit,med,hvy"	"lit,med,hvy"		whp	buc	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	bld				1	1		1	1		1	1	1	1	1	1	1				11	1	1	1	1	1		1						1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	1	1		255	255	255	xxx 	xxx 	1			NU		0
