Name	Rune Name	complete	* Laz / status	* Laz / level	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Araboth	Araboth	1		120		xbow									Thai	r45						pr29		301	350	pr28		301	400	pr204	sk636	1	9	pr99		101	150	pr190		31	50	pr73		2	2	pr53		41	50	0
Kingsblood2	Kingsblood2	1		45		knif						tkni			Vex	r26						pr191		10	10	pr29		201	250	pr27		50	50	pr190		31	40	pr104		1	1	pr73		2	2	pr66		6	12	0
Endor	Endor	1		65		scyh									Jah	r31						pr29		126	175	pr28		101	200	pr126	sk387	50	17	pr126	sk330	5	19	pr185		31	40	pr186		31	40	pr204	sk673	1	4	0
Urada	Urada	1		110		swor									Rha	r46						pr0		811	811	pr29		251	300	pr117	sk1092	25	25	pr135		1	1101	pr190		1	11	pr57		30	30	pr108		11	11	0
Sabertooth	Sabertooth	1		115		axe									Nih	r48						pr29		251	300	pr204	sk689	1	9	pr7		75	75	pr66		9	17	pr221		15	20	pr296		100	100	pr321	sk64	64	64	0
Seed of Conflict	Seed of Conflict	1		115		scyh									Lai	r49						pr29		251	300	pr28		201	250	pr222		20	20	pr126	sk712	10	9	pr192		101	150	pr110		101	150	pr69		2	4	0
Myrmidon	Myrmidon	1		57		spea									Sur	r29						pr218		20	20	pr29		151	200	pr145	sk96	96	96	pr216		20	20	pr204	sk666	1	4	pr222		21	40	pr75		15	15	0
Demhe	Demhe	1		69		mace						hamm			Zod	r33						pr480		-5	-5	pr29		301	350	pr28		151	200	pr126	sk398	25	50	pr331		21	25	pr327		101	150	pr220		125	125	0
Calypso	Calypso	1		81		hamm									Ix	r37						pr57		30	30	pr29		251	300	pr197	sk702	33	21	pr238		21	25	pr126	sk459	5	23	pr137	sk75	1500	2000	pr140		75	150	0
Pax Mystica	Pax Mystica	1		13		staf									Nef	r04						pr262		-15	-15	pr204	sk346	1	1	pr41		11	15	pr104		1	1	pr59		21	25									0
Hadad	Hadad	1		25		staf									Amn	r11						pr212		-25	-25	pr128	sk669	5	13	pr104		2	2	pr249	sk16	16	16	pr208		11	15	pr204	sk680	1	4					0
Summanus	Summanus	1		41		staf									Fal	r19						pr8		50	50	pr10		25	25	pr104		2	2	pr126	sk999	5	17	pr29		101	150	pr28		101	150	pr57		40	40	0
Akhenaten	Akhenaten	1		57		staf									Ohm	r27						pr218		15	15	pr104		3	4	pr87		20	20	pr183		41	50	pr186		41	50	pr329		21	25	pr341		50	50	0
Aes Dana	Aes Dana	1		78		staf									Kur	r36						pr81		15	15	pr78		45	45	pr121		5	7	pr269		41	50	pr342		1	1	pr12		40	40	pr300		50	50	0
Elverfolk	Elverfolk	1		106		staf									Yul	r44						pr269		-10	-10	pr291		51	100	pr104		6	8	pr309		41	60	pr41		31	50	pr1		750	750	pr217		21	30	0
Erilaz	Erilaz	1		120		staf									Taha	r51						pr0		1000	1000	pr222		41	50	pr70		6	8	pr275		41	60	pr75		-20	-20	pr81		40	40	pr87		60	60	0
Prophecy	Prophecy	1		15		scep									Ith	r06						pr29		16	45	pr31		21	40	pr35		21	40	pr226		21	25	pr225	sk125	21	25	pr104		1	1	pr28		11	15	0
Bane	Bane	1		37		scep									Lum	r17						pr29		101	150	pr126	sk531	5	7	pr96		31	50	pr28		31	50	pr57		20	20	pr190		21	25	pr153	sk4	4	4	0
Judas	Judas	1		47		scep									Um	r22						pr217		5	5	pr196	sk11	300	300	pr256		1	1	pr75		-66	-66	pr58		333	333	pr59		66	66	pr117	sk811	21	25	0
Path	Path	1		63		scep									Ber	r30						pr67		2	3	pr128	sk699	15	18	pr183		31	40	pr206		31	40	pr75		-20	-20	pr191		11	15	pr294		11	15	0
Gabriel	Gabriel	1		90		scep									Ath	r40						pr258		30	30	pr29		201	250	pr126	sk579	25	22	pr184		31	40	pr28		201	300	pr68		3	5	pr336		100	100	0
Durga	Durga	1		115		scep									Lai	r49						pr67		3	4	pr269		100	100	pr183		41	50	pr87		40	40	pr192		51	100	pr231		21	25	pr209		11	15	0
Galdr	Galdr	1		120		scep									Taha	r51						pr204	sk1193	11	19	pr343		1	1	pr205	sk126	1	1	pr334		25	25	pr68		3	5	pr335		6	25	pr16		1	1	0
Aegina	Aegina	1		25		aspe									Amn	r11						pr212		-25	-25	pr29		51	100	pr137	sk25	1	100	pr204	sk571	1	4	pr65		31	40	pr246		21	25	pr126	sk702	5	3	0
Sankara	Sankara	1		72		aspe									Sha	r34						pr57		30	30	pr29		151	200	pr28		101	200	pr222		31	50	pr192		101	150	pr197	sk814	5	9	pr126	sk330	5	58	0
Rusalka	Rusalka	1		110		aspe									Rha	r46						pr29		301	350	pr27		301	500	pr126	sk1002	50	16	pr204	sk405	1	12	pr197	sk387	50	57	pr344		61	80	pr190		51	100	0
Evanescence	Evanescence	1		120		aspe									Taha	r51						pr67		2	4	pr29		251	300	pr28		361	560	pr337		100	100	pr204	sk464	2	23	pr4		21	25	pr356		250	250	0
Scar	Scar	1		35		ajav									Io	r16						pr29		101	150	pr197	sk313	100	16	pr108		11	15	pr134		50	150	pr123	sk324	3	4	pr107		21	40	pr8		15	15	0
Dragonfly	Dragonfly	1		57		ajav									Vex	r26						pr29		151	200	pr204	sk693	1	6	pr66		9	12	pr114		11	15	pr57		20	20	pr134		150	250	pr78		40	40	0
Trishula	Trishula	1		72		ajav									Sha	r34						pr29		151	200	pr187	sk125	500	1000	pr243		21	40	pr204	sk357	6	12	pr204	sk358	6	12	pr78		15	15	pr320		31	50	0
Stalactite	Stalactite	1		120		ajav									Ghal	r52						pr246		100	100	pr29		251	300	pr137	sk50	500	1000	pr197	sk708	50	44	pr117	sk1077	25	25	pr49		11	15	pr173		41	50	0
Corsair	Corsair	1		33		abow									Hel	r15						pr206		-5	-5	pr204	sk635	1	4	pr29		51	100	pr58		101	200	pr59		31	40	pr57		20	20	pr216		11	15	0
IceBreaker2	IceBreaker2	1		61		abow									Sur	r29						pr239		175	175	pr29		151	200	pr108		11	20	pr28		101	150	pr115		1	1	pr197	sk453	50	23	pr35		51	70	0
Colliding Worlds	Colliding Worlds	1		102		abow									No	r43						pr84		-15	-15	pr204	sk384	1	6	pr29		201	250	pr28		151	200	pr7		41	50	pr8		41	50	pr182	sk397	10	5	0
Manta	Manta	1		120		abow									Taha	r51						pr28		361	460	pr255		1	1	pr29		301	350	pr117	sk799	21	25	pr66		16	21	pr57		60	60	pr197	sk999	5	18	0
Shedim	Shedim	1		11		h2h									Eld	r02						pr96		25	25	pr29		41	80	pr174		11	15	pr138	sk250	256	512	pr88		11	20	pr110		11	15	pr99		50	50	0
Fiend	Fiend	1		37		h2h									Lum	r17						pr126	sk699	25	5	pr29		101	150	pr134		200	250	pr57		25	25	pr59		21	40	pr204	sk833	1	7	pr204	sk824	1	7	0
Frequency	Frequency	1		59		h2h									Ohm	r27						pr216		5	5	pr29		151	200	pr126	sk579	10	17	pr33		31	60	pr127	sk540	25	7	pr220		125	125	pr135		1	1000	0
Choronzon	Choronzon	1		72		h2h									Sha	r34						pr29		201	250	pr126	sk459	20	24	pr173		31	50	pr204	sk460	1	7	pr269		21	40	pr58		333	333	pr214		333	333	0
Anarchy	Anarchy	1		110		h2h									Rha	r46						pr0		-200	-200	pr87		40	40	pr183		31	50	pr184		31	50	pr122		2	4	pr110		51	60	pr227		25	25	0
Hail	Hail	1		115		h2h									Nih	r48						pr29		251	300	pr197	sk595	50	29	pr28		301	400	pr57		40	40	pr137	sk25	500	1500	pr122		2	2					0
Nahemah	Nahemah	1		120		h2h									Ghal	r52						pr291		-15	-15	pr117	sk750	50	50	pr29		301	350	pr204	sk569	16	19	pr204	sk469	16	19	pr28		401	500	pr137	sk50	1000	2000	0
Khattak	Khattak	1		19		nagi									Ral	r08						pr184		5	5	pr29		61	80	pr57		20	20	pr78		40	40	pr266		10	10	pr81		40	40	pr221		11	20	0
Hieros Gamos	Hieros Gamos	1		57		nagi									Rha	r46						pr216		21	25	pr204	sk323	1	6	pr218		21	25	pr29		251	300	pr57		40	40	pr204	sk76	1	9	pr197	sk450	2	11	0
Lataif-as-Sitta	Lataif-as-Sitta	1		120		nagi									Ghal	r52						pr29		301	350	pr28		401	600	pr337		50	50	pr122		6	6	pr204	sk447	11	16	pr98		200	200	pr204	sk455	11	16	0
Ram	Ram	1		23		bswd	baxe								Thul	r10						pr185		-5	-5	pr29		51	100	pr204	sk643	1	4	pr215		11	15	pr71		1	1	pr7		16	20	pr220		25	25	0
Essus	Essus	1		47		bswd	baxe								Um	r22						pr217		-5	-5	pr29		51	100	pr28		21	40	pr204	sk688	1	9	pr91		2	4	pr14		11	15					0
Thunderbird	Thunderbird	1		67		bswd	baxe								Cham	r32						pr126	sk807	25	17	pr29		151	200	pr126	sk680	10	13	pr184		31	40	pr172		11	20	pr75		-10	-10	pr33		50	50	0
Savitr	Savitr	1		81		bswd	baxe								Ix	r37						pr87		-15	-15	pr29		201	250	pr73		4	4	pr126	sk779	10	14	pr126	sk515	10	21	pr108		6	10	pr71		2	4	0
Khan	Khan	1		102		bswd	baxe								No	r43						pr84		-20	-20	pr29		201	250	pr145	sk96	96	96	pr269		41	50	pr289		2	2	pr222		31	50	pr219		20	20	0
Lahmu	Lahmu	1		110		bswd	baxe								Lai	r49						pr174		41	50	pr29		251	300	pr28		301	400	pr181		1	1	pr324		14	18	pr7		100	100	pr9		100	100	0
Kahless	Kahless	1		120		bswd	baxe								Taha	r51						pr29		301	350	pr28		461	560	pr126	sk518	50	28	pr183		21	40	pr134		1600	2200	pr57		60	60	pr117	1863	3	3	0
Peacock	Peacock	1		29		dbow									Shael	r13						pr7		-10	-10	pr29		51	100	pr187	sk50	25	50	pr242		25	25	pr114		10	10									0
Lynx	Lynx	1		57		dbow									Ohm	r27						pr218		-5	-5	pr29		151	200	pr197	sk510	2	8	pr337		20	20	pr28		101	125	pr215		25	25	pr216		25	25	0
Sylvanshine	Sylvanshine	1		69		dbow									Zod	r33						pr480		-5	-5	pr29		251	300	pr28		401	500	pr8		50	50	pr65		21	25	pr197	sk701	25	28	pr137	sk125	500	1000	0
Cernunnos	Cernunnos	1		106		dbow									Yul	r44						pr269		31	40	pr29		251	300	pr117	sk809	21	40	pr28		301	400	pr127	sk492	25	5	pr192		51	75	pr2		205	205	0
Raudna	Raudna	1		120		dbow									Taha	r51						pr29		301	350	pr28		261	360	pr127	sk492	25	7	pr197	sk707	50	56	pr121		3	5	pr108		33	33	pr75		-20	-20	0
Ocean	Ocean	1		15		dstf									Eth	r05						pr128	sk702	10	4	pr121		1	1	pr185		11	15	pr62		31	50	pr59		11	11	pr190		6	10	pr198	sk474	100	29	0
Samhain	Samhain	1		27		dstf									Sol	r12						pr186		16	20	pr183		16	20	pr121		2	2	pr192		11	20	pr87		40	40	pr53		21	25					0
Augur	Augur	1		43		dstf									Lem	r20						pr191		3	3	pr204	sk569	1	7	pr204	sk570	1	7	pr121		2	4	pr219		16	20	pr59		31	50	pr141	sk320	320	320	0
Lincos	Lincos	1		59		dstf									Sur	r29						pr239		75	75	pr121		3	6	pr204	sk473	21	24	pr345		20	20	pr62		21	40	pr42		5	5	pr217		21	30	0
Laadan	Laadan	1		81		dstf									Ix	r37						pr87		85	85	pr121		4	7	pr204	sk474	24	29	pr11		500	500	pr208		16	20	pr73		2	2	pr75		-10	-10	0
Lojban	Lojban	1		110		dstf									Thai	r45						pr41		26	35	pr121		6	8	pr269		51	60	pr186		81	100	pr174		11	20	pr302		21	50	pr204	sk469	9	14	0
Loxian	Loxian	1		120		dstf									Ghal	r52						pr291		136	185	pr266		11	15	pr121		8	10	pr207		81	100	pr222		51	75	pr78		40	40	pr87		20	20	0
Black Cat	Black Cat	1		11		nscy									Eld	r02						pr96		75	75	pr13		7	7	pr29		51	100	pr59		-13	-13	pr126	sk530	10	2	pr197	sk263	50	28	pr108		11	15	0
Mantra	Mantra	1		29		nscy									Shael	r13						pr8		15	15	pr7		15	15	pr29		51	100	pr138	sk250	512	1024	pr174		31	40	pr88		31	40	pr220		50	50	0
Chthon	Chthon	1		61		nscy									Sur	r29						pr239		-25	-25	pr223		100	100	pr197	sk500	25	10	pr29		151	200	pr28		200	200	pr107		21	40	pr197	sk612	25	5	0
Inti	Inti	1		94		nscy									Kra	r41						pr292		10	10	pr204	sk335	25	27	pr204	sk322	25	27	pr57		70	70	pr104		2	4	pr134		750	1500	pr29		201	250	0
Leviathan	Leviathan	1		120		nscy									Taha	r51						pr28		361	460	pr29		301	350	pr114		21	25	pr204	sk670	8	27	pr4		11	15	pr215		31	50	pr216		31	50	0
Loa	Loa	1		15		nknf									Eth	r05						pr29		51	100	pr65		21	40	pr117	sk765	11	15	pr73		1	1													0
Jinx	Jinx	1		29		nknf									Shael	r13						pr29		51	100	pr8		20	20	pr191		3	5	pr127	sk346	25	5													0
Misery	Misery	1		49		nknf									Mal	r23						pr29		101	150	pr326		11	15	pr114		11	15	pr204	sk331	1	6	pr138	sk500	1280	2560	pr69		1	2	pr13		250	250	0
Seid	Seid	1		78		nknf									Kur	r36						pr29		251	300	pr69		1	2	pr204	sk96	1	4	pr231		11	15	pr57		20	20	pr12		21	25					0
Roc	Roc	1		120		nknf									Taha	r51						pr28		261	360	pr29		301	350	pr204	sk353	3	12	pr216		31	40	pr215		21	25	pr90		32	32	pr117	sk725	21	25	0
Deep Water	Deep Water	1		15		nstf									Ith	r06						pr69		1	1	pr78		-10	-10	pr207		11	20	pr41		11	15	pr204	sk706	1	4									0
Ladon	Ladon	1		53		nstf									Gul	r25						pr35		-40	-40	pr31		31	50	pr69		3	5	pr204	sk564	1	12	pr183		31	40	pr204	sk453	1	12	pr3		11	15	0
Hali	Hali	1		84		nstf									Thur	r38						pr302		1	50	pr204	sk1022	1	14	pr269		31	50	pr69		4	6	pr41		31	50	pr13		-100	-100	pr209		11	20	0
Dagda	Dagda	1		115		nstf									Lai	r49						pr69		5	7	pr204	sk363	4	19	pr204	sk364	4	19	pr190		21	40	pr87		15	15	pr227		15	15	pr58		150	150	0
Santa Compana	Santa Compana	1		120		nstf									Ghal	r52						pr339		50	50	pr204	sk445	1	3	pr204	sk1002	22	24	pr285		11	20	pr222		41	50	pr267		51	60	pr69		8	10	0
Koan	Koan	1		21		wand									Ort	r09						pr184		-5	-5	pr62		31	40	pr58		-20	-20	pr69		1	1	pr266		10	10									0
Ghoul	Ghoul	1		43		wand									Lem	r20						pr191		3	3	pr237		3	4	pr185		21	25	pr69		1	2	pr204	sk567	1	5									0
Dead Ringer	Dead Ringer	1		87		wand									Nas	r39						pr267		1	10	pr205	sk157	1	1	pr274		1	1	pr204	sk396	9	12	pr204	sk120	4	6	pr104		1	2	pr14		11	20	0
Ngozi	Ngozi	1		110		wand									Kra	r41						pr292		-5	-5	pr204	sk22	17	26	pr204	sk118	8	9	pr207		31	40	pr87		10	10	pr204	sk388	17	26	pr209		11	15	0
Semhazai	Semhazai	1		120		wand									Taha	r51						pr291		26	45	pr285		5	5	pr267		-25	-25	pr69		2	4	pr204	sk459	6	19	pr87		15	15	pr204	sk562	8	22	0
Genie	Genie	1		19		nxbw									Ral	r08						pr183		-5	-5	pr204	sk301	1	1	pr29		51	100	pr114		11	15	pr127	sk1002	5	7	pr69		1	1	pr117	sk915	11	15	0
Atlantis	Atlantis	1		41		nxbw									Fal	r19						pr8		30	30	pr197	sk473	25	6	pr7		20	20	pr29		101	150	pr12		21	25	pr223		11	15	pr58		101	150	0
Aether	Aether	1		65		nxbw									Jah	r31						pr29		126	175	pr65		11	14	pr266		10	10	pr92		1	1	pr215		21	25	pr197	sk563	25	17					0
Crucible	Crucible	1		110		nxbw									Rha	r46						pr29		201	250	pr197	sk389	25	30	pr134		500	1500	pr99		150	150	pr182	sk766	20	25	pr31		31	60	pr128	sk564	5	19	0
Kronos	Kronos	1		120		nxbw									Taha	r51						pr29		301	350	pr197	sk542	100	17	pr197	sk683	50	15	pr28		511	660	pr215		31	40	pr472		21	25	pr204	sk619	3	7	0
Jihad	Jihad	1		15		pclb	pmac	pham							Eth	r05						pr28		1	10	pr29		41	80	pr221		11	20	pr98		200	200	pr197	sk30	15	11	pr68		1	1	pr57		15	15	0
Intifada	Intifada	1		33		pclb	pmac	pham							Hel	r15						pr206		-5	-5	pr29		151	200	pr126	sk595	25	8	pr293		-100	-100	pr108		21	25	pr269		31	50	pr267		-21	-25	0
Lammasu	Lammasu	1		53		pclb	pmac	pham							Gul	r25						pr35		1	10	pr220		125	125	pr207		21	30	pr114		25	25	pr57		40	40	pr68		1	2	pr292		25	25	0
Brahman	Brahman	1		75		pclb	pmac	pham							Nas	r39						pr29		251	300	pr319		2	4	pr204	sk370	1	4	pr28		201	350	pr0		1000	1000	pr81		100	100	pr204	sk359	1	6	0
Oriflamme	Oriflamme	1		120		pclb	pmac	pham							Taha	r51						pr28		361	560	pr29		301	350	pr303	sk640	640	640	pr304	sk640	640	640	pr204	sk637	25	27	pr183		61	80	pr57		50	50	0
Ensi	Ensi	1		27		pspe									Sol	r12						pr186		-5	-5	pr29		101	150	pr126	sk699	15	4	pr57		40	40	pr134		25	75	pr91		2	3					0
Nehushtan	Nehushtan	1		57		pspe									Ohm	r27						pr218		-15	-15	pr29		201	250	pr138	sk250	1024	3072	pr174		21	25	pr57		-10	-10	pr126	sk223	25	16	pr73		-2	-2	0
Taqiyya	Taqiyya	1		90		pspe									Ath	r40						pr81		60	60	pr29		251	300	pr140		150	350	pr221		50	50	pr258		50	50	pr126	sk153	50	21	pr126	sk154	50	21	0
Orisha	Orisha	1		115		pspe									Nih	r48						pr204	sk58	3	15	pr183		41	60	pr185		41	60	pr68		3	5	pr57		60	60	pr291		31	50	pr12		50	50	0
Rex Deus	Rex Deus	1		120		pspe									Ghal	r52						pr29		301	350	pr295		51	100	pr28		301	400	pr98		500	500	pr192		101	150	pr190		50	50					0
Circe	Circe	1		25		orb									Amn	r11						pr212		-25	-25	pr217		11	15	pr204	sk96	1	1	pr261		1	1	pr186		11	15	pr184		11	15					0
Ker	Ker	1		75		orb									Lem	r20						pr191		3	3	pr204	sk403	1	4	pr204	sk57	1	4	pr198	sk828	100	43	pr185		21	25	pr186		21	25	pr12		21	30	0
Kabbalah	Kabbalah	1		98		orb									Kur	r36						pr78		-15	-15	pr217		20	20	pr70		3	3	pr204	sk593	6	16	pr183		31	40	pr16		1	1	pr191		6	10	0
Hestia	Hestia	1		115		orb									On	r50						pr204	sk388	1	3	pr70		3	4	pr248	sk24	24	24	pr31		100	100	pr59		21	40	pr43		20	20	pr115		1	1	0
Kallisti	Kallisti	1		120		orb									Taha	r51						pr209		11	15	pr204	sk397	1	6	pr186		41	50	pr70		4	5	pr87		40	40	pr340	sk75	500	500	pr174		11	15	0
Inanna	Inanna	1		27		scrd									Sol	r12						pr186		-5	-5	pr29		41	80	pr41		21	25	pr114		25	25	pr221		11	20	pr356		41	50					0
Grace	Grace	1		78		scrd									Kur	r36						pr29		201	250	pr84		30	30	pr57		45	45	pr266		10	10	pr27		51	100	pr70		1	2	pr243		21	40	0
Khany	Khany	1		115		scrd									On	r50						pr29		201	250	pr145	sk64	64	64	pr126	sk347	5	29	pr207		31	40	pr204	sk353	8	17	pr70		1	2	pr258		50	50	0
Shaula	Shaula	1		120		scrd									Ghal	r52						pr291		35	35	pr126	sk473	15	29	pr140		150	250	pr12		50	50	pr114		33	33	pr29		251	300	pr117	1561	21	25	0
Rebel	Rebel	1		11		tors									El	r01						pr41		16	20	pr5		21	40	pr223		6	10	pr7		20	20	pr8		20	20	pr9		-10	-10	pr10		-10	-10	0
LumenArcana	Lumen Arcana	1		15		tors									Ith	r06						pr5		31	60	pr73		2	2	pr104		1	1	pr171		6	15	pr173		6	15	pr172		6	15	pr174		6	15	0
Celebration	Celebration	1		29		tors									Shael	r13						pr7		-10	-10	pr190		11	20	pr59		31	50	pr126	sk825	10	11	pr73		2	2	pr207		11	15	pr96		50	50	0
Thelema	Thelema	1		41		tors									Fal	r19						pr10		30	30	pr328		41	50	pr5		51	100	pr104		1	1	pr87		15	15	pr8		20	20	pr9		30	30	0
Cathedral	Cathedral	1		53		tors									Gul	r25						pr35		-30	-30	pr186		31	40	pr5		151	200	pr262		101	150	pr0		1311	1311	pr182	sk398	50	20	pr305	sk32	32	32	0
Mirage	Mirage	1		69		tors									Zod	r33						pr208		11	15	pr3		31	40	pr78		60	60	pr258		30	30	pr104		1	1	pr41		51	60	pr201		1	1	0
Dragonheart	Dragonheart	1		94		tors									Kra	r41						pr292		-5	-5	pr104		2	2	pr57		50	50	pr142	sk112	112	112	pr13		500	500	pr182	sk777	20	15					0
Erawan	Erawan	1		115		tors									Nih	r48						pr5		251	300	pr4		11	15	pr78		-10	-10	pr222		11	20	pr108		10	10	pr215		25	25	pr218		25	25	0
Unity	Unity	1		120		tors									Ghal	r52						pr291		20	20	pr243		75	75	pr244		50	50	pr8		-25	-25	pr104		1	1	pr41		51	60	pr5		251	300	0
Summit	Summit	1		11		helm									El	r01						pr73		-1	-1	pr58		151	200	pr75		-15	-15	pr193		6	10													0
Cannonball	Cannonball	1		19		helm									Ral	r08						pr183		1	5	pr78		40	40	pr63		101	150	pr108		5	5	pr126	sk496	1	6	pr182	sk564	5	5					0
Ra	Ra	1		37		helm									Lum	r17						pr104		1	1	pr78		-10	-10	pr58		51	100	pr209		11	15	pr171		11	20	pr174		11	20	pr87		25	25	0
Alchemy	Alchemy	1		55		helm									Vex	r26						pr53		21	25	pr204	sk672	1	4	pr53		21	25	pr5		101	150	pr84		25	25	pr57		25	25	pr267		21	30	0
Dreadlord	Dreadlord	1		75		helm									Lah	r35						pr302		41	50	pr269		41	50	pr204	sk694	1	6	pr285		2	4	pr108		5	5	pr5		201	250	pr126	sk443	25	22	0
Cauldron	Cauldron	1		106		helm									Yul	r44						pr269		-10	-10	pr126	sk468	20	11	pr104		1	1	pr138	sk125	1221	3663	pr5		201	250									0
Eidolon	Eidolon	1		120		helm									Taha	r51						pr28		80	80	pr5		251	300	pr104		1	2	pr222		21	30	pr73		4	4	pr41		31	40	pr219		20	20	0
Sphinx	Sphinx	1		25		circ									Amn	r11						pr212		25	25	pr0		101	150	pr190		11	15	pr67		1	1	pr73		4	4	pr58		101	125					0
Lily	Lily	1		65		circ									Jah	r31						pr5		6	25	pr53		21	30	pr192		11	20	pr182	sk397	20	5	pr218		11	15	pr104		1	2	pr326		1	1	0
Eulenspiegel	Eulenspiegel	1		84		circ									Thur	r38						pr302		-50	-50	pr347		20	20	pr128	sk54	15	1	pr291		31	50	pr104		2	2	pr217		21	25	pr216		21	25	0
Wintermute	Wintermute	1		120		circ									Qor	r53						pr75		-28	-28	pr222		21	30	pr104		2	2	pr207		31	40	pr11		750	750	pr204	sk706	1	9	pr41		31	40	0
Geas	Geas	1		13		shld									Nef	r04						pr262		41	50	pr221		11	15	pr5		21	40	pr41		15	15	pr39		-90	-90									0
Pharaoh	Pharaoh	1		27		shld									Sol	r12						pr186		6	10	pr104		1	1	pr7		11	15	pr9		11	15	pr75		-10	-10									0
Nomad	Nomad	1		43		shld									Lem	r20						pr191		4	8	pr116		40	40	pr5		101	150	pr0		163	163	pr126	sk469	5	44	pr84		40	40	pr58		101	150	0
Goddess	Goddess	1		63		shld									Ber	r30						pr221		45	45	pr115		1	1	pr0		-150	-150	pr104		2	2	pr75		-10	-10									0
