Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
sockStaf	100	1	1	1					11	402	pr388	25	25	25									1		staf							dstf	nstf				
sockStaf	100	1	1	1					12	403	pr388	25	25	25									1		staf							dstf	nstf				
sockStaf	100	1	1	1					13	404	pr388	25	25	25									1		staf							dstf	nstf				
sockStaf	100	1	1	1					14	405	pr388	25	25	25									1		staf							dstf	nstf				
sockStaf	100	1	1	1					15	406	pr388	25	25	25									1		staf							dstf	nstf				
sockDagg	100	1	1	1					10	401	pr388	51	51	51	pr133		1	1					1		knif							nknf	tkni				
sockDagg	100	1	1	1					9	402	pr388	51	51	51	pr133		1	2					1		knif							nknf	tkni				
sockDagg	100	1	1	1					8	403	pr388	51	51	51	pr133		1	3					1		knif							nknf	tkni				
sockDagg	100	1	1	1					7	404	pr388	51	51	51	pr133		1	4					1		knif							nknf	tkni				
sockDagg	100	1	1	1					6	405	pr388	51	51	51	pr133		1	5					1		knif							nknf	tkni				
sockDagg	100	1	1	1					5	406	pr388	51	51	51	pr133		1	6					1		knif							nknf	tkni				
sockDagg	100	1	1	1					10	401	pr388	51	51	51									1		knif							nknf	tkni				
sockDagg	100	1	1	1					11	402	pr388	51	51	51									1		knif							nknf	tkni				
sockDagg	100	1	1	1					12	403	pr388	51	51	51									1		knif							nknf	tkni				
sockDagg	100	1	1	1					13	404	pr388	51	51	51									1		knif							nknf	tkni				
sockDagg	100	1	1	1					14	405	pr388	51	51	51									1		knif							nknf	tkni				
sockDagg	100	1	1	1					15	406	pr388	51	51	51									1		knif							nknf	tkni				
sockHTH	100	1	1	1					10	401	pr388	76	76	76	pr133		1	1					1		h2h												
sockHTH	100	1	1	1					9	402	pr388	76	76	76	pr133		1	2					1		h2h												
sockHTH	100	1	1	1					8	403	pr388	76	76	76	pr133		1	3					1		h2h												
sockHTH	100	1	1	1					7	404	pr388	76	76	76	pr133		1	4					1		h2h												
sockHTH	100	1	1	1					6	405	pr388	76	76	76	pr133		1	5					1		h2h												
sockHTH	100	1	1	1					5	406	pr388	76	76	76	pr133		1	6					1		h2h												
sockHTH	100	1	1	1					10	401	pr388	76	76	76									1		h2h												
sockHTH	100	1	1	1					11	402	pr388	76	76	76									1		h2h												
sockHTH	100	1	1	1					12	403	pr388	76	76	76									1		h2h												
sockHTH	100	1	1	1					13	404	pr388	76	76	76									1		h2h												
sockHTH	100	1	1	1					14	405	pr388	76	76	76									1		h2h												
sockHTH	100	1	1	1					15	406	pr388	76	76	76									1		h2h												
sockWand	100	1	1	1					10	401	pr388	25	25	25	pr133		1	1					1		wand												
sockWand	100	1	1	1					9	402	pr388	25	25	25	pr133		1	2					1		wand												
sockWand	100	1	1	1					8	403	pr388	25	25	25	pr133		1	3					1		wand												
sockWand	100	1	1	1					7	404	pr388	25	25	25	pr133		1	4					1		wand												
sockWand	100	1	1	1					6	405	pr388	25	25	25	pr133		1	5					1		wand												
sockWand	100	1	1	1					5	406	pr388	25	25	25	pr133		1	6					1		wand												
sockWand	100	1	1	1					10	401	pr388	25	25	25									1		wand												
sockWand	100	1	1	1					11	402	pr388	25	25	25									1		wand												
sockWand	100	1	1	1					12	403	pr388	25	25	25									1		wand												
sockWand	100	1	1	1					13	404	pr388	25	25	25									1		wand												
sockWand	100	1	1	1					14	405	pr388	25	25	25									1		wand												
sockWand	100	1	1	1					15	406	pr388	25	25	25									1		wand												
sockSpea	100	1	1	1					10	401	pr388	76	76	76	pr133		1	1					1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					9	402	pr388	76	76	76	pr133		1	2					1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					8	403	pr388	76	76	76	pr133		1	3					1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					7	404	pr388	76	76	76	pr133		1	4					1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					6	405	pr388	76	76	76	pr133		1	5					1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					5	406	pr388	76	76	76	pr133		1	6					1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					10	401	pr388	76	76	76									1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					11	402	pr388	76	76	76									1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					12	403	pr388	76	76	76									1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					13	404	pr388	76	76	76									1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					14	405	pr388	76	76	76									1		spea							aspe	pspe	jave			
sockSpea	100	1	1	1					15	406	pr388	76	76	76									1		spea							aspe	pspe	jave			
sockOrb	100	1	1	1					10	401	pr388	51	51	51	pr133		1	1					1		orb												
sockOrb	100	1	1	1					9	402	pr388	51	51	51	pr133		1	2					1		orb												
sockOrb	100	1	1	1					8	403	pr388	51	51	51	pr133		1	3					1		orb												
sockOrb	100	1	1	1					7	404	pr388	51	51	51	pr133		1	4					1		orb												
sockOrb	100	1	1	1					6	405	pr388	51	51	51	pr133		1	5					1		orb												
sockOrb	100	1	1	1					5	406	pr388	51	51	51	pr133		1	6					1		orb												
sockOrb	100	1	1	1					10	401	pr388	51	51	51									1		orb												
sockOrb	100	1	1	1					11	402	pr388	51	51	51									1		orb												
sockOrb	100	1	1	1					12	403	pr388	51	51	51									1		orb												
sockOrb	100	1	1	1					13	404	pr388	51	51	51									1		orb												
sockOrb	100	1	1	1					14	405	pr388	51	51	51									1		orb												
sockOrb	100	1	1	1					15	406	pr388	51	51	51									1		orb												
sockMace	100	1	1	1					10	401	pr387	51	51	51	pr133		1	1					1		club	mace						pclb	pmac				
sockMace	100	1	1	1					9	402	pr387	51	51	51	pr133		1	2					1		club	mace						pclb	pmac				
sockMace	100	1	1	1					8	403	pr387	51	51	51	pr133		1	3					1		club	mace						pclb	pmac				
sockMace	100	1	1	1					7	404	pr387	51	51	51	pr133		1	4					1		club	mace						pclb	pmac				
sockMace	100	1	1	1					6	405	pr387	51	51	51	pr133		1	5					1		club	mace						pclb	pmac				
sockMace	100	1	1	1					5	406	pr387	51	51	51	pr133		1	6					1		club	mace						pclb	pmac				
sockMace	100	1	1	1					10	401	pr387	51	51	51									1		club	mace						pclb	pmac				
sockMace	100	1	1	1					11	402	pr387	51	51	51									1		club	mace						pclb	pmac				
sockMace	100	1	1	1					12	403	pr387	51	51	51									1		club	mace						pclb	pmac				
sockMace	100	1	1	1					13	404	pr387	51	51	51									1		club	mace						pclb	pmac				
sockMace	100	1	1	1					14	405	pr387	51	51	51									1		club	mace						pclb	pmac				
sockMace	100	1	1	1					15	406	pr387	51	51	51									1		club	mace						pclb	pmac				
sockBow	100	1	1	1					10	401	pr388	51	51	51	pr133		1	1					1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					9	402	pr388	51	51	51	pr133		1	2					1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					8	403	pr388	51	51	51	pr133		1	3					1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					7	404	pr388	51	51	51	pr133		1	4					1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					6	405	pr388	51	51	51	pr133		1	5					1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					5	406	pr388	51	51	51	pr133		1	6					1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					10	401	pr388	51	51	51									1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					11	402	pr388	51	51	51									1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					12	403	pr388	51	51	51									1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					13	404	pr388	51	51	51									1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					14	405	pr388	51	51	51									1		bow							xbow	dbow	abow			
sockBow	100	1	1	1					15	406	pr388	51	51	51									1		bow							xbow	dbow	abow			
sockDbow	100	1	1	1					10	401	pr387	76	76	76	pr133		1	1					1		dbow												
sockDbow	100	1	1	1					9	402	pr387	76	76	76	pr133		1	2					1		dbow												
sockDbow	100	1	1	1					8	403	pr387	76	76	76	pr133		1	3					1		dbow												
sockDbow	100	1	1	1					7	404	pr387	76	76	76	pr133		1	4					1		dbow												
sockDbow	100	1	1	1					6	405	pr387	76	76	76	pr133		1	5					1		dbow												
sockDbow	100	1	1	1					5	406	pr387	76	76	76	pr133		1	6					1		dbow												
sockDbow	100	1	1	1					10	401	pr387	76	76	76									1		dbow												
sockDbow	100	1	1	1					11	402	pr387	76	76	76									1		dbow												
sockDbow	100	1	1	1					12	403	pr387	76	76	76									1		dbow												
sockDbow	100	1	1	1					13	404	pr387	76	76	76									1		dbow												
sockDbow	100	1	1	1					14	405	pr387	76	76	76									1		dbow												
sockDbow	100	1	1	1					15	406	pr387	76	76	76									1		dbow												
sockXbow	100	1	1	1					10	401	pr387	51	51	51	pr133		1	1					1		xbow							nxbw					
sockXbow	100	1	1	1					9	402	pr387	51	51	51	pr133		1	2					1		xbow							nxbw					
sockXbow	100	1	1	1					8	403	pr387	51	51	51	pr133		1	3					1		xbow							nxbw					
sockXbow	100	1	1	1					7	404	pr387	51	51	51	pr133		1	4					1		xbow							nxbw					
sockXbow	100	1	1	1					6	405	pr387	51	51	51	pr133		1	5					1		xbow							nxbw					
sockXbow	100	1	1	1					5	406	pr387	51	51	51	pr133		1	6					1		xbow							nxbw					
sockXbow	100	1	1	1					10	401	pr387	51	51	51									1		xbow							nxbw					
sockXbow	100	1	1	1					11	402	pr387	51	51	51									1		xbow							nxbw					
sockXbow	100	1	1	1					12	403	pr387	51	51	51									1		xbow							nxbw					
sockXbow	100	1	1	1					13	404	pr387	51	51	51									1		xbow							nxbw					
sockXbow	100	1	1	1					14	405	pr387	51	51	51									1		xbow							nxbw					
sockXbow	100	1	1	1					15	406	pr387	51	51	51									1		xbow							nxbw					
sockCrsd	100	1	1	1					10	401	pr388	51	51	51	pr133		1	1					1		crsd							scrd					
sockCrsd	100	1	1	1					9	402	pr388	51	51	51	pr133		1	2					1		crsd							scrd					
sockCrsd	100	1	1	1					8	403	pr388	51	51	51	pr133		1	3					1		crsd							scrd					
sockCrsd	100	1	1	1					7	404	pr388	51	51	51	pr133		1	4					1		crsd							scrd					
sockCrsd	100	1	1	1					6	405	pr388	51	51	51	pr133		1	5					1		crsd							scrd					
sockCrsd	100	1	1	1					5	406	pr388	51	51	51	pr133		1	6					1		crsd							scrd					
sockCrsd	100	1	1	1					10	401	pr388	51	51	51									1		crsd							scrd					
sockCrsd	100	1	1	1					11	402	pr388	51	51	51									1		crsd							scrd					
sockCrsd	100	1	1	1					12	403	pr388	51	51	51									1		crsd							scrd					
sockCrsd	100	1	1	1					13	404	pr388	51	51	51									1		crsd							scrd					
sockCrsd	100	1	1	1					14	405	pr388	51	51	51									1		crsd							scrd					
sockCrsd	100	1	1	1					15	406	pr388	51	51	51									1		crsd							scrd					
sockNxbw	100	1	1	1					10	401	pr387	76	76	76	pr133		1	1					1		nxbw												
sockNxbw	100	1	1	1					9	402	pr387	76	76	76	pr133		1	2					1		nxbw												
sockNxbw	100	1	1	1					8	403	pr387	76	76	76	pr133		1	3					1		nxbw												
sockNxbw	100	1	1	1					7	404	pr387	76	76	76	pr133		1	4					1		nxbw												
sockNxbw	100	1	1	1					6	405	pr387	76	76	76	pr133		1	5					1		nxbw												
sockNxbw	100	1	1	1					5	406	pr387	76	76	76	pr133		1	6					1		nxbw												
sockNxbw	100	1	1	1					10	401	pr387	76	76	76									1		nxbw												
sockNxbw	100	1	1	1					11	402	pr387	76	76	76									1		nxbw												
sockNxbw	100	1	1	1					12	403	pr387	76	76	76									1		nxbw												
sockNxbw	100	1	1	1					13	404	pr387	76	76	76									1		nxbw												
sockNxbw	100	1	1	1					14	405	pr387	76	76	76									1		nxbw												
sockNxbw	100	1	1	1					15	406	pr387	76	76	76									1		nxbw												
sockScep	100	1	1	1					10	401	pr388	51	51	51	pr133		1	1					1		scep												
sockScep	100	1	1	1					9	402	pr388	51	51	51	pr133		1	2					1		scep												
sockScep	100	1	1	1					8	403	pr388	51	51	51	pr133		1	3					1		scep												
sockScep	100	1	1	1					7	404	pr388	51	51	51	pr133		1	4					1		scep												
sockScep	100	1	1	1					6	405	pr388	51	51	51	pr133		1	5					1		scep												
sockScep	100	1	1	1					5	406	pr388	51	51	51	pr133		1	6					1		scep												
sockScep	100	1	1	1					10	401	pr388	51	51	51									1		scep												
sockScep	100	1	1	1					11	402	pr388	51	51	51									1		scep												
sockScep	100	1	1	1					12	403	pr388	51	51	51									1		scep												
sockScep	100	1	1	1					13	404	pr388	51	51	51									1		scep												
sockScep	100	1	1	1					14	405	pr388	51	51	51									1		scep												
sockScep	100	1	1	1					15	406	pr388	51	51	51									1		scep												
sockHamm	100	1	1	1					10	401	pr387	76	76	76	pr133		1	1					1		hamm							pham	scep				
sockHamm	100	1	1	1					9	402	pr387	76	76	76	pr133		1	2					1		hamm							pham	scep				
sockHamm	100	1	1	1					8	403	pr387	76	76	76	pr133		1	3					1		hamm							pham	scep				
sockHamm	100	1	1	1					7	404	pr387	76	76	76	pr133		1	4					1		hamm							pham	scep				
sockHamm	100	1	1	1					6	405	pr387	76	76	76	pr133		1	5					1		hamm							pham	scep				
sockHamm	100	1	1	1					5	406	pr387	76	76	76	pr133		1	6					1		hamm							pham	scep				
sockHamm	100	1	1	1					10	401	pr387	76	76	76									1		hamm							pham	scep				
sockHamm	100	1	1	1					11	402	pr387	76	76	76									1		hamm							pham	scep				
sockHamm	100	1	1	1					12	403	pr387	76	76	76									1		hamm							pham	scep				
sockHamm	100	1	1	1					13	404	pr387	76	76	76									1		hamm							pham	scep				
sockHamm	100	1	1	1					14	405	pr387	76	76	76									1		hamm							pham	scep				
sockHamm	100	1	1	1					15	406	pr387	76	76	76									1		hamm							pham	scep				
sockPham	100	1	1	1					10	401	pr387	102	102	102	pr474	84	5	1	pr133		1	1	1		pham												
sockPham	100	1	1	1					9	402	pr387	102	102	102	pr474	84	5	1	pr133		1	2	1		pham												
sockPham	100	1	1	1					8	403	pr387	102	102	102	pr474	84	5	1	pr133		1	3	1		pham												
sockPham	100	1	1	1					7	404	pr387	102	102	102	pr474	84	5	1	pr133		1	4	1		pham												
sockPham	100	1	1	1					6	405	pr387	102	102	102	pr474	84	5	1	pr133		1	5	1		pham												
sockPham	100	1	1	1					5	406	pr387	102	102	102	pr474	84	5	1	pr133		1	6	1		pham												
sockPham	100	1	1	1					10	401	pr387	102	102	102	pr474	84	5	1					1		pham												
sockPham	100	1	1	1					11	402	pr387	102	102	102	pr474	84	5	1					1		pham												
sockPham	100	1	1	1					12	403	pr387	102	102	102	pr474	84	5	1					1		pham												
sockPham	100	1	1	1					13	404	pr387	102	102	102	pr474	84	5	1					1		pham												
sockPham	100	1	1	1					14	405	pr387	102	102	102	pr474	84	5	1					1		pham												
sockPham	100	1	1	1					15	406	pr387	102	102	102	pr474	84	5	1					1		pham												
sockAjav	100	1	1	1					10	401	pr388	76	76	76	pr133		1	1					1		ajav												
sockAjav	100	1	1	1					9	402	pr388	76	76	76	pr133		1	2					1		ajav												
