LevelName	TileName	Style	StartSequence	EndSequence	Cel1	Cel2	Cel3	Cel4
1 Wilderness	wtr	10	-1	-1	23	-1	-1	-1
1 Wilderness	wbl	10	-1	-1	22	-1	-1	-1
1 Wilderness	wrd	10			25	-1	-1	-1
1 Wilderness	wld	10	1	1	33	-1	-1	-1
1 Wilderness	wld	10			32	-1	-1	-1
1 Wilderness	wre	10	1	1	159	-1	-1	-1
1 Wilderness	wre	10	3	3	158	-1	-1	-1
1 Wilderness	wre	10			86	-1	-1	-1
1 Wilderness	wre	10	2	2	87	-1	-1	-1
1 Wilderness	wr	10	7	7	436	-1	-1	-1
1 Wilderness	wr	10	9	9	437	-1	-1	-1
1 Wilderness	wr	10	12	12	438	-1	-1	-1
1 Wilderness	wl	10	13	13	439	-1	-1	-1
1 Wilderness	fl	10				1	2	3
1 Wilderness	fl	10	5	11		1	2	3
1 Wilderness	wr	2		4	11	12	-1	-1
1 Wilderness	wl	2		4	13	14	-1	-1
1 Wilderness	wtr	2		4	13	14	-1	-1
1 Wilderness	wtlr	2		4	16	-1	-1	-1
1 Wilderness	wtll	2		4	16	-1	-1	-1
1 Wilderness	wbl	2		4	11	12	-1	-1
1 Wilderness	wr	2		13	60	-1	-1	-1
1 Wilderness	wl	2		13	61	-1	-1	-1
1 Wilderness	wtlr	2	-1	-1	64	-1	-1	-1
1 Wilderness	wtll	2	-1	-1	64	-1	-1	-1
1 Wilderness	wbr	2	-1	-1	65	-1	-1	-1
1 Wilderness	wtr	2	-1	-1	63	-1	-1	-1
1 Wilderness	wbl	2	-1	-1	62	-1	-1	-1
1 Wilderness	wr	2	14	23	11	12	-1	-1
1 Wilderness	wl	2	14	23	13	14	-1	-1
1 Wilderness	wr	3	-1	-1	46	47	48	49
1 Wilderness	wl	3	-1	-1	51	52	53	54
1 Wilderness	wtr	3	-1	-1	51	52	53	54
1 Wilderness	wtlr	3	-1	-1	55	-1	-1	-1
1 Wilderness	wtll	3	-1	-1	55	-1	-1	-1
1 Wilderness	wbr	3	-1	-1	50	-1	-1	-1
1 Wilderness	wbl	3	-1	-1	52	-1	-1	-1
1 Wilderness	wr	23	-1	-1	46	47	48	49
1 Wilderness	wl	23	-1	-1	51	52	53	54
1 Wilderness	wtr	23	-1	-1	59	-1	-1	-1
1 Wilderness	wtlr	23	-1	-1	55	-1	-1	-1
1 Wilderness	wtll	23	-1	-1	55	-1	-1	-1
1 Wilderness	wbr	23	-1	-1	50	-1	-1	-1
1 Wilderness	wbl	23	-1	-1	46	47	48	49
1 Wilderness	wle	3			56	-1	-1	-1
1 Wilderness	wle	3	1	1	57	-1	-1	-1
1 Wilderness	wre	4			58	-1	-1	-1
1 Wilderness	wre	4	1	1	59	-1	-1	-1
1 Wilderness	wl	39			312	-1	-1	-1
1 Wilderness	fl	4		3	79	-1	-1	-1
1 Wilderness	fl	4	4	4	76	-1	-1	-1
1 Wilderness	fl	4	5	6	79	-1	-1	-1
1 Wilderness	fl	4	7	7	73	-1	-1	-1
1 Wilderness	fl	4	8	8	77	-1	-1	-1
1 Wilderness	fl	4	9	10	79	-1	-1	-1
1 Wilderness	fl	4	11	11	74	-1	-1	-1
1 Wilderness	fl	4	12	12	77	-1	-1	-1
1 Wilderness	fl	4	13	14	79	-1	-1	-1
1 Wilderness	fl	4	15	15	74	-1	-1	-1
1 Wilderness	fl	4	16	16	77	-1	-1	-1
1 Wilderness	fl	4	17	18	79	-1	-1	-1
1 Wilderness	fl	4	19	19	74	-1	-1	-1
1 Wilderness	fl	4	20	21	79	-1	-1	-1
1 Wilderness	fl	4	22	22	74	-1	-1	-1
1 Wilderness	fl	4	23	26	79	-1	-1	-1
1 Wilderness	fl	4	27	27	78	-1	-1	-1
1 Wilderness	fl	4	28	29	79	-1	-1	-1
1 Wilderness	fl	4	30	30	75	-1	-1	-1
1 Wilderness	fl	4	31	31	77	-1	-1	-1
1 Wilderness	fl	4	32	33	79	-1	-1	-1
1 Wilderness	fl	4	34	34	74	-1	-1	-1
1 Wilderness	fl	4	35	35	77	-1	-1	-1
1 Wilderness	fl	4	36	37	79	-1	-1	-1
1 Wilderness	fl	4	38	38	74	-1	-1	-1
1 Wilderness	fl	4	39	39	77	-1	-1	-1
1 Wilderness	fl	21	12	12	57	-1	-1	-1
1 Wilderness	fl	21	14	14	56	-1	-1	-1
1 Wilderness	fl	24	10	10	59	-1	-1	-1
1 Wilderness	fl	24	9	9	58	-1	-1	-1
1 Wilderness	fl	25	25	25	36	-1	-1	-1
1 Wilderness	wr	15	3	3	20	-1	-1	-1
1 Wilderness	wr	15			430	-1	-1	-1
1 Wilderness	wr	15	2	2	431	-1	-1	-1
1 Wilderness	wr	15	5	5	441	-1	-1	-1
1 Wilderness	wr	15	9	9	442	-1	-1	-1
1 Wilderness	wr	15	8	8	444	-1	-1	-1
1 Wilderness	wl	15	2	2	428	-1	-1	-1
1 Wilderness	wl	15			429	-1	-1	-1
1 Wilderness	wbl	15			440	-1	-1	-1
1 Wilderness	wtll	15	1	1	443	-1	-1	-1
1 Wilderness	wl	15	5	-1	21	-1	-1	-1
1 Wilderness	wr	15	5	-1	20	-1	-1	-1
1 Wilderness	fl	25			432	-1	-1	-1
1 Wilderness	wle				33	-1	-1	-1
1 Wilderness	wle	1			32	-1	-1	-1
1 Wilderness	wr	45	-1	-1	20	-1	-1	-1
1 Wilderness	wl	45		4	21	-1	-1	-1
1 Wilderness	wl	45	5	6	25	-1	-1	-1
1 Wilderness	wl	45	7	-1	21	-1	-1	-1
1 Wilderness	wtlr	45	-1	-1	24	-1	-1	-1
1 Wilderness	wtll	45	-1	-1	24	-1	-1	-1
1 Wilderness	wbr	45	2	2	25	-1	-1	-1
1 Wilderness	wbr	45	-1	-1	25	-1	-1	-1
1 Wilderness	wtr	45		2	23	-1	-1	-1
1 Wilderness	wtr	45	3	3	25	-1	-1	-1
1 Wilderness	wtr	45	-1	-1	23	-1	-1	-1
1 Wilderness	wbl	45	-1	-1	22	-1	-1	-1
1 Wilderness	wrd	45	-1	-1	34	-1	-1	-1
1 Wilderness	wld	45	-1	-1	35	-1	-1	-1
1 Wilderness	wtlr	8			426	-1	-1	-1
1 Catacombs	fl	5	3	3	307	-1	-1	-1
1 Catacombs	wr		-1	-1	20	38	-1	-1
1 Catacombs	wl		-1	-1	21	39	-1	-1
1 Catacombs	wtlr		-1	-1	24	-1	-1	-1
1 Catacombs	wtll		-1	-1	24	-1	-1	-1
1 Catacombs	wbr		-1	-1	25	-1	-1	-1
1 Catacombs	wtr		-1	-1	23	-1	-1	-1
1 Catacombs	wbl		-1	-1	22	-1	-1	-1
1 Catacombs	wrd				27	-1	-1	-1
1 Catacombs	wrd		1	1	26	-1	-1	-1
1 Catacombs	wld		1	1	29	-1	-1	-1
1 Catacombs	wld				28	-1	-1	-1
1 Catacombs	wre				30	-1	-1	-1
1 Catacombs	wre		1	1	31	-1	-1	-1
1 Catacombs	wle	1			32	-1	-1	-1
1 Catacombs	wle	1	1	1	33	-1	-1	-1
1 Catacombs	co	1		3	25	-1	-1	-1
1 Catacombs	wr	2	-1	-1	20	38	-1	-1
1 Catacombs	wl	2	-1	-1	21	39	-1	-1
1 Catacombs	wtlr	2	-1	-1	24	-1	-1	-1
1 Catacombs	wtll	2	-1	-1	24	-1	-1	-1
1 Catacombs	wbr	2	-1	-1	25	-1	-1	-1
1 Catacombs	wtr	2	-1	-1	23	-1	-1	-1
1 Catacombs	wbl	2	-1	-1	22	-1	-1	-1
1 Catacombs	wrd	2			26	-1	-1	-1
1 Catacombs	wrd	2	1	1	27	-1	-1	-1
1 Catacombs	wld	2	1	1	28	-1	-1	-1
1 Catacombs	wld	2			29	-1	-1	-1
1 Catacombs	fl	21			41	-1	-1	-1
1 Catacombs	fl	21	1	1	42	-1	-1	-1
1 Catacombs	fl	21	2	2	40	-1	-1	-1
1 Catacombs	fl	21	3	3	43	-1	-1	-1
1 Crypt	wr		-1	-1	20	38	-1	-1
1 Crypt	wl		-1	-1	21	39	-1	-1
1 Crypt	wtlr		-1	-1	24	-1	-1	-1
1 Crypt	wtll		-1	-1	24	-1	-1	-1
1 Crypt	wbr		-1	-1	25	-1	-1	-1
1 Crypt	wtr		-1	-1	23	-1	-1	-1
1 Crypt	wbl		-1	-1	22	-1	-1	-1
1 Crypt	co				25	-1	-1	-1
1 Crypt	wrd				27	-1	-1	-1
1 Crypt	wrd		1	1	26	-1	-1	-1
1 Crypt	wld		1	1	29	-1	-1	-1
1 Crypt	wld				28	-1	-1	-1
1 Crypt	wre				30	-1	-1	-1
1 Crypt	wre		1	1	31	-1	-1	-1
1 Crypt	wle		1	1	32	-1	-1	-1
1 Crypt	wle				33	-1	-1	-1
1 Crypt	wle	1			32	-1	-1	-1
1 Crypt	wle	1	1	1	33	-1	-1	-1
1 Crypt	wr	48	-1	-1	20	38	-1	-1
1 Crypt	wl	48	-1	-1	21	39	-1	-1
1 Crypt	wtlr	48	-1	-1	24	-1	-1	-1
1 Crypt	wtll	48	-1	-1	24	-1	-1	-1
1 Crypt	wbr	48	-1	-1	25	-1	-1	-1
1 Crypt	wtr	48	-1	-1	23	-1	-1	-1
1 Crypt	wbl	48	-1	-1	22	-1	-1	-1
1 Crypt	co	48			25	-1	-1	-1
1 Crypt	wrd	48			27	-1	-1	-1
1 Crypt	wrd	48	1	1	26	-1	-1	-1
1 Crypt	wld	48	1	1	29	-1	-1	-1
1 Crypt	wld	48			28	-1	-1	-1
1 Crypt	wre	48			30	-1	-1	-1
1 Crypt	wre	48	1	1	31	-1	-1	-1
1 Crypt	wle	48	1	1	32	-1	-1	-1
1 Crypt	wle	48			33	-1	-1	-1
1 Crypt	wle	49			32	-1	-1	-1
1 Crypt	wle	49	1	1	33	-1	-1	-1
1 Crypt	wr	13	-1	-1	20	38	-1	-1
1 Crypt	wl	13	-1	-1	21	39	-1	-1
1 Crypt	wtlr	13	-1	-1	24	-1	-1	-1
1 Crypt	wtll	13	-1	-1	24	-1	-1	-1
1 Crypt	wbr	13	-1	-1	25	-1	-1	-1
1 Crypt	wtr	13	-1	-1	23	-1	-1	-1
1 Crypt	wbl	13	-1	-1	22	-1	-1	-1
1 Crypt	co	13			25	-1	-1	-1
1 Crypt	wrd	13			27	-1	-1	-1
1 Crypt	wrd	13	1	1	26	-1	-1	-1
1 Crypt	wld	13	1	1	29	-1	-1	-1
1 Crypt	wld	13			28	-1	-1	-1
1 Crypt	wre	13			30	-1	-1	-1
1 Crypt	wre	13	1	1	31	-1	-1	-1
1 Crypt	wle	13	1	1	32	-1	-1	-1
1 Crypt	wle	13			33	-1	-1	-1
1 Crypt	wle	14			32	-1	-1	-1
1 Crypt	wle	14	1	1	33	-1	-1	-1
1 Crypt	wr	4	-1	-1	20	38	-1	-1
1 Crypt	wl	4	-1	-1	21	39	-1	-1
1 Crypt	wtlr	4	-1	-1	24	-1	-1	-1
1 Crypt	wtll	4	-1	-1	24	-1	-1	-1
1 Crypt	wbr	4	-1	-1	25	-1	-1	-1
1 Crypt	wtr	4	-1	-1	23	-1	-1	-1
1 Crypt	wbl	4	-1	-1	22	-1	-1	-1
1 Crypt	co	4			25	-1	-1	-1
1 Crypt	wrd	4			27	-1	-1	-1
1 Crypt	wrd	4	1	1	26	-1	-1	-1
1 Crypt	wld	4	1	1	29	-1	-1	-1
1 Crypt	wld	4			28	-1	-1	-1
1 Crypt	wre	4			30	-1	-1	-1
1 Crypt	wre	4	1	1	31	-1	-1	-1
1 Crypt	wle	4	1	1	32	-1	-1	-1
1 Crypt	wle	4			33	-1	-1	-1
1 Crypt	wle	5			32	-1	-1	-1
1 Crypt	wle	5	1	1	33	-1	-1	-1
1 Crypt	wr	32	-1	-1	20	38	-1	-1
1 Crypt	wl	32	-1	-1	21	39	-1	-1
1 Crypt	wtlr	32	-1	-1	24	-1	-1	-1
1 Crypt	wtll	32	-1	-1	24	-1	-1	-1
1 Crypt	wbr	32	-1	-1	25	-1	-1	-1
1 Crypt	wtr	32	-1	-1	23	-1	-1	-1
1 Crypt	wbl	32	-1	-1	22	-1	-1	-1
1 Crypt	co	32			25	-1	-1	-1
1 Crypt	wrd	32			27	-1	-1	-1
1 Crypt	wrd	32	1	1	26	-1	-1	-1
1 Crypt	wld	32	1	1	29	-1	-1	-1
1 Crypt	wld	32			28	-1	-1	-1
1 Crypt	wre	32			30	-1	-1	-1
1 Crypt	wre	32	1	1	31	-1	-1	-1
1 Crypt	wle	32	1	1	32	-1	-1	-1
1 Crypt	wle	32			33	-1	-1	-1
1 Crypt	wle	33			32	-1	-1	-1
1 Crypt	wle	33	1	1	33	-1	-1	-1
1 Crypt	wr	1	-1	-1	20	38	-1	-1
1 Crypt	wl	1	-1	-1	21	39	-1	-1
1 Crypt	wtlr	1	-1	-1	24	-1	-1	-1
1 Crypt	wtll	1	-1	-1	24	-1	-1	-1
1 Crypt	wbr	1	-1	-1	25	-1	-1	-1
1 Crypt	wtr	1	-1	-1	23	-1	-1	-1
1 Crypt	wbl	1	-1	-1	22	-1	-1	-1
1 Crypt	co	1			25	-1	-1	-1
1 Crypt	wrd	1			27	-1	-1	-1
1 Crypt	wrd	1	1	1	26	-1	-1	-1
1 Crypt	wld	1	1	1	29	-1	-1	-1
1 Crypt	wld	1			28	-1	-1	-1
1 Crypt	wre	1			30	-1	-1	-1
1 Crypt	wre	1	1	1	31	-1	-1	-1
1 Crypt	wle	1	1	1	32	-1	-1	-1
1 Crypt	wle	1			33	-1	-1	-1
1 Crypt	wle	2			32	-1	-1	-1
1 Crypt	wle	2	1	1	33	-1	-1	-1
1 Barracks	wl	7	-1	-1	21	-1	-1	-1
1 Barracks	wre		1	1	31	-1	-1	-1
1 Barracks	wre				30	-1	-1	-1
1 Barracks	wre	1	1	1	31	-1	-1	-1
1 Barracks	wre	1			30	-1	-1	-1
1 Barracks	wle		1	1	33	-1	-1	-1
1 Barracks	wle				32	-1	-1	-1
1 Barracks	wle	1	1	1	33	-1	-1	-1
1 Barracks	wle	1			32	-1	-1	-1
1 Barracks	wr	4	-1	-1	20	-1	-1	-1
1 Barracks	wl	4	-1	-1	21	-1	-1	-1
1 Barracks	wtlr	4	-1	-1	24	-1	-1	-1
1 Barracks	wtll	4	-1	-1	24	-1	-1	-1
1 Barracks	wbr	4	-1	-1	25	-1	-1	-1
1 Barracks	wtr	4	-1	-1	23	-1	-1	-1
1 Barracks	wbl	4	-1	-1	22	-1	-1	-1
1 Barracks	co	4	-1	-1	25	-1	-1	-1
1 Barracks	wrd	4	-1	-1	27	-1	-1	-1
1 Barracks	wrd	4	-1	-1	26	-1	-1	-1
1 Barracks	wld	4	-1	-1	29	-1	-1	-1
1 Barracks	wld	4	-1	-1	28	-1	-1	-1
1 Barracks	wrd	5			27	-1	-1	-1
1 Barracks	wrd	5	1	1	26	-1	-1	-1
1 Barracks	wld	5	1	1	29	-1	-1	-1
1 Barracks	wld	5			28	-1	-1	-1
1 Barracks	wld	5	2	2	21	-1	-1	-1
1 Barracks	wr	5	-1	-1	20	-1	-1	-1
1 Barracks	wl	5	-1	-1	21	-1	-1	-1
1 Barracks	wtlr	5	-1	-1	24	-1	-1	-1
1 Barracks	wtll	5	-1	-1	24	-1	-1	-1
1 Barracks	wbr	5	-1	-1	25	-1	-1	-1
1 Barracks	wtr	5	-1	-1	23	-1	-1	-1
1 Barracks	wbl	5	-1	-1	22	-1	-1	-1
1 Barracks	co	5	-1	-1	25	-1	-1	-1
1 Barracks	wr	7	-1	-1	20	-1	-1	-1
1 Barracks	wl	7	-1	-1	21	-1	-1	-1
1 Barracks	wtlr	7	-1	-1	24	-1	-1	-1
1 Barracks	wtll	7	-1	-1	24	-1	-1	-1
1 Barracks	wbr	7	-1	-1	25	-1	-1	-1
1 Barracks	wtr	7	-1	-1	23	-1	-1	-1
1 Barracks	wbl	7	-1	-1	22	-1	-1	-1
1 Barracks	wrd	7			26	-1	-1	-1
1 Barracks	wrd	7	1	1	27	-1	-1	-1
1 Barracks	wld	7	1	1	28	-1	-1	-1
1 Barracks	wld	7			29	-1	-1	-1
1 Barracks	fl	21			41	-1	-1	-1
1 Barracks	fl	21	1	1	42	-1	-1	-1
1 Barracks	fl	21	2	2	40	-1	-1	-1
1 Barracks	fl	21	3	3	43	-1	-1	-1
1 Jail	wre		1	1	31	-1	-1	-1
1 Jail	wre				30	-1	-1	-1
1 Jail	wre	1	1	1	31	-1	-1	-1
1 Jail	wre	1			30	-1	-1	-1
1 Jail	wle		1	1	33	-1	-1	-1
1 Jail	wle				32	-1	-1	-1
1 Jail	fl		15	15	307	-1	-1	-1
1 Jail	wle	1	1	1	33	-1	-1	-1
1 Jail	wle	1			32	-1	-1	-1
1 Jail	wr	4	-1	-1	20	-1	-1	-1
1 Jail	wl	4	-1	-1	21	-1	-1	-1
1 Jail	wtlr	4	-1	-1	24	-1	-1	-1
1 Jail	wtll	4	-1	-1	24	-1	-1	-1
1 Jail	wbr	4	-1	-1	25	-1	-1	-1
1 Jail	wtr	4	-1	-1	23	-1	-1	-1
1 Jail	wbl	4	-1	-1	22	-1	-1	-1
1 Jail	co	4	-1	-1	25	-1	-1	-1
1 Jail	wrd	5			27	-1	-1	-1
1 Jail	wrd	5	1	1	26	-1	-1	-1
1 Jail	wld	5	1	1	29	-1	-1	-1
1 Jail	wld	5			28	-1	-1	-1
1 Jail	wld	5	2	2	21	-1	-1	-1
1 Jail	wr	5	-1	-1	20	-1	-1	-1
1 Jail	wl	5	-1	-1	21	-1	-1	-1
1 Jail	wtlr	5	-1	-1	24	-1	-1	-1
1 Jail	wtll	5	-1	-1	24	-1	-1	-1
1 Jail	wbr	5	-1	-1	25	-1	-1	-1
1 Jail	wtr	5	-1	-1	23	-1	-1	-1
1 Jail	wbl	5	-1	-1	22	-1	-1	-1
1 Jail	co	5	-1	-1	25	-1	-1	-1
1 Jail	wr	7	-1	-1	20	-1	-1	-1
1 Jail	wl	7	-1	-1	21	-1	-1	-1
1 Jail	wtlr	7	-1	-1	24	-1	-1	-1
1 Jail	wtll	7	-1	-1	24	-1	-1	-1
1 Jail	wbr	7	-1	-1	25	-1	-1	-1
1 Jail	wtr	7	-1	-1	23	-1	-1	-1
1 Jail	wbl	7	-1	-1	22	-1	-1	-1
1 Jail	wrd	7			26	-1	-1	-1
1 Jail	wrd	7	1	1	27	-1	-1	-1
1 Jail	wld	7	1	1	28	-1	-1	-1
1 Jail	wld	7			29	-1	-1	-1
1 Jail	fl	21			41	-1	-1	-1
1 Jail	fl	21	1	1	42	-1	-1	-1
1 Jail	fl	21	2	2	40	-1	-1	-1
1 Jail	fl	21	3	3	43	-1	-1	-1
1 Courtyard	fl		54	54	307	-1	-1	-1
1 Courtyard	wr	1	-1	-1	20	38	-1	-1
1 Courtyard	wl	1	-1	-1	21	39	-1	-1
1 Courtyard	wtlr	1	-1	-1	24	-1	-1	-1
1 Courtyard	wtll	1	-1	-1	24	-1	-1	-1
1 Courtyard	wbr	1	-1	-1	25	-1	-1	-1
1 Courtyard	wtr	1	-1	-1	23	-1	-1	-1
1 Courtyard	wbl	1	-1	-1	22	-1	-1	-1
1 Courtyard	wr	2	-1	-1	20	38	-1	-1
1 Courtyard	wl	2	-1	-1	21	39	-1	-1
1 Courtyard	wtlr	2	-1	-1	24	-1	-1	-1
1 Courtyard	wtll	2	-1	-1	24	-1	-1	-1
1 Courtyard	wbr	2	-1	-1	25	-1	-1	-1
1 Courtyard	wtr	2	-1	-1	23	-1	-1	-1
1 Courtyard	wbl	2	-1	-1	22	-1	-1	-1
1 Courtyard	fl	4	28	28	307	-1	-1	-1
1 Courtyard	wr	4	-1	-1	20	38	-1	-1
1 Courtyard	wl	4	-1	-1	21	39	-1	-1
1 Courtyard	wtlr	4	-1	-1	24	-1	-1	-1
1 Courtyard	wtll	4	-1	-1	24	-1	-1	-1
1 Courtyard	wbr	4	-1	-1	25	-1	-1	-1
1 Courtyard	wtr	4	-1	-1	23	-1	-1	-1
1 Courtyard	wbl	4	-1	-1	22	-1	-1	-1
1 Courtyard	wrd	4			27	-1	-1	-1
1 Courtyard	wrd	4	1	1	26	-1	-1	-1
1 Courtyard	wrd	4	2	2	20	-1	-1	-1
1 Courtyard	wrd	4	5	5	26	-1	-1	-1
1 Courtyard	wrd	4	4	4	20	-1	-1	-1
1 Courtyard	wrd	4	3	3	27	-1	-1	-1
1 Courtyard	wld	4	1	1	29	-1	-1	-1
1 Courtyard	wld	4			28	-1	-1	-1
1 Courtyard	wr	6	-1	-1	183	-1	-1	-1
1 Courtyard	wl	6	-1	-1	184	-1	-1	-1
1 Courtyard	wtlr	6	-1	-1	187	-1	-1	-1
1 Courtyard	wtll	6	-1	-1	187	-1	-1	-1
1 Courtyard	wbr	6	-1	-1	188	-1	-1	-1
1 Courtyard	wtr	6	-1	-1	186	-1	-1	-1
1 Courtyard	wbl	6	-1	-1	185	-1	-1	-1
1 Courtyard	wrd	1			20	-1	-1	-1
1 Courtyard	wrd	1	1	1	34	-1	-1	-1
1 Courtyard	wld	1	1	1	21	-1	-1	-1
1 Courtyard	wld	1			35	-1	-1	-1
1 Courtyard	wrd	2			27	-1	-1	-1
1 Courtyard	wrd	2	1	1	26	-1	-1	-1
1 Courtyard	wld	2	1	1	29	-1	-1	-1
1 Courtyard	wld	2			28	-1	-1	-1
1 Courtyard	wrd	6			27	-1	-1	-1
1 Courtyard	wrd	6	1	1	26	-1	-1	-1
1 Courtyard	wld	6	1	1	29	-1	-1	-1
1 Courtyard	wld	6			28	-1	-1	-1
1 Courtyard	fl	4	23	23	433	-1	-1	-1
1 Courtyard	fl	4	15	15	434	-1	-1	-1
1 Courtyard	fl	21			41	-1	-1	-1
1 Courtyard	fl	21	1	1	42	-1	-1	-1
1 Courtyard	fl	21	2	2	40	-1	-1	-1
1 Courtyard	fl	21	3	3	43	-1	-1	-1
1 Cave	wre		1	1	56	-1	-1	-1
1 Cave	wre		3	3	57	-1	-1	-1
1 Cave	wre				56	-1	-1	-1
1 Cave	wre		2	2	57	-1	-1	-1
1 Cave	fl				127	-1	-1	-1
1 Cave	fl		2	5	126	-1	-1	-1
