name	*name	*Laz / status	*Laz / information	szFlavorText	compactsave	version	level	levelreq	rarity	spawnable	minac	maxac	speed	nodurability	cost	gamble cost	auto prefix	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	*eol
tsc 	Town Portal Scroll				1				2	1				1	60			tsc 	bsc 	tsc	16	1	1				flpbsc	invbsc				xxx 			1	0	scro		so243	10	so243			5		1									-1	2																	non 						255					255	11	17			255					255					255	11	17	11	17	255					255					255	11	17	11	17	255					255					255					255					255	5	7			255					255					255	5	7			255						xxx 	xxx 			1	1		0
isc 	Identify Scroll				1				2	1				1	60			isc 	rsc 	isc	16	1	1				flprsc	invrsc				xxx 			1	0	scro		so243	10	so243			5		1									-1	1																	non 						255					255	11	17			255					255					255	11	17	11	17	255					255					255	11	17	11	17	255					255					255					255					255	5	7			255					255					255	5	7			255						xxx 	xxx 			1	1		0
hrt 	Heart								1					1	60			hrt 	hrt 	hrt	16	1	1				flphrt	invhrt			1	hpo 				0	body		so233	14	so233			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
brz 	Brain								1					1	60			brz 	brz 	brz	16	1	1				flpbrnz	invbrnz			1	opm 	1	1		0	body		so233	14	so233			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
jaw 	Jawbone								1					1	75			jaw 	jaw 	jaw	16	1	1				flpjaw	invjaw			1	cqv 	10	40		0	body		so232	12	so232			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
eyz 	Eye								1					1	45			eyz 	eyz 	eyz	16	1	1				flpeye	inveye			1	mpo 				0	body		so233	14	so233			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
hrn 	Horn								1					1	48			hrn 	hrn 	hrn	16	1	1				flphorn	invhorn			1	aqv 	10	40		0	body		so232	12	so232			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
tal 	Tail								1					1	63			tal 	tal 	tal	16	1	1				flptail	invtail			1	vps 				0	body		so233	14	so233			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
flg 	Flag								1					1	98			flg 	flg 	flg	16	1	2				flpflag	invflag				xxx 				0	body		so230	12	so230			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
fng 	Fang								1					1	80			fng 	fng 	fng	16	1	1				flpfang	invfang			1	key 	1	1		0	body		so232	12	so232			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
qll 	Quill								1					1	32			qll 	qll 	qll	16	1	1				flpquil	invquil			1	aqv 	10	40		0	body		so232	12	so232			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
sol 	Soul								1					1	100			sol 	sol 	sol	16	1	1				flpsple	invsple			1	mpo 				0	body		so240	12	so0			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
scz 	Scalp								1					1	40			scz 	scz 	scz	16	1	1				flpscp	invscp			1	hpf 				0	body		so233	14	so233			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
spe 	Spleen								1					1	85			spe 	spe 	spe	16	1	1				flpsple	invsple			1	gps 	1	1		0	body		so233	14	so233			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
key 	Skeleton Key								1	1				1	45			key 	key 	key	16	1	1				flpkey	invkey				xxx 				0	key		so227	12	so227			5				1	1	50	10				-1																		non 						255	5	9	5	9	255	1	2	1	2	255					255	6	9	6	9	255					255	2	3	2	3	255					255					255					255					255					255					255	1	1			255					255					255	1	2	1	2	255						xxx 	xxx 			1	1		0
luv 	Mephisto Key								1					1	99999			luv 	key 	luv	16	1	2				flpmph	invmph				xxx 				0	key		so227	12	so227			5								20	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
xyz 	scroll of self resurrect								999					1	10000			xyz 	scr 	xyz	16	1	1				flpwps	invxyz				xxx 			1	0	ques		so237	14	so238			5								19	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
j34 	jade figurine				1									1	100			j34 	bks 	j34	16	1	2				flpjbi	invjbi				xxx 				0	ques		so240	12	so0	1		3								19	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
g34 	gold bird				1									1	100			g34 	bks 	g34	16	1	2				flpgbi	invgbi				xxx 				0	ques		so240	12	so0	1		4								19	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
bbb 	lam esen's tome				1									1	100			bbb 	bbb 	bbb	16	2	2				flpbbb	invbbb				xxx 				0	ques		so207	12	so207	1		5								16	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
box 	Horadric Cube													1				box 	rbk 	box	16	2	2				flpbox	invbox				xxx 			1	0	ques		so240	12	so0			5								10			-1	7																	non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
tr1 	Scroll of Horadric Quest Info				1				999					1				tr1 	grg 	tr1	16	2	2				flphscr	invhscr				xxx 				0	ques		so207	12	so207	1		5								10	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
mss 	Mephisto SoulStone				1				999					1				mss 	scr 	mss	16	1	1				flpmss	invmss				xxx 				0	ques		so217	12	so217	1		5								23	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
ass 	Book of Skill				1				999					1				ass 	tbk 	ass	16	2	2				flpbbk	invsbk				xxx 			1	0	ques		so207	12	so207	1		5								15	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
qey 	KhalimEye				1				1					1	45			qey 	eyz 	qey	16	1	1				flpeye	inveye				xxx 	240	240		0	ques		so233	14	so233			5								17	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
qhr 	KhalimHeart				1				1					1	60			qhr 	hrt 	qhr	16	1	1				flphrt	invhrt				xxx 	240	240		0	ques		so233	14	so233			5								17	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
qbr 	KhalimBrain				1				1					1	60			qbr 	brz 	qbr	16	1	1				flpbrnz	invbrnz				xxx 	240	240		0	ques		so233	14	so233			5								17	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
ear 	Player Ear				1				1					1				ear 	ear 	ear	16	1	1				flpear	invear				xxx 				0	play		so233	14	so233			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gcv 	Chipped Amethyst				1			1	2	1				1	100			gcv 	gcv 	gcv	16	1	1				flpgsv	invgsva				xxx 				0	gema	gem0	so217	12	so217			5											-1																		gfv 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gfv 	Flawed Amethyst				1			5	3	1				1	200			gfv 	gfv 	gfv	16	1	1				flpgsv	invgsvb				xxx 				0	gema	gem1	so217	12	so217			5											-1																		gsv 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gsv 	Amethyst				1			12	4	1				1	300			gsv 	gsv 	gsv	16	1	1				flpgsv	invgsvc				xxx 				0	gema	gem2	so217	12	so217			5											-1																		gzv 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gzv 	Flawless Amethyst				1			15	5	1				1	400			gzv 	gzv 	gzv	16	1	1				flpgsv	invgsvd				xxx 				0	gema	gem3	so217	12	so217			5											-1																		gpv 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gpv 	Perfect Amethyst				1			18	6	1				1	500			gpv 	gpv 	gpv	16	1	1				flpgsv	invgsve				xxx 				0	gema	gem4	so217	12	so217			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gcy 	Chipped Topaz				1			1	3	1				1	100			gcy 	gcy 	gcy	16	1	1				flpgsy	invgsya				xxx 				0	gemt	gem0	so217	12	so217			5											-1																		gfy 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gfy 	Flawed Topaz				1			5	4	1				1	200			gfy 	gfy 	gfy	16	1	1				flpgsy	invgsyb				xxx 				0	gemt	gem1	so217	12	so217			5											-1																		gsy 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gsy 	Topaz				1			12	5	1				1	300			gsy 	gsy 	gsy	16	1	1				flpgsy	invgsyc				xxx 				0	gemt	gem2	so217	12	so217			5											-1																		gly 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gly 	Flawless Topaz				1			15	6	1				1	400			gly 	gly 	gly	16	1	1				flpgsy	invgsyd				xxx 				0	gemt	gem3	so217	12	so217			5											-1																		gpy 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gpy 	Perfect Topaz				1			18	7	1				1	500			gpy 	gpy 	gpy	16	1	1				flpgsy	invgsye				xxx 				0	gemt	gem4	so217	12	so217			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gcb 	Chipped Saphire				1			1	4	1				1	100			gcb 	gcb 	gcb	16	1	1				flpgsb	invgsba				xxx 				0	gems	gem0	so217	12	so217			5											-1																		gfb 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gfb 	Flawed Saphire				1			5	5	1				1	200			gfb 	gfb 	gfb	16	1	1				flpgsb	invgsbb				xxx 				0	gems	gem1	so217	12	so217			5											-1																		gsb 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gsb 	Saphire				1			12	6	1				1	300			gsb 	gsb 	gsb	16	1	1				flpgsb	invgsbc				xxx 				0	gems	gem2	so217	12	so217			5											-1																		glb 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
glb 	Flawless Saphire				1			15	7	1				1	400			glb 	glb 	glb	16	1	1				flpgsb	invgsbd				xxx 				0	gems	gem3	so217	12	so217			5											-1																		gpb 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gpb 	Perfect Saphire				1			18	8	1				1	500			gpb 	gpb 	gpb	16	1	1				flpgsb	invgsbe				xxx 				0	gems	gem4	so217	12	so217			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gcg 	Chipped Emerald				1			1	5	1				1	100			gcg 	gcg 	gcg	16	1	1				flpgsg	invgsga				xxx 				0	geme	gem0	so217	12	so217			5											-1																		gfg 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gfg 	Flawed Emerald				1			5	6	1				1	200			gfg 	gfg 	gfg	16	1	1				flpgsg	invgsgb				xxx 				0	geme	gem1	so217	12	so217			5											-1																		gsg 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gsg 	Emerald				1			12	7	1				1	300			gsg 	gsg 	gsg	16	1	1				flpgsg	invgsgc				xxx 				0	geme	gem2	so217	12	so217			5											-1																		glg 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
glg 	Flawless Emerald				1			15	8	1				1	400			glg 	glg 	glg	16	1	1				flpgsg	invgsgd				xxx 				0	geme	gem3	so217	12	so217			5											-1																		gpg 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255		 				xxx 	xxx 						0
gpg 	Perfect Emerald				1			18	9	1				1	500			gpg 	gpg 	gpg	16	1	1				flpgsg	invgsge				xxx 				0	geme	gem4	so217	12	so217			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gcr 	Chipped Ruby				1			1	6	1				1	100			gcr 	gcr 	gcr	16	1	1				flpgsr	invgsra				xxx 				0	gemr	gem0	so217	12	so217			5											-1																		gfr 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gfr 	Flawed Ruby				1			5	7	1				1	200			gfr 	gfr 	gfr	16	1	1				flpgsr	invgsrb				xxx 				0	gemr	gem1	so217	12	so217			5											-1																		gsr 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gsr 	Ruby				1			12	8	1				1	300			gsr 	gsr 	gsr	16	1	1				flpgsr	invgsrc				xxx 				0	gemr	gem2	so217	12	so217			5											-1																		glr 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
glr 	Flawless Ruby				1			15	9	1				1	400			glr 	glr 	glr	16	1	1				flpgsr	invgsrd				xxx 				0	gemr	gem3	so217	12	so217			5											-1																		gpr 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gpr 	Perfect Ruby				1			18	10	1				1	500			gpr 	gpr 	gpr	16	1	1				flpgsr	invgsre				xxx 				0	gemr	gem4	so217	12	so217			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gcw 	Chipped Diamond				1			1	7	1				1	100			gcw 	gcw 	gcw	16	1	1				flpgsw	invgswa				xxx 				0	gemd	gem0	so217	12	so217			5											-1																		gfw 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gfw 	Flawed Diamond				1			5	8	1				1	200			gfw 	gfw 	gfw	16	1	1				flpgsw	invgswb				xxx 				0	gemd	gem1	so217	12	so217			5											-1																		gsw 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gsw 	Diamond				1			12	9	1				1	300			gsw 	gsw 	gsw	16	1	1				flpgsw	invgswc				xxx 				0	gemd	gem2	so217	12	so217			5											-1																		glw 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
glw 	Flawless Diamond				1			15	10	1				1	400			glw 	glw 	glw	16	1	1				flpgsw	invgswd				xxx 				0	gemd	gem3	so217	12	so217			5											-1																		gpw 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gpw 	Perfect Diamond				1			18	11	1				1	500			gpw 	gpw 	gpw	16	1	1				flpgsw	invgswe				xxx 				0	gemd	gem4	so217	12	so217			5											-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
hp1 	Lesser Healing Potion				1				1	1				1	25			hp1 	hp1 	hp1	16	1	1				flprps	invhp1				xxx 			1	0	hpot		so237	14	so238			5		1	1								-1	6	st191	st2	st191	250	is74	(stat('is7'.accr)/250)*(1-stat('is448'.accr))	is67	-15			1	ItemstatsPot1					non 						255					255	1	1			255					255	1	1			255	1	1			255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						hp4 	hp5 			1	1		0
hp2 	Light Healing Potion				1				1	1				1	50			hp2 	hp2 	hp2	16	1	1				flprps	invhp2				xxx 			1	0	hpot		so237	14	so238			5		1	1								-1	6	st191	st2	st191	225	is74	(stat('is7'.accr)/225)*(1-stat('is448'.accr))	is67	-15			1	ItemstatsPot2					non 						255					255					255					255	1	1			255	1	1			255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						hp4 	hp5 			1	1		0
hp3 	Healing Potion				1				1	1				1	100			hp3 	hp3 	hp3	16	1	1				flprps	invhp3				xxx 			1	0	hpot		so237	14	so238			5		1	1								-1	6	st191	st2	st191	200	is74	(stat('is7'.accr)/200)*(1-stat('is448'.accr))	is67	-15			1	ItemstatsPot3					non 						255					255					255					255					255					255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						hp4 	hp5 			1	1		0
hp4 	Strong Healing Potion				1				1	1				1	200			hp4 	hp4 	hp4	16	1	1				flprpl	invhp4				xxx 			1	0	hpot		so237	14	so238			5		1	1								-1	6	st191	st2	st191	175	is74	(stat('is7'.accr)/175)*(1-stat('is448'.accr))	is67	-15			1	ItemstatsPot4					non 						255					255					255					255					255					255					255					255					255					255					255					255					255	1	1			255					255					255	1	1			255						xxx 	hp5 			1	1		0
hp5 	Greater Healing Potion				1				1	1				1	400			hp5 	hp5 	hp5	16	1	1				flprpl	invhp5				xxx 			1	0	hpot		so237	14	so238			5		1	1								-1	6	st191	st2	st191	150	is74	(stat('is7'.accr)/150)*(1-stat('is448'.accr))	is67	-15			1	ItemstatsPot5					non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 			1	1		0
