name	* info	* tier	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
752 	Ancient Armor (4)	4			20	1	594	1126		15	296			111		63	19	49273		752 	752		404	aar 	aar	752 	752 	752 		1	2	3	1	4	1	flpaar	invaar			2	2		2	2	2						tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
844 	Ancient Armor (6)	6			20	1	1122	2104		15	622			111		90	27	179626		844 	844		406	aar 	aar	844 	844 	844 		1	2	3	1	6	1	flpaar	invaar			2	2		2	2	2						tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@15 	Ancient Armor (Sacred)	Sacred			2	1	2061	2552		15	666			111		90	30	179626		@15 	@15		406	aar 	aar	@15 	@15 	@15 		1	2	3	1	6	1	flpaar	invaar			2	2		2	2	2						qtor		so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
w12 	Antlers (1)	1	100		4	1	43	64			50			42		9	3	224		w12 	w12		402	dr3 	dr3	w12 	w12 	w12 			2	2	1	2	1	flpdr3	invdr3														pelt	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
w72 	Antlers (4)	4	100		4	1	186	250			154			42		53	16	11245		w72 	w72		403	dr3 	dr3	w72 	w72 	w72 			2	2	1	3	1	flpdr3	invdr3														pelt	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
e22 	Antlers (6)	6	100		4	1	361	478			323			42		82	24	45031		e22 	e22		404	dr3 	dr3	e22 	e22 	e22 			2	2	1	4	1	flpdr3	invdr3														pelt	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
@49 	Antlers (Sacred)	Sacred	100		1	1	680	739			450			42		82	30	45031		@49 	@49		404	dr3 	dr3	@49 	@49 	@49 			2	2	1	4	1	flpdr3	invdr3														qplt		so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
8@N 	Aspis (1)	1			10	1	60	116		5	30	59	1	67		10	3	445		8@N 	8@N		401	lrg 	buc	8@N 	8@N 	8@N 		7	2	3	1	1	2	flplrg	invxrgu														ishd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
2@O 	Aspis (4)	4			10	1	231	400		5	91	180	1	67		54	16	24381		2@O 	2@O		403	lrg 	buc	2@O 	2@O 	2@O 		7	2	3	1	3	2	flplrg	invxrgu														ishd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
4@O 	Aspis (6)	6			10	1	441	754		5	192	378	1	67		83	25	101095		4@O 	4@O		404	lrg 	buc	4@O 	4@O 	4@O 		7	2	3	1	4	2	flplrg	invxrgu														ishd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
5@O 	Aspis (Sacred)	Sacred			1	1	940	1097		5	497	559	1	67		83	30	101095		5@O 	5@O		404	lrg 	buc	5@O 	5@O 	5@O 		7	2	3	1	4	2	flplrg	invxrgu														sisd		so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
w18 	Assault Helmet (1)	1	100		4	1	60	89			70			53		13	4	467		w18 	w18		402	ba5 	bhm	w18 	w18 	w18 			2	2	1	2	1	flpba5	invba4														phlm	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
w78 	Assault Helmet (4)	4	100		4	1	240	330			214			53		56	17	16057		w78 	w78		403	ba5 	bhm	w78 	w78 	w78 			2	2	1	3	1	flpba5	invba4														phlm	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
e28 	Assault Helmet (6)	6	100		4	1	466	629			450			53		85	25	62943		e28 	e28		404	ba5 	bhm	e28 	e28 	e28 			2	2	1	4	1	flpba5	invba4														phlm	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
@55 	Assault Helmet (Sacred)	Sacred	100		1	1	858	939			456			53		85	30	62943		@55 	@55		404	ba5 	bhm	@55 	@55 	@55 			2	2	1	4	1	flpba5	invba4														qphm		so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
01! 	Athulua's Hand (1)	1			4	1	28	54				21	1	29		3		113		01! 	01!		401	buc 	buc	01! 	01! 	01! 		7	2	2	1	1	2	flpbuc	invxmlu														azsd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
04! 	Athulua's Hand (4)	4			4	1	138	214				66	1	29		47	14	9085		04! 	04!		403	buc 	buc	04! 	04! 	04! 		7	2	2	1	3	2	flpbuc	invxmlu														azsd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
06! 	Athulua's Hand (6)	6			4	1	273	409				139	1	29		76	22	38623		06! 	06!		404	buc 	buc	06! 	06! 	06! 		7	2	2	1	4	2	flpbuc	invxmlu														azsd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
07! 	Athulua's Hand (Sacred)	Sacred			1	1	886	954				349	1	29		76	30	38623		07! 	07!		404	buc 	buc	07! 	07! 	07! 		7	2	2	1	4	2	flpbuc	invxmlu														sasz		so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
w19 	Avenger Guard (1)	1	100		4	1	73	109			85			59		17	5	804		w19 	w19		402	ba5 	bhm	w19 	w19 	w19 			2	2	1	2	1	flpba5	invba5														phlm	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
w79 	Avenger Guard (4)	4	100		4	1	281	389			259			59		61	18	21698		w79 	w79		403	ba5 	bhm	w79 	w79 	w79 			2	2	1	3	1	flpba5	invba5														phlm	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
e29 	Avenger Guard (6)	6	100		4	1	539	737			544			59		90	27	81125		e29 	e29		404	ba5 	bhm	e29 	e29 	e29 			2	2	1	4	1	flpba5	invba5														phlm	tier	so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
@56 	Avenger Guard (Sacred)	Sacred	100		1	1	894	993			461			59		90	30	81125		@56 	@56		404	ba5 	bhm	@56 	@56 	@56 			2	2	1	4	1	flpba5	invba5														qphm		so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			5	8		xxx 	xxx 			1
4@I 	Banded Plate (1)	1			10	1	174	351				91		110		19	6	2070		4@I 	4@I		401	ful 	ful	4@I 	4@I 	4@I 		1	2	3	1	2	1	flpful	invfulu			2	2	2		2	2						stor	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
7@I 	Banded Plate (4)	4			10	1	604	1140				277		110		62	19	56670		7@I 	7@I		404	ful 	ful	7@I 	7@I 	7@I 		1	2	3	1	4	1	flpful	invfulu			2	2	2		2	2						stor	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
9@I 	Banded Plate (6)	6			10	1	1141	2128				583		110		90	27	200000		9@I 	9@I		406	ful 	ful	9@I 	9@I 	9@I 		1	2	3	1	6	1	flpful	invfulu			2	2	2		2	2						stor	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
1@J 	Banded Plate (Sacred)	Sacred			1	1	2190	2683				627		110		90	30	200000		1@J 	1@J		406	ful 	ful	1@J 	1@J 	1@J 		1	2	3	1	6	1	flpful	invfulu			2	2	2		2	2						sstr		so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
629 	Belt (1)	1			20	1	54	74			45			43		8	2	198		629 	629		401	mbl 	mbl	629 	629 	629 		16	2	1	1	1	1	flpmbl	invmbl														belt	tier	so206	12	so206			5			1			2							1					255					255					255					255					255					255		1		1	1					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
767 	Belt (4)	4			20	1	233	290			137			43		52	15	10741		767 	767		402	mbl 	mbl	767 	767 	767 		16	2	1	1	2	1	flpmbl	invmbl														belt	tier	so206	12	so206			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
859 	Belt (6)	6			20	1	452	556			288			43		80	24	42312		859 	859		402	mbl 	mbl	859 	859 	859 		16	2	1	1	2	1	flpmbl	invmbl														belt	tier	so206	12	so206			5			3			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@30 	Belt (Sacred)	Sacred			2	1	851	903			529			43		80	30	42312		@30 	@30		402	mbl 	mbl	@30 	@30 	@30 		16	2	1	1	2	1	flpmbl	invmbl														belt	qblt	so206	12	so206			5			6			2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
50! 	Blackguard Helm (1)	1			4	1	30	44				29		29		9	3	159		50! 	50!		402	bhm 	dr1	50! 	50! 	50! 			2	2	1	2	1	flpbhm	invbhmu														pzhm	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
53! 	Blackguard Helm (4)	4			4	1	141	184				89		29		53	16	9174		53! 	53!		403	bhm 	dr1	53! 	53! 	53! 			2	2	1	3	1	flpbhm	invbhmu														pzhm	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
55! 	Blackguard Helm (6)	6			4	1	277	354				187		29		83	25	37817		55! 	55!		404	bhm 	dr1	55! 	55! 	55! 			2	2	1	4	1	flpbhm	invbhmu														pzhm	tier	so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
56! 	Blackguard Helm (Sacred)	Sacred			1	1	701	739				387		29		83	30	37817		56! 	56!		404	bhm 	dr1	56! 	56! 	56! 			2	2	1	4	1	flpbhm	invbhmu														sphz		so223	12	so223			5						3							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
4@P 	Bladed Shield (1)	1			10	1	37	74				55	1	64		13	4	512		4@P 	4@P		401	spk 	buc	4@P 	4@P 	4@P 		7	2	3	1	1	2	flpspk	invxpku														ishd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
7@P 	Bladed Shield (4)	4			10	1	166	275				168	1	64		57	17	19964		7@P 	7@P		404	spk 	buc	7@P 	7@P 	7@P 		7	2	3	1	4	2	flpspk	invxpku														ishd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
9@P 	Bladed Shield (6)	6			10	1	322	524				353	1	64		85	26	76489		9@P 	9@P		406	spk 	buc	9@P 	9@P 	9@P 		7	2	3	1	6	2	flpspk	invxpku														ishd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
1@Q 	Bladed Shield (Sacred)	Sacred			1	1	521	622				550	1	64		85	30	76489		1@Q 	1@Q		406	spk 	buc	1@Q 	1@Q 	1@Q 		7	2	3	1	6	2	flpspk	invxpku														sisd		so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
645 	Bone Helm (1)	1			20	1	44	63			61			32		17	5	553		645 	645		401	bhm 	hlm	645 	645 	645 			2	2	1	1	1	flpbhm	invbhm														bhlm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
783 	Bone Helm (4)	4			20	1	200	262			186			32		59	18	12782		783 	783		403	bhm 	hlm	783 	783 	783 			2	2	1	3	1	flpbhm	invbhm														bhlm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
875 	Bone Helm (6)	6			20	1	388	504			391			32		90	27	49226		875 	875		404	bhm 	hlm	875 	875 	875 			2	2	1	4	1	flpbhm	invbhm														bhlm	tier	so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@46 	Bone Helm (Sacred)	Sacred			2	1	694	752			563			32		90	30	49226		@46 	@46		404	bhm 	hlm	@46 	@46 	@46 			2	2	1	4	1	flpbhm	invbhm														qhlm		so223	12	so223			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
642 	Bone Shield (1)	1			20	1	42	82				44		51		9	2	238		642 	642		401	bsh 	buc	642 	642 	642 		7	2	3	1	1	2	flpbsh	invbsh														bshi	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
780 	Bone Shield (4)	4			20	1	198	315				134		51		52	15	11429		780 	780		404	bsh 	buc	780 	780 	780 		7	2	3	1	4	2	flpbsh	invbsh														bshi	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
872 	Bone Shield (6)	6			20	1	384	605				282		51		81	24	46608		872 	872		406	bsh 	buc	872 	872 	872 		7	2	3	1	6	2	flpbsh	invbsh														bshi	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@43 	Bone Shield (Sacred)	Sacred			2	1	692	802				527		51		81	30	46608		@43 	@43		406	bsh 	buc	@43 	@43 	@43 		7	2	3	1	6	2	flpbsh	invbsh														qshi		so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
637 	Boots (1)	1			20	1	6	10			10			29		1		56		637 	637		401	lbt 	lbt	637 	637 	637 		16	2	2	1	1	1	flplbt	invlbt														boot	tier	so208	12	so208			5						2							1		1		1	1		1		1	1					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
775 	Boots (4)	4			20	1	90	103			37			29		42	12	3682		775 	775		403	lbt 	lbt	775 	775 	775 		16	2	2	1	3	1	flplbt	invlbt														boot	tier	so208	12	so208			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
867 	Boots (6)	6			20	1	185	212			77			29		71	21	15884		867 	867		404	lbt 	lbt	867 	867 	867 		16	2	2	1	4	1	flplbt	invlbt														boot	tier	so208	12	so208			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@38 	Boots (Sacred)	Sacred			2	1	467	481			458			29		71	30	15884		@38 	@38		404	lbt 	lbt	@38 	@38 	@38 		16	2	2	1	4	1	flplbt	invlbt														qbot		so208	12	so208			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
607 	Breast Plate (1)	1			20	1	94	191			55			69		8	2	332		607 	607		401	brs 	brs	607 	607 	607 		1	2	3	1	2	1	flpbrs	invbrs					2									tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255		1		1	1			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
745 	Breast Plate (4)	4			20	1	359	649			168			69		52	15	20627		745 	745		404	brs 	brs	745 	745 	745 		1	2	3	1	4	1	flpbrs	invbrs					2									tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
837 	Breast Plate (6)	6			20	1	682	1220			353			69		83	25	91595		837 	837		406	brs 	brs	837 	837 	837 		1	2	3	1	6	1	flpbrs	invbrs					2									tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@08 	Breast Plate (Sacred)	Sacred			2	1	1841	2110			550			69		83	30	91595		@08 	@08		406	brs 	brs	@08 	@08 	@08 		1	2	3	1	6	1	flpbrs	invbrs					2									qtor		so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
29! 	Bronze Shield (1)	1			4	1	76	145			25		1	59		9	3	189		29! 	29!		401	lrg 	buc	29! 	29! 	29! 		7	2	2	1	1	2	flpsml	invbucu														basd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
32! 	Bronze Shield (4)	4			4	1	317	525			77		1	59		53	16	13263		32! 	32!		403	lrg 	buc	32! 	32! 	32! 		7	2	2	1	3	2	flpsml	invbucu														basd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
34! 	Bronze Shield (6)	6			4	1	612	997			162		1	59		83	25	57924		34! 	34!		404	lrg 	buc	34! 	34! 	34! 		7	2	2	1	4	2	flpsml	invbucu														basd	tier	so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
35! 	Bronze Shield (Sacred)	Sacred			1	1	1556	1748			552		1	59		83	30	57924		35! 	35!		404	lrg 	buc	35! 	35! 	35! 		7	2	2	1	4	2	flpsml	invbucu														saba		so231	12	so231			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
621 	Buckler (1)	1			20	1	17	28			6	17		32		1		65		621 	621		401	buc 	buc	621 	621 	621 		7	2	2	1	1	2	flpbuc	invbuc														shie	tier	so249	12	so249			5						2							1		1		1	1		1		1	1					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
759 	Buckler (4)	4			20	1	118	149			18	52		32		43	13	4729		759 	759		403	buc 	buc	759 	759 	759 		7	2	2	1	3	2	flpbuc	invbuc														shie	tier	so249	12	so249			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
851 	Buckler (6)	6			20	1	238	296			38	109		32		72	21	20727		851 	851		404	buc 	buc	851 	851 	851 		7	2	2	1	4	2	flpbuc	invbuc														shie	tier	so249	12	so249			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
@22 	Buckler (Sacred)	Sacred			2	1	1119	1148			446	469		32		72	30	20727		@22 	@22		404	buc 	buc	@22 	@22 	@22 		7	2	2	1	4	2	flpbuc	invbuc														qshi		so249	12	so249			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
