name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Io Rune	Io	18	r16	2	pr216		5	5	pr284	32	32	32					pr216		5	5	pr284	32	32	32					pr216		5	5	pr284	32	32	32				
Lum Rune	Lum	18	r17	2	pr59		20	20	pr284	32	32	32					pr59		20	20	pr284	32	32	32					pr59		20	20	pr284	32	32	32				
Ko Rune	Ko	18	r18	2	pr215		5	5	pr284	32	32	32					pr215		5	5	pr284	32	32	32					pr215		5	5	pr284	32	32	32				
Fal Rune	Fal	18	r19	2	pr8		10	10	pr284	32	32	32					pr8		10	10	pr284	32	32	32					pr8		10	10	pr284	32	32	32				
Lem Rune	Lem	18	r20	2	pr191		2	2	pr284	32	32	32					pr191		2	2	pr284	32	32	32					pr191		2	2	pr284	32	32	32				
Pul Rune	Pul	18	r21	2	pr31		40	40	pr284	32	32	32					pr31		30	30	pr284	32	32	32					pr31		30	30	pr284	32	32	32				
Um Rune	Um	18	r22	2	pr217		5	5	pr284	32	32	32					pr217		5	5	pr284	32	32	32					pr217		5	5	pr284	32	32	32				
Mal Rune	Mal	18	r23	2	pr39		40	40	pr284	32	32	32					pr39		30	30	pr284	32	32	32					pr39		30	30	pr284	32	32	32				
Ist Rune	Ist	18	r24	2	pr10		10	10	pr284	32	32	32					pr10		10	10	pr284	32	32	32					pr10		10	10	pr284	32	32	32				
Gul Rune	Gul	18	r25	2	pr35		40	40	pr284	32	32	32					pr35		30	30	pr284	32	32	32					pr35		30	30	pr284	32	32	32				
Vex Rune	Vex	18	r26	2	pr95		1	1	pr284	32	32	32					pr95		1	1	pr284	32	32	32					pr95		1	1	pr284	32	32	32				
Ohm Rune	Ohm	18	r27	2	pr218		5	5	pr284	32	32	32					pr218		5	5	pr284	32	32	32					pr218		5	5	pr284	32	32	32				
Lo Rune	Lo	18	r28	2	pr33		40	40	pr284	32	32	32					pr33		30	30	pr284	32	32	32					pr33		30	30	pr284	32	32	32				
Sur Rune	Sur	18	r29	2	pr239		25	25	pr284	32	32	32					pr239		25	25	pr284	32	32	32					pr239		25	25	pr284	32	32	32				
Ber Rune	Ber	18	r30	2	pr221		10	10	pr284	32	32	32					pr221		5	5	pr284	32	32	32					pr221		5	5	pr284	32	32	32				
Jah Rune	Jah	18	r31	2	pr29		25	25	pr284	32	32	32					pr5		25	25	pr284	32	32	32					pr5		25	25	pr284	32	32	32				
Cham Rune	Cham	18	r32	2	pr9		10	10	pr284	32	32	32					pr9		10	10	pr284	32	32	32					pr9		10	10	pr284	32	32	32				
Zod Rune	Zod	18	r33	2	pr480		5	5	pr284	32	32	32					pr208		5	5	pr284	32	32	32					pr208		5	5	pr284	32	32	32				
Sha Rune	Sha	18	r34	2	pr57		15	15	pr284	32	32	32					pr57		15	15	pr284	32	32	32					pr57		15	15	pr284	32	32	32				
Lah Rune	Lah	18	r35	2	pr219		3	3	pr284	32	32	32					pr219		3	3	pr284	32	32	32					pr219		3	3	pr284	32	32	32				
Kur Rune	Kur	18	r36	2	pr78		15	15	pr284	32	32	32					pr78		15	15	pr284	32	32	32					pr78		15	15	pr284	32	32	32				
Ix Rune	Ix	18	r37	2	pr87		15	15	pr284	32	32	32					pr87		15	15	pr284	32	32	32					pr87		15	15	pr284	32	32	32				
Thur Rune	Thur	18	r38	2	pr302		50	50	pr284	32	32	32					pr302		50	50	pr284	32	32	32					pr302		50	50	pr284	32	32	32				
Nas Rune	Nas	18	r39	2	pr267		10	10	pr284	32	32	32					pr267		10	10	pr284	32	32	32					pr267		10	10	pr284	32	32	32				
Ath Rune	Ath	18	r40	2	pr81		15	15	pr284	32	32	32					pr81		15	15	pr284	32	32	32					pr81		15	15	pr284	32	32	32				
Kra Rune	Kra	18	r41	2	pr292		5	5	pr284	32	32	32					pr292		5	5	pr284	32	32	32					pr292		5	5	pr284	32	32	32				
Vith Rune	Vith	18	r42	2	pr301		5	5	pr284	32	32	32					pr301		5	5	pr284	32	32	32					pr301		5	5	pr284	32	32	32				
No Rune	No	18	r43	2	pr84		15	15	pr284	32	32	32					pr84		15	15	pr284	32	32	32					pr84		15	15	pr284	32	32	32				
Yul Rune	Yul	18	r44	2	pr269		10	10	pr284	32	32	32					pr269		10	10	pr284	32	32	32					pr269		10	10	pr284	32	32	32				
Thai Rune	Thai	18	r45	2	pr41		15	15	pr284	32	32	32					pr41		15	15	pr284	32	32	32					pr41		15	15	pr284	32	32	32				
Rha Rune	Rha	18	r46	2	pr0		200	200	pr284	32	32	32					pr0		200	200	pr284	32	32	32					pr0		200	200	pr284	32	32	32				
Xar Rune	Xar	18	r47	2	pr227		2	2	pr284	32	32	32					pr227		2	2	pr284	32	32	32					pr227		2	2	pr284	32	32	32				
Nih Rune	Nih	18	r48	2	pr238		10	10	pr284	32	32	32					pr238		10	10	pr284	32	32	32					pr238		10	10	pr284	32	32	32				
Lai Rune	Lai	18	r49	2	pr223		5	5	pr284	32	32	32					pr223		5	5	pr284	32	32	32					pr223		5	5	pr284	32	32	32				
On Rune	On	18	r50	2	pr222		5	5	pr284	32	32	32					pr222		5	5	pr284	32	32	32					pr222		5	5	pr284	32	32	32				
Taha Rune	Taha	18	r51	2	pr28		40	40	pr284	32	32	32					pr28		20	20	pr284	32	32	32					pr28		20	20	pr284	32	32	32				
Ghal Rune	Ghal	18	r52	2	pr291		15	15	pr284	32	32	32					pr291		5	5	pr284	32	32	32					pr291		5	5	pr284	32	32	32				
Qor Rune	Qor	18	r53	2	pr75		-12	-12	pr284	32	32	32					pr75		-12	-12	pr284	32	32	32					pr75		-12	-12	pr284	32	32	32				
Chipped Rainbow Stone		16	yo1	3	pr108		1	1	pr283	32	32	32					pr239		4	4	pr283	32	32	32					pr213		2	2	pr283	32	32	32				
Flawed Rainbow Stone		16	yo2	3	pr108		2	2	pr283	32	32	32					pr239		8	8	pr283	32	32	32					pr213		4	4	pr283	32	32	32				
Rainbow Stone		16	yo3	3	pr108		3	3	pr283	32	32	32					pr239		12	12	pr283	32	32	32					pr213		6	6	pr283	32	32	32				
Flawless Rainbow Stone		16	yo4	3	pr108		4	4	pr283	32	32	32					pr239		16	16	pr283	32	32	32					pr213		8	8	pr283	32	32	32				
Perfect Rainbow Stone		15	yo5	3	pr108		5	5	pr283	32	32	32					pr239		20	20	pr283	32	32	32					pr213		10	10	pr283	32	32	32				
Chipped Onyx		3	g$a	3	pr269		2	2	pr283	32	32	32					pr35		4	4	pr283	32	32	32					pr221		1	1	pr283	32	32	32				
Flawed Onyx		3	g$b	3	pr269		4	4	pr283	32	32	32					pr35		8	8	pr283	32	32	32					pr221		2	2	pr283	32	32	32				
Onyx		3	g$c	3	pr269		6	6	pr283	32	32	32					pr35		12	12	pr283	32	32	32					pr221		3	3	pr283	32	32	32				
Flawless Onyx		3	g$d	3	pr269		8	8	pr283	32	32	32					pr35		16	16	pr36		1	1	pr283	32	32	32	pr221		4	4	pr283	32	32	32				
Perfect Onyx		3	g$e	3	pr269		10	10	pr283	32	32	32					pr35		20	20	pr36		2	2	pr283	32	32	32	pr221		5	5	pr283	32	32	32				
Chipped Bloodstone		8	9$a	3	pr267		2	2	pr283	32	32	32					pr31		4	4	pr283	32	32	32					pr292		1	1	pr283	32	32	32				
Flawed Bloodstone		8	9$b	3	pr267		4	4	pr283	32	32	32					pr31		8	8	pr283	32	32	32					pr292		2	2	pr283	32	32	32				
Bloodstone		8	9$c	3	pr267		6	6	pr283	32	32	32					pr31		12	12	pr283	32	32	32					pr292		3	3	pr283	32	32	32				
Flawless Bloodstone		8	9$d	3	pr267		8	8	pr283	32	32	32					pr31		16	16	pr32		1	1	pr283	32	32	32	pr292		4	4	pr283	32	32	32				
Perfect Bloodstone		8	9$e	3	pr267		10	10	pr283	32	32	32					pr31		20	20	pr32		2	2	pr283	32	32	32	pr292		5	5	pr283	32	32	32				
Chipped Turquoise		10	7$a	3	pr62		2	2	pr283	32	32	32					pr39		4	4	pr283	32	32	32					pr59		5	5	pr283	32	32	32				
Flawed Turquoise		10	7$b	3	pr62		4	4	pr283	32	32	32					pr39		8	8	pr283	32	32	32					pr59		10	10	pr283	32	32	32				
Turquoise		10	7$c	3	pr62		6	6	pr283	32	32	32					pr39		12	12	pr283	32	32	32					pr59		15	15	pr283	32	32	32				
Flawless Turquoise		10	7$d	3	pr62		8	8	pr283	32	32	32					pr39		16	16	pr40		1	1	pr283	32	32	32	pr59		20	20	pr283	32	32	32				
Perfect Turquoise		10	7$e	3	pr62		10	10	pr283	32	32	32					pr39		20	20	pr40		2	2	pr283	32	32	32	pr59		25	25	pr283	32	32	32				
Chipped Amber		19	5$a	3	pr117	800	1	1	pr283	32	32	32					pr33		4	4	pr283	32	32	32					pr208		1	1	pr283	32	32	32				
Flawed Amber		19	5$b	3	pr117	800	2	2	pr283	32	32	32					pr33		8	8	pr283	32	32	32					pr208		2	2	pr283	32	32	32				
Amber		19	5$c	3	pr117	800	3	3	pr283	32	32	32					pr33		12	12	pr283	32	32	32					pr208		3	3	pr283	32	32	32				
Flawless Amber		19	5$d	3	pr117	800	4	4	pr283	32	32	32					pr33		16	16	pr34		1	1	pr283	32	32	32	pr208		4	4	pr283	32	32	32				
Perfect Amber		19	5$e	3	pr117	800	5	5	pr283	32	32	32					pr33		20	20	pr34		2	2	pr283	32	32	32	pr208		5	5	pr283	32	32	32				
Krys Rune	Krys	18	r54	2	pr296		100	100	pr284	32	32	32					pr296		25	25	pr284	32	32	32					pr296		25	25	pr284	32	32	32				
Auhe Rune	Auhe	18	r55	2	pr62		15	15	pr284	32	32	32					pr62		5	5	pr284	32	32	32					pr62		5	5	pr284	32	32	32				
Sha'ad Rune	Shaad	18	r56	2	pr29		30	30	pr284	32	32	32					pr5		30	30	pr284	32	32	32					pr5		30	30	pr284	32	32	32				
Fire Rune	Fi	9	r57	3	pr134		100	200	pr284	32	32	32	pr476				pr134		50	100	pr284	32	32	32	pr476				pr134		50	100	pr284	32	32	32	pr476			
Phys Rune	Ea	1	r58	3	pr140		10	20	pr284	32	32	32	pr476				pr140		5	10	pr284	32	32	32	pr476				pr140		5	10	pr284	32	32	32	pr476			
Magic Rune	Ma	19	r59	3	pr136		100	200	pr284	32	32	32	pr476				pr136		50	100	pr284	32	32	32	pr476				pr136		50	100	pr284	32	32	32	pr476			
Pois Rune	Po	12	r60	3	pr138	25	2050	4100	pr284	32	32	32	pr476				pr138	25	1025	2050	pr284	32	32	32	pr476				pr138	25	1025	2050	pr284	32	32	32	pr476			
Ltng Rune	Li	14	r61	3	pr135		100	200	pr284	32	32	32	pr476				pr135		50	100	pr284	32	32	32	pr476				pr135		50	100	pr284	32	32	32	pr476			
Cold Rune	Co	6	r62	3	pr137		100	200	pr284	32	32	32	pr476				pr137		50	100	pr284	32	32	32	pr476				pr137		50	100	pr284	32	32	32	pr476			
Ultra Rune	Xis	3	r98	3	pr29		50	50	pr284	32	32	32	pr469		10	10	pr5		50	50	pr284	32	32	32	pr469		10	10	pr5		50	50	pr284	32	32	32	pr469		10	10
