ItemType	subdivide	makepage	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
wpot			wpot	poti														1			1					3											misc	0
scha			scha	char															1							3				3	invch1	invch4	invch7				misc	0
mcha			mcha	char															1							3				3	invch2	invch5	invch8				misc	0
lcha			lcha	char															1							3				3	invch3	invch6	invch9				misc	0
abow			abow	bow	amaz		1	rarm	larm	bowq							1					6	6	6	1	2			ama								weap	0
aspe			aspe	spea	amaz	1	1	rarm	larm								1					6	6	6		2			ama								weap	0
ajav			ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1					3	3	3		2			ama								misc	0
h2h2			h2h2	h2h		1	1	rarm	larm								1					6	6	6		2	ass		ass								weap	0
mboq			mboq	bowq			1	rarm	larm		bow		1			1	1									3											misc	0
mxbq			mxbq	xboq			1	rarm	larm		xbow		1			1	1									3											misc	0
gem0			gem0	gem														1		1						3											misc	0
gem1			gem1	gem														1		1						3											misc	0
gem2			gem2	gem														1		1						3											misc	0
gem3			gem3	gem														1		1						3											misc	0
gem4			gem4	gem														1		1						3											misc	0
gema			gema	gem														1		1						3											misc	0
gemd			gemd	gem														1		1						3											misc	0
geme			geme	gem														1		1						3											misc	0
gemr			gemr	gem														1		1						3											misc	0
gems			gems	gem														1		1						3											misc	0
gemt			gemt	gem														1		1						3											misc	0
gemz			gemz	gem														1		1						3											misc	0
crsd			crsd	swor		1	1	rarm	larm								1					6	6	6		3											weap	0
bshi			bshi	shie		1	1	rarm	larm								1					6	6	6		3		1									armo	0
bhlm			bhlm	helm		1	1	head	head								1					4	4	4		3		1									armo	0
crow			crow	helm		1	1	head	head								1					4	4	4		3		1									armo	0
woot			woot	ques																						3												0
tcur			tcur	amul			1	neck	neck							1	1									3				3	invamu1	invamu2	invamu3				misc	0
thng			thng															1								3											misc	0
summ			summ	char															1							3											misc	0
grtz			grtz	char															1							3											misc	0
scyh			scyh	pole		1	1	rarm	larm								1					6	6	6		3											weap	0
gep1			gep1															1								3											misc	0
gep2			gep2	gep1														1								3											misc	0
gep3			gep3	gep2														1								3											misc	0
gep4			gep4	gep3														1								3											misc	0
araa			araa	char															1							3			ama								misc	0
arab			arab	char															1							3			ass								misc	0
arac			arac	char															1							3			bar								misc	0
arad			arad	char															1							3			dru								misc	0
arae			arae	char															1							3			nec								misc	0
araf			araf	char															1							3			pal								misc	0
arag			arag	char															1							3			sor								misc	0
gemx			gemx	gem														1		1						3											misc	0
qshi			qshi	shie	ct1a	1	1	rarm	larm								1					6	6	6		3		1									armo	0
qtor			qtor	tors	ct2a	1	1	tors	tors								1					6	6	6		3		1									armo	0
qbot			qbot	boot	ct1a	1	1	feet	feet								1					4	4	4		3		1									armo	0
qglv			qglv	glov	ct1a	1	1	glov	glov								1					4	4	4		3		1									armo	0
qblt			qblt	belt	ct1a	1	1	belt	belt								1					2	2	2		3		1									armo	0
qscp			qscp	scep	ct1w	1	1	rarm	larm								1					6	6	6		2											weap	0
qwnd			qwnd	wand	ct1w	1	1	rarm	larm								1					6	6	6		2			nec								weap	0
qstf			qstf	staf	ct2w	1	1	rarm	larm								1					6	6	6		2											weap	0
qbow			qbow	bow	ct2w		1	rarm	larm	bowq							1					6	6	6	1	3											weap	0
qaxe			qaxe	axe	ct1w	1	1	rarm	larm								1					6	6	6		3											weap	0
qclb			qclb	club	ct1w	1	1	rarm	larm								1					6	6	6		3											weap	0
qswd			qswd	swor	ct1w	1	1	rarm	larm								1					6	6	6		3											weap	0
qham			qham	hamm		1	1	rarm	larm								1					6	6	6		3											weap	0
qknf			qknf	knif	ct1w	1	1	rarm	larm								1					6	6	6		3											weap	0
qspe			qspe	spea	ct2w	1	1	rarm	larm								1					6	6	6		3											weap	0
qpol			qpol	pole	ct2w	1	1	rarm	larm								1					6	6	6		3											weap	0
qxbw			qxbw	xbow	ct2w	1	1	rarm	larm	xboq							1					6	6	6		3											weap	0
qmac			qmac	mace	ct1w	1	1	rarm	larm								1					6	6	6		3											weap	0
qhlm			qhlm	helm	ct1a	1	1	head	head								1					4	4	4		3		1									armo	0
qtkn			qtkn	tkni	ct1w	1	1	rarm	larm			1	1	1	1		1					6	6	6		3											misc	0
qtax			qtax	taxe	ct1w	1	1	rarm	larm			1	1	1	1		1					6	6	6		3											misc	0
qjvn			qjvn	jave	ct1w	1	1	rarm	larm			1	1	1	1		1					6	6	6		3											misc	0
qcic			qcic	circ	ct1a	1	1	head	head								1					4	4	4		3		1									armo	0
qh2h			qh2h	h2h	ct1w	1	1	rarm	larm								1					6	6	6		2			ass								weap	0
qorb			qorb	orb	ct1w	1	1	rarm	larm								1					3	3	3		2			sor								weap	0
qhed			qhed	head	ct1a	1	1	rarm	larm								1					4	4	4		2			nec								armo	0
qaur			qaur	ashd	ct1a	1	1	rarm	larm								1					6	6	6		2			pal								armo	0
qphm			qphm	phlm	ct1a	1	1	head	head								1					4	4	4		2			bar								armo	0
qplt			qplt	pelt	ct1a	1	1	head	head								1					4	4	4		2			dru								armo	0
qabw			qabw	abow	ct2w		1	rarm	larm	bowq							1					6	6	6	1	2			ama								weap	0
qasp			qasp	aspe	ct2w	1	1	rarm	larm								1					6	6	6		2			ama								weap	0
qajv			qajv	ajav	ct1w	1	1	rarm	larm			1	1	1	1		1					3	3	3		2			ama								misc	0
qcrs			qcrs	crsd	ct1w	1	1	rarm	larm								1					6	6	6		3											weap	0
qbon			qbon	qshi		1	1	rarm	larm								1					6	6	6		3		1									armo	0
qbhe			qbhe	qhlm		1	1	head	head								1					4	4	4		3		1									armo	0
qcrn			qcrn	qbhe		1	1	head	head								1					6	6	6		3		1									armo	0
qscy			qscy	scyh	ct2w	1	1	rarm	larm								1					6	6	6		3											weap	0
azhm			azhm	helm		1	1	head	head								1					6	6	6		2		1	ama								armo	0
szhm			szhm	azhm	ct1a	1	1	head	head								1					4	4	4		2		1	ama								armo	0
azsd			azsd	shie		1	1	rarm	larm								1					6	6	6		2		1	ama								armo	0
sasz			sasz	azsd	ct1a	1	1	rarm	larm								1					6	6	6		2		1	ama								armo	0
nagi			nagi	mele	assn	1	1	rarm	larm								1					6	6	6		2			ass								weap	0
snag			snag	nagi	ct2w	1	1	rarm	larm								1					6	6	6		2			ass								weap	0
ishd			ishd	shie		1	1	rarm	larm								1					6	6	6		2		1	ass								armo	0
sisd			sisd	ishd	ct1a	1	1	rarm	larm								1					6	6	6		2		1	ass								armo	0
baxe			baxe	axe	barb	1	1	rarm	larm								1					6	6	6		2			bar								weap	0
sbax			sbax	baxe	ct1w	1	1	rarm	larm								1					6	6	6		2			bar								weap	0
basd			basd	shie	barb	1	1	rarm	larm								1					6	6	6		2		1	bar								armo	0
saba			saba	basd	ct1a	1	1	rarm	larm								1					6	6	6		2		1	bar								armo	0
bswd			bswd	swor	barb	1	1	rarm	larm								1					6	6	6		2			bar								weap	0
sbsd			sbsd	bswd	ct1w	1	1	rarm	larm								1					6	6	6		2			bar								weap	0
dbow			dbow	bow	dbox		1	rarm	larm	bowq							1					6	6	6	1	2			dru								weap	0
sdbw			sdbw	dbow	ct2w		1	rarm	larm	bowq							1					6	6	6	1	2			dru								weap	0
dstf			dstf	staf	dbox	1	1	rarm	larm								1					6	6	6		2			dru								weap	0
sdst			sdst	dstf	ct2w	1	1	rarm	larm								1					6	6	6		2			dru								weap	0
nknf			nknf	knif	nbox	1	1	rarm	larm								1					6	6	6		2			nec								weap	0
snkf			snkf	nknf	ct1w	1	1	rarm	larm								1					6	6	6		2			nec								weap	0
nscy			nscy	scyh	nbox	1	1	rarm	larm								1					6	6	6		2			nec								weap	0
snsy			snsy	nscy	ct2w	1	1	rarm	larm								1					6	6	6		2			nec								weap	0
nstf			nstf	staf	nbox	1	1	rarm	larm								1					6	6	6		2			nec								weap	0
snst			snst	nstf	ct2w	1	1	rarm	larm								1					6	6	6		2			nec								weap	0
nxbw			nxbw	xbow	nbox	1	1	rarm	larm	xboq							1					6	6	6		2			nec								weap	0
snxb			snxb	nxbw	ct2w	1	1	rarm	larm	xboq							1					6	6	6		2			nec								weap	0
pclb			pclb	club	pbox	1	1	rarm	larm								1					6	6	6		2			pal								weap	0
spcb			spcb	pclb	ct1w	1	1	rarm	larm								1					6	6	6		2			pal								weap	0
pham			pham	hamm	pbox	1	1	rarm	larm								1					6	6	6		2			pal								weap	0
sphm			sphm	pham	ct2w	1	1	rarm	larm								1					6	6	6		2			pal								weap	0
pzhm			pzhm	helm		1	1	head	head								1					4	4	4		2		1	pal								armo	0
sphz			sphz	pzhm	ct1a	1	1	head	head								1					4	4	4		2		1	pal								armo	0
pmac			pmac	mace	pbox	1	1	rarm	larm								1					6	6	6		2			pal								weap	0
spmc			spmc	pmac	ct1w	1	1	rarm	larm								1					6	6	6		2			pal								weap	0
pspe			pspe	spea	pbox	1	1	rarm	larm								1					6	6	6		2			pal								weap	0
spsp			spsp	pspe	ct2w	1	1	rarm	larm								1					6	6	6		2			pal								weap	0
scrd			scrd	mele	sbox	1	1	rarm	larm								1					6	6	6		3			sor								weap	0
sscd			sscd	scrd	ct1w	1	1	rarm	larm								1					6	6	6		3			sor								weap	0
stor			stor	tors		1	1	tors	tors								1					6	6	6		2		1	sor								armo	0
sstr			sstr	stor	ct2a	1	1	tors	tors								1					6	6	6		2		1	sor								armo	0
waah			waah																							3											misc	0
qamu			qamu	amul			1	neck	neck							1	1									3		1		3	invamu1	invamu2	invamu3				misc	0
qrin			qrin	ring			1	rrin	lrin							1	1									3		1		5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
qmsl			qmsl	misl												1	1									3												0
qaqv			qaqv	qmsl			1	rarm	larm		bow		1		1	1	1									3											misc	0
qcqv			qcqv	qmsl			1	rarm	larm		xbow		1		1	1	1									3											misc	0
2hbs			2hbs	bswd	2hsd	1	1	rarm	larm								1					6	6	6		2			bar								weap	0
2hbx			2hbx	baxe	2hax	1	1	rarm	larm								1					6	6	6		2			bar								weap	0
2hax			2hax	axe		1	1	rarm	larm								1					6	6	6		2											weap	0
2hsd			2hsd	swor		1	1	rarm	larm								1					6	6	6		2											weap	0
s2hb			s2hb	2hbs	ct2w	1	1	rarm	larm								1					6	6	6		2			bar								weap	0
s2hx			s2hx	2hbx	ct2w	1	1	rarm	larm								1					6	6	6		2			bar								weap	0
s2ha			s2ha	2hax	ct2w	1	1	rarm	larm								1					6	6	6		2											weap	0
s2hd			s2hd	2hsd	ct2w	1	1	rarm	larm								1					6	6	6		2											weap	0
gemq			gemq	gem														1		1						3											misc	0
gemp			gemp	gem														1		1						3											misc	0
gemo			gemo	gem														1		1						3											misc	0
geml			geml	gem														1		1						3											misc	0
kill			kill	misc			1	rrin	lrin							1	1									3		1		5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
tier			tier																							3												0
ct1a			ct1a	ssgl																						3												0
ct2a			ct2a	ssgl																						3												0
ct1w			ct1w	ssgl																						3												0
ct2w			ct2w	ssgl																						3												0
#bow			#bow	bow			1	rarm	larm	bowq							1								1	2											weap	0
dcht			dcht																							3												0
ssgl			ssgl																							3												0
####			####	mele			1	rarm									1																				weap	0
dbox			dbox	fbox																						3												0
nbox			nbox	fbox																						3												0
pbox			pbox	fbox																						3												0
sbox			sbox	fbox																						3												0
xrun			xrun	rune	gem													1		1						3											misc	0
fbox			fbox																							3												0
phbx			phbx													1	1									3												0
prsh			prsh	thng														1								3											misc	0
sh10			sh10	prsh														1								3											misc	0
####			####	mele			1	rarm									1																					0
###1			###1	ring			1	rrin	lrin								1													2	lab_rn1	lab_rn2						0
###2			###2	amul			1	neck	neck								1																					0
###4			###4	qshi			1	rarm	larm								1																					0
###3			###3	qtor			1	tors	tors								1																					0
###8			###8	qbot			1	feet	feet								1																					0
###7			###7	qglv			1	glov	glov								1																					0
###6			###6	qblt			1	belt	belt								1																					0
###5			###5	qhlm			1	head	head								1																					0
shco			shco	thng												1	1									3												0
Stack Rune			runs												1			1								3											misc	0
Stack Shrine			pshs												1			1								3											misc	0
Generic Rune			rung												1			1								3											misc	0
El Rune Generic			r01g	rung											1			1								3											misc	0
Eld Rune Generic			r02g	rung											1			1								3											misc	0
Tir Rune Generic			r03g	rung											1			1								3											misc	0
Nef Rune Generic			r04g	rung											1			1								3											misc	0
Eth Rune Generic			r05g	rung											1			1								3											misc	0
Ith Rune Generic			r06g	rung											1			1								3											misc	0
Tal Rune Generic			r07g	rung											1			1								3											misc	0
Ral Rune Generic			r08g	rung											1			1								3											misc	0
Ort Rune Generic			r09g	rung											1			1								3											misc	0
Thul Rune Generic			r10g	rung											1			1								3											misc	0
Amn Rune Generic			r11g	rung											1			1								3											misc	0
Sol Rune Generic			r12g	rung											1			1								3											misc	0
Shael Rune Generic			r13g	rung											1			1								3											misc	0
Dol Rune Generic			r14g	rung											1			1								3											misc	0
Hel Rune Generic			r15g	rung											1			1								3											misc	0
Io Rune Generic			r16g	rung											1			1								3											misc	0
Lum Rune Generic			r17g	rung											1			1								3											misc	0
Ko Rune Generic			r18g	rung											1			1								3											misc	0
Fal Rune Generic			r19g	rung											1			1								3											misc	0
Lem Rune Generic			r20g	rung											1			1								3											misc	0
Pul Rune Generic			r21g	rung											1			1								3											misc	0
Um Rune Generic			r22g	rung											1			1								3											misc	0
Mal Rune Generic			r23g	rung											1			1								3											misc	0
Ist Rune Generic			r24g	rung											1			1								3											misc	0
Gul Rune Generic			r25g	rung											1			1								3											misc	0
Vex Rune Generic			r26g	rung											1			1								3											misc	0
Ohm Rune Generic			r27g	rung											1			1								3											misc	0
Lo Rune Generic			r28g	rung											1			1								3											misc	0
Sur Rune Generic			r29g	rung											1			1								3											misc	0
Ber Rune Generic			r30g	rung											1			1								3											misc	0
Jah Rune Generic			r31g	rung											1			1								3											misc	0
Cham Rune Generic			r32g	rung											1			1								3											misc	0
Zod Rune Generic			r33g	rung											1			1								3											misc	0
Sha Rune Generic			r34g	rung											1			1								3											misc	0
Lah Rune Generic			r35g	rung											1			1								3											misc	0
Kur Rune Generic			r36g	rung											1			1								3											misc	0
Ix Rune Generic			r37g	rung											1			1								3											misc	0
Thur Rune Generic			r38g	rung											1			1								3											misc	0
Nas Rune Generic			r39g	rung											1			1								3											misc	0
Ath Rune Generic			r40g	rung											1			1								3											misc	0
Kra Rune Generic			r41g	rung											1			1								3											misc	0
Vith Rune Generic			r42g	rung											1			1								3											misc	0
No Rune Generic			r43g	rung											1			1								3											misc	0
Yul Rune Generic			r44g	rung											1			1								3											misc	0
Thai Rune Generic			r45g	rung											1			1								3											misc	0
Rha Rune Generic			r46g	rung											1			1								3											misc	0
Xar Rune Generic			r47g	rung											1			1								3											misc	0
Nih Rune Generic			r48g	rung											1			1								3											misc	0
Lai Rune Stock			r49g	rung											1			1								3											misc	0
On Rune Generic			r50g	rung											1			1								3											misc	0
Taha Rune Generic			r51g	rung											1			1								3											misc	0
Ghal Rune Generic			r52g	rung											1			1								3											misc	0
Qor Rune Generic			r53g	rung											1			1								3											misc	0
Krys Rune Generic			r54g	rung											1			1								3											misc	0
Auhe Rune Generic			r55g	rung											1			1								3											misc	0
Shaad Rune Generic			r56g	rung											1			1								3											misc	0
Shrine Generic			pshg												1			1								3											misc	0
Shrine Creepy G			p01g	pshg											1			1								3											misc	0
Abandoned Shrine G			p02g	pshg											1			1								3											misc	0
Quiet Shrine G			p03g	pshg											1			1								3											misc	0
Eerie Shrine G			p04g	pshg											1			1								3											misc	0
Weird Shrine G			p05g	pshg											1			1								3											misc	0
Gloomy Shrine G			p06g	pshg											1			1								3											misc	0
Tainted Shrine G			p07g	pshg											1			1								3											misc	0
Fascinating Shrine G			p08g	pshg											1			1								3											misc	0
Ornate Shrine G			p09g	pshg											1			1								3											misc	0
Sacred Shrine G			p10g	pshg											1			1								3											misc	0
Shimmering Shrine G			p11g	pshg											1			1								3											misc	0
Spiritual Shrine G			p12g	pshg											1			1								3											misc	0
Magical Shrine G			p13g	pshg											1			1								3											misc	0
Enchanted Shrine G			p14g	pshg											1			1								3											misc	0
Hidden Shrine G			p15g	pshg											1			1								3											misc	0
Stone Shrine G			p16g	pshg											1			1								3											misc	0
Stack gem			gsm	ggm											1			1								3											misc	0
Stack Perfect Gem			gsm4	gsm	ggm4										1			1								3											misc	0
Stack Amethyst			gsma	gsm	ggma										1			1								3											misc	0
Stack Diamond			gsmd	gsm	ggmd										1			1								3											misc	0
Stack Emerald			gsme	gsm	ggme										1			1								3											misc	0
Stack Ruby			gsmr	gsm	ggmr										1			1								3											misc	0
Stack Sapphire			gsms	gsm	ggms										1			1								3											misc	0
Stack Topaz			gsmt	gsm	ggmt										1			1								3											misc	0
Stack Skull			gsmz	gsm	ggmz										1			1								3											misc	0
Generic Gem			ggm												1			1								3											misc	0
Generic Flawless Gem			ggm3	ggm											1			1								3											misc	0
Generic Perfect Gem			ggm4	ggm											1			1								3											misc	0
Generic Amethyst			ggma	ggm											1			1								3											misc	0
Generic Diamond			ggmd	ggm											1			1								3											misc	0
Generic Emerald			ggme	ggm											1			1								3											misc	0
Generic Ruby			ggmr	ggm											1			1								3											misc	0
Generic Sapphire			ggms	ggm											1			1								3											misc	0
Generic Topaz			ggmt	ggm											1			1								3											misc	0
Generic Skull			ggmz	ggm											1			1								3											misc	0
Generic P Onyx			ghma	ggm											1			1								3											misc	0
Generic P Bloodstone			ghmb	ggm											1			1								3											misc	0
Generic P Turquoise			ghmc	ggm											1			1								3											misc	0
Generic P Amber			ghmd	ggm											1			1								3											misc	0
Generic P Rainbow			ghme	ggm											1			1								3											misc	0
Generic P Amethyst			gg4a	ggma	ggm4										1			1								3											misc	0
Generic P Diamond			gg4d	ggmd	ggm4										1			1								3											misc	0
Generic P Emerald			gg4e	ggme	ggm4										1			1								3											misc	0
Generic P Ruby			gg4r	ggmr	ggm4										1			1								3											misc	0
Generic P Sapphire			gg4s	ggms	ggm4										1			1								3											misc	0
Generic P Topaz			gg4t	ggmt	ggm4										1			1								3											misc	0
Generic P Skull			gg4z	ggmz	ggm4										1			1								3											misc	0
Generic P Onyx			gh4a	ghma	ggm4										1			1								3											misc	0
Generic P Bloodstone			gh4b	ghmb	ggm4										1			1								3											misc	0
Generic P Turquoise			gh4c	ghmc	ggm4										1			1								3											misc	0
Generic P Amber			gh4d	ghmd	ggm4										1			1								3											misc	0
Generic P Rainbow			gh4e	ghme	ggm4										1			1								3											misc	0
Stack Shards			quls												1			1								3											misc	0
Mystic Orb Unique			asa#	a#aa											1			1								3											misc	0
Stack MO			a#aa												1			1								3											misc	0
Stack Oil			a#ab												1			1								3											misc	0
Jewel Generic			jewg	dcht																																	misc	0
Jewel Fragments			jewf	jewg											1			1																			misc	0
